suite,x_name,x_value,trial_id,seed,snr_db,variant,variant_label,failed,error,resolved_config_hash,y_noisy_hash,base_y_noisy_hash,nested_receiver_noise_convention,reference_sigma2,stage1_output_hash,candidate_hash,reference_type,peb_position_m,position_error_m,clock_error_ns,channel_nmse,noisy_fit_nmse,outlier,raw_objective_final,total_objective_final,stage1_position_error_m,stage1_delay_rmse_ns,stage1_delay_max_abs_error_ns,stage1_min_delay_separation_ns,stage1_panel_pairing_correct,stage1_runtime_s,mksc_projection_runtime_s,common_geometry_runtime_s,anchor_refresh_runtime_s,stage3_runtime_s,deployment_runtime_s,rss_mb_before,rss_mb_peak,rss_mb_after,memory_measurement,optimizer_evaluations,clock_interval_evaluations,clock_certified,clock_certificate_gap,clock_branch_ambiguous,outer_safeguard_used,selected_candidate,stage1_evs_union_rank,stage1_evs_retained_energy_fraction,stage1_assignment_margin,stage1_max_rank1_ratio,common_geometry_hessian_min_eig,common_geometry_hessian_condition,stage1_basin_acquired,receiver_mode,N,T,K,M_A,M_R,p_true_x,p_true_y,p_true_z
components,component_set,all,0,1247279049,-10.0,mksc_delay_ccop,MKSC delay only + CCOP-JVP,False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,4aa5eea99bff55d45dc3c93b059a6048216ca03f7a6d0530a05b16647652405a,b655c8161df48b17c4e0babf3e7a3004f1cbbbb0b8f42cc347501907a20e5591,,,0.0005089689000811051,0.003293630382750258,2.2652946221006482e-05,0.9090524959219096,False,3.625431079196962,3.6254322532340764,0.10827300434731336,0.061634585152831024,0.07486248003038748,1.1656291509808396,True,24.292920334264636,0.9402424450963736,0.0,0.0,1.2403271719813347,25.53324750624597,nan,nan,nan,,17,4241,True,3.3524218322002394e-10,False,False,ccop_lbfgsb,6,0.14817948766988343,4.81195966632526,0.3166125423436566,nan,nan,False,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,0,1247279049,-10.0,mksc_gi_1_no_refresh_ccop,"MKSC-GI (1 start, no refresh) + CCOP-JVP",False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,f4e99e2ac0628e0b3f189cf0f1475b1890451654f99d1f3e661c30558c3b23f8,851e9eaf5e69eec3a048168b97ff99a9ead7c7a8eb81a1436b30c6b8108357dd,,,0.0005089661201333398,0.0032936360646654657,2.265296513307572e-05,0.9090524959219197,False,3.625431079196972,3.625432253234075,0.0034195092282430003,0.061634585152831024,0.07486248003038748,1.1656291509808396,True,25.07285427302122,0.9402424450963736,0.7799339387565851,0.0,0.7974176602438092,25.87027193326503,nan,nan,nan,,11,2753,True,3.3529669575795266e-10,False,False,ccop_lbfgsb,6,0.14817948766988343,4.81195966632526,0.3166125423436566,8.71112048706751,80.74318952895031,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,0,1247279049,-10.0,mksc_gi_4_no_refresh_ccop,"MKSC-GI (4 starts, no refresh) + CCOP-JVP",False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,58fefb1d04eb70428428cb38b2b428f4190acd6e509712da640634b4aca840c9,98cb26fb99363251e1d9f3e29248260d6b90e6556c06b374c4b22d607d298a88,,,0.0005089661201444565,0.0032936360646555396,2.2652965133097708e-05,0.9090524959219208,False,3.6254310791969724,3.6254322532340755,0.003419510453029556,0.061634585152831024,0.07486248003038748,1.1656291509808396,True,27.752339744009078,0.9402424450963736,3.4594194097444415,0.0,1.1516637234017253,28.904003467410803,nan,nan,nan,,11,2753,True,3.3529677094766015e-10,False,False,ccop_lbfgsb,6,0.14817948766988343,4.81195966632526,0.3166125423436566,8.711120560949814,80.74318885556993,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,0,1247279049,-10.0,old_stage1_ccop,Frozen Stage-I + CCOP-JVP,False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,886da4329914103aa7c78bb042e74bf8b99b1639b1e2305b8d86e4d801c97a54,b8d963aab01a5304494b51f03ec94a72f54544057cb36b0193794c7ef6c87fb3,,,0.0005088849954468672,0.003295003603677518,2.28118982120524e-05,0.9090525065841325,False,3.6254311217194046,3.625432338370588,0.09976378136366582,0.02649493563053613,0.03941803869679164,1.173309485701817,True,24.884849806316197,0.0,0.0,0.0,1.0439399974420667,25.928789803758264,nan,nan,nan,,15,3743,True,3.482122573822616e-10,False,False,ccop_lbfgsb,96,1.0,4.826134121526244,0.2957345031097276,nan,nan,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,0,1247279049,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,d2d78077752fcc1445e4defa8e0efb27f36c4792bc57c0a8723a80d6e7f63de5,dd5ada2cd146e379dacea320d75d3a8dbe35e627c7c316798027e48a2542f360,,,0.0005083133244083717,0.003287073355112675,2.9741648544714493e-05,0.909052203351804,False,3.6254299123855738,3.625429912432464,0.003419510453029556,0.061634585152831024,0.07486248003038748,1.1656291509808396,True,28.28938959352672,0.9402424450963736,3.726432272233069,0.270036987029016,1.0943124676123261,29.383702061139047,nan,nan,nan,,11,2761,True,2.6721782928665147e-10,False,False,ccop_lbfgsb,6,0.14817948766988343,4.81195966632526,0.3166125423436566,8.711120560949814,80.74318885556993,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,0,1247279049,-10.0,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,False,,e56f2dd2fd696ad4c365cf628f5b17a9dcda1adc2198ce5fa9165a856b629b6c,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,7da842bb357de1b060de70558fc2c349ecfa687916d8e95a30a3519d91b8d90a,,3.6234487352423694,886da4329914103aa7c78bb042e74bf8b99b1639b1e2305b8d86e4d801c97a54,5ab470756495e7a6af1593b0e8d692f3bbb200f744578acac7317ca01a7bd2fd,,,0.0005088925826497839,0.003295187631901078,2.2812288416682336e-05,0.9090525065841821,False,3.6254311217195703,3.6254323383705933,0.09976378136366582,0.02649493563053613,0.03941803869679164,1.173309485701817,True,24.884849806316197,0.0,0.0,0.0,1.2018486512824893,26.086698457598686,nan,nan,nan,,22,0,,nan,False,False,,96,1.0,4.826134121526244,0.2957345031097276,nan,nan,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,1,575847221,-10.0,mksc_delay_ccop,MKSC delay only + CCOP-JVP,False,,c8b287e7b68d688cac0e4adfe09669a1bc4cd06f21a371cfe4859bc92f0ea13b,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,,6.3395792325512135,0fb9374be9ef07b2832916ea90d949951706ce43c8faa06397b58909b15437a0,9b9cca436fada672d038c408c097736027f9823c269b9e3a2a6517a1d45dbac6,,,0.0015328775092132137,0.0006810338023134046,4.6327669122761016e-05,0.9090180001779329,False,6.343573216622265,6.343588665653855,0.027810237184118545,0.10014227504059237,0.1704751230146711,1.023454310167505,True,30.98808917403221,1.5269480245187879,0.0,0.0,1.3361652242019773,32.32425439823419,nan,nan,nan,,19,4719,True,1.964811570350701e-10,False,False,ccop_lbfgsb,6,0.14697557447484244,3.492498952531552,0.562639265274616,nan,nan,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,1,575847221,-10.0,mksc_gi_1_no_refresh_ccop,"MKSC-GI (1 start, no refresh) + CCOP-JVP",False,,c8b287e7b68d688cac0e4adfe09669a1bc4cd06f21a371cfe4859bc92f0ea13b,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,,6.3395792325512135,11e4ad951d7855e7025490490fe252fd74471fcf5afcf1d67da96417b867a7d1,cddbc9cb94b7dc8691cc10c2b54f63da9417cf3b52af59ba94f889b50dbaf845,,,0.0015329636376952916,0.0006809864537606057,4.632865962382693e-05,0.9090180001778563,False,6.343573216621667,6.343588665653876,0.0016774201690779988,0.10014227504059237,0.1704751230146711,1.023454310167505,True,31.75300470367074,1.5269480245187879,0.7649155296385288,0.0,0.8526989193633199,32.60570362303406,nan,nan,nan,,14,3482,True,1.967613890748773e-10,False,False,ccop_lbfgsb,6,0.14697557447484244,3.492498952531552,0.562639265274616,9.94620138402084,66.54840100504947,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,1,575847221,-10.0,mksc_gi_4_no_refresh_ccop,"MKSC-GI (4 starts, no refresh) + CCOP-JVP",False,,c8b287e7b68d688cac0e4adfe09669a1bc4cd06f21a371cfe4859bc92f0ea13b,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,,6.3395792325512135,4edbc82ea4c1742601f6def86e1abe76aab6a99adb79fa431cbb4aeeca7c3f24,bea653d16eaa7b3ec69a085f90af0de2fb57d0e05882d4f1549d86bbc9b8b017,,,0.001532964172568841,0.0006809861169045361,4.632866444152289e-05,0.9090180001778434,False,6.343573216621664,6.343588665653874,0.0016773713030139416,0.10014227504059237,0.1704751230146711,1.023454310167505,True,32.752020941115916,1.5269480245187879,1.7639317670837045,0.0,0.7316357223317027,33.48365666344762,nan,nan,nan,,14,3484,True,1.9676326881756448e-10,False,False,ccop_lbfgsb,6,0.14697557447484244,3.492498952531552,0.562639265274616,9.94619563801467,66.54844375523476,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
components,component_set,all,1,575847221,-10.0,old_stage1_ccop,Frozen Stage-I + CCOP-JVP,False,,c8b287e7b68d688cac0e4adfe09669a1bc4cd06f21a371cfe4859bc92f0ea13b,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,7d11ae11036faa58ff9a49e32aeb34f92d6a2dfedb99c7bfa0217186f670e5b8,,6.3395792325512135,8ba1d1a8e6ba86a6304928f7919a9876e17c1b915977e12c39f862c42cf0043d,ad97f445f9a6c77624bfb120c027172229f524a23d1f920ce8051dcfb7d705ab,,,0.0015334572889857858,0.0006772053323569309,4.7882438586022616e-05,0.9090174942094159,False,6.343569685726007,6.343581598877569,0.030084402852189718,0.34150802070069936,0.5308318011059894,0.8931546997528862,True,27.071122305467725,0.0,0.0,0.0,1.5585543485358357,28.62967665400356,nan,nan,nan,,17,4245,True,2.1609980589221261e-10,False,False,ccop_lbfgsb,96,1.0,2.647624694421552,0.7843135233199261,nan,nan,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
