suite,x_name,x_value,trial_id,seed,snr_db,variant,variant_label,failed,error,resolved_config_hash,y_noisy_hash,base_y_noisy_hash,nested_receiver_noise_convention,reference_sigma2,stage1_output_hash,candidate_hash,reference_type,peb_position_m,position_error_m,clock_error_ns,channel_nmse,noisy_fit_nmse,outlier,raw_objective_final,total_objective_final,stage1_position_error_m,stage1_delay_rmse_ns,stage1_delay_max_abs_error_ns,stage1_min_delay_separation_ns,stage1_panel_pairing_correct,stage1_runtime_s,mksc_projection_runtime_s,common_geometry_runtime_s,anchor_refresh_runtime_s,stage3_runtime_s,deployment_runtime_s,rss_mb_before,rss_mb_peak,rss_mb_after,memory_measurement,optimizer_evaluations,clock_interval_evaluations,clock_certified,clock_certificate_gap,clock_branch_ambiguous,outer_safeguard_used,selected_candidate,stage1_evs_union_rank,stage1_evs_retained_energy_fraction,stage1_assignment_margin,stage1_max_rank1_ratio,common_geometry_hessian_min_eig,common_geometry_hessian_condition,stage1_basin_acquired,receiver_mode,N,T,K,M_A,M_R,p_true_x,p_true_y,p_true_z
compression,snr_db,-10.0,0,514888044,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,4bc32a47bb83930f754a7b043635ad24322b6a63ba2f0252d3fcdc51be5021ff,1b2f2b836360f195b8cd335c6659803f97458e146d47567f520406910b173eaa,1b2f2b836360f195b8cd335c6659803f97458e146d47567f520406910b173eaa,,3.337610261351736,357f8d4df2a1b421e1980b4dacbb2af1d67108fd5145b8103fbeb6084e71a1f6,9906ffb3edb60ffe7a857a0ef59aee7e5415241eebfa6d431779dbdfa5abb2ee,,,0.0009066932317025873,0.002762580851851289,3.935904339451035e-05,0.9091632527853022,False,3.336925818403711,3.3369258184082193,0.0005254939540892251,0.07757627159885344,0.12964220044824282,1.010456632188447,True,12.79293658491224,0.43056023586541414,1.1364784575998783,0.11046491004526615,0.3995441533625126,13.192480738274753,nan,nan,nan,,10,2530,True,1.2222211015165957e-10,False,False,ccop_lbfgsb,6,0.14795246295631537,5.038591674140572,0.2823296168283922,8.896887745367328,71.23679702875276,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,0,514888044,-10.0,raw_delay_gi_ccop,Raw-delay Stage-I + common GI + refresh + CCOP-JVP,False,,4bc32a47bb83930f754a7b043635ad24322b6a63ba2f0252d3fcdc51be5021ff,1b2f2b836360f195b8cd335c6659803f97458e146d47567f520406910b173eaa,1b2f2b836360f195b8cd335c6659803f97458e146d47567f520406910b173eaa,,3.337610261351736,ffb32002d3b6f0c13d4e732eb7a86c388bb8e26f5c979228d4c5cee64d2586db,32f61f62f94909ac338df516286eac1caeb795e83c4632bc85c227c1085f6e5a,,,0.000906695578179829,0.0027626021908702604,3.9358695239851446e-05,0.9091632527849243,False,3.3369258184023383,3.3369258184054753,0.0005321587927328675,0.10063622577311823,0.14353863131807673,0.9334896409453904,True,13.244581131264567,0.0,1.4492693496868014,0.10396673530340195,0.3652368225157261,13.609817953780293,nan,nan,nan,,10,2526,True,1.222238395149318e-10,False,False,ccop_lbfgsb,96,1.0,5.025594770493671,0.2949785091635122,8.767409123121022,71.32311484300621,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,1,1801041276,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,4b5ce740defa5bf09e40fadf199eeb6ecf91253bfd439333695c57cadb524a6c,6caa5ef2a4f13eef70d269af3569372c0b1da8420880e90a9b3e8d4fe997b803,6caa5ef2a4f13eef70d269af3569372c0b1da8420880e90a9b3e8d4fe997b803,,1.474940424435271,dd54690151d879e33588921cedd79a9a3108c2c585046729fa4d42e3e9e4c74b,2807f36e772694c7697ba12dab2d33eabceb881a75b6b1d43e8c8bcb1836454b,,,0.0011794771917519053,0.0016176456524465608,8.432610675731527e-05,0.9089362099091015,False,1.474882171486267,1.4748821717800007,0.0034494085630509216,0.11666110387918584,0.187409251693678,1.0086850024178902,True,13.52919162157923,0.3863745043054223,0.9595089536160231,0.09311619773507118,0.4233749909326434,13.952566612511873,nan,nan,nan,,13,3263,True,5.418961693245153e-11,False,False,ccop_lbfgsb,6,0.14849880941838245,4.556655213771257,0.6346640064856057,10.006993958678498,62.548962383975066,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,1,1801041276,-10.0,raw_delay_gi_ccop,Raw-delay Stage-I + common GI + refresh + CCOP-JVP,False,,4b5ce740defa5bf09e40fadf199eeb6ecf91253bfd439333695c57cadb524a6c,6caa5ef2a4f13eef70d269af3569372c0b1da8420880e90a9b3e8d4fe997b803,6caa5ef2a4f13eef70d269af3569372c0b1da8420880e90a9b3e8d4fe997b803,,1.474940424435271,90ff30dfad370c48844111b998a6d7bd1842030621e2497dbe6af84116d70e97,fac0e18f4cb14068f8178eca076de72d2caa9e368538738a92364867f7dff406,,,0.0011779730935955084,0.0016125866472795195,8.592178822130555e-05,0.9089362309124359,False,1.474882205567251,1.4748822398921295,0.007813115742561647,0.8486311031311182,1.4520938485865698,0.44398386246128024,False,13.591631512157619,0.0,0.9773231511935592,0.09178901929408312,0.5245421146973968,14.116173626855016,nan,nan,nan,,17,4253,True,5.19836636993195e-11,False,False,ccop_lbfgsb,96,1.0,0.11371152149968326,0.9463139031257486,4.420002555983462,81.0572133689133,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,2,2504992253,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,f2804a122a9a79084b3419f94202126d899423ac9f668684c7e2922a766a0ff9,a2621fb638d0e8a9cffc4b58429d7f8876065a5313139c32ab594675273a14b6,a2621fb638d0e8a9cffc4b58429d7f8876065a5313139c32ab594675273a14b6,,1.892614392288468,a5d26cd56c6ca30901b0da02e71b514578364e8b17fd050e872a12bcb1a2a1ff,72bc2b47a8e647ad3b3cc62d51662e75580607733af4c6b39132236b036fea1a,,,0.0026178484093157435,0.001397362713483531,5.697412830343757e-05,0.9089479065117302,False,1.8940747105576923,1.894074710571374,0.0025245724414504614,0.06690050338523378,0.09285574436726307,1.2005785003627667,True,21.91949090361595,1.0234361495822668,2.201611532829702,0.20927916187793016,0.7210491187870502,22.640540022403002,nan,nan,nan,,9,2261,True,1.2527954922723765e-10,False,False,ccop_lbfgsb,6,0.14802468622242806,5.8739610519312215,0.3623386464652064,8.648954398943095,75.99172998838745,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,2,2504992253,-10.0,raw_delay_gi_ccop,Raw-delay Stage-I + common GI + refresh + CCOP-JVP,False,,f2804a122a9a79084b3419f94202126d899423ac9f668684c7e2922a766a0ff9,a2621fb638d0e8a9cffc4b58429d7f8876065a5313139c32ab594675273a14b6,a2621fb638d0e8a9cffc4b58429d7f8876065a5313139c32ab594675273a14b6,,1.892614392288468,07ab78ca94a286acb08437c571f37253181818566872b97a4f50838e86853112,5fa48dc31c237e9e47c9933f07c0e2fe5ea459461ad18819622d23e67cc75427,,,0.0026178434661864253,0.001397344777739544,5.698039047084325e-05,0.9089479065103577,False,1.8940747105548337,1.894074710565666,0.0022671701865688404,0.12968030511633957,0.20519007012957857,1.3051659565336944,True,27.542230788618326,0.0,3.662640633061528,0.4339564861729741,1.6356257777661085,29.177856566384435,nan,nan,nan,,10,2514,True,1.2499676073737589e-10,False,False,ccop_lbfgsb,96,1.0,5.992078258632578,0.36894640301274767,8.641101771944195,76.24019618180913,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,3,3575036133,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,c125e68aec1ac4d1f04182ed92e14727f6d89073666cee4ade72b72bb880a50f,a9196645371b06974a0988695dea96402c5f26b7cf80414b6ee4da85f24d2c1c,a9196645371b06974a0988695dea96402c5f26b7cf80414b6ee4da85f24d2c1c,,2.5397254091241988,bf130fa08ec23c4483bac92e34503aba6e09063543459d7f76f348dd9a70a1ba,c68db8cab21af7752000568b55716242e0e131c7d225ac0482c2bfc3d5e92376,,,0.0017490089192687946,0.0033308208875525557,5.465509515287716e-05,0.9087686718125632,False,2.536602313901935,2.536602313923407,0.004114861788006617,0.11118770494820483,0.15490207457035102,0.9087616661702884,True,32.9435947034508,1.5380413522943854,1.5570878954604268,0.160471860319376,0.842958084307611,33.78655278775841,nan,nan,nan,,12,3018,True,9.40675873468136e-11,False,False,ccop_lbfgsb,6,0.1473241254998002,4.363762446797679,0.2972186446246622,8.619301126937168,78.19362593450626,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,3,3575036133,-10.0,raw_delay_gi_ccop,Raw-delay Stage-I + common GI + refresh + CCOP-JVP,False,,c125e68aec1ac4d1f04182ed92e14727f6d89073666cee4ade72b72bb880a50f,a9196645371b06974a0988695dea96402c5f26b7cf80414b6ee4da85f24d2c1c,a9196645371b06974a0988695dea96402c5f26b7cf80414b6ee4da85f24d2c1c,,2.5397254091241988,f5f3df39f707c047bc614f87a16f964f877ae20114f453bb7dc8eed1fdd5071a,b41345a10d376d6ca6192ec9372d99ba3ef198082d42f45f9d9479bcdb65fd2d,,,0.0017490101505812498,0.0033308227600404813,5.465573966304725e-05,0.90876867181251,False,2.536602313901768,2.5366023139230744,0.0041452763875823055,0.11543934502237037,0.16984675624944962,0.9066991128275177,True,33.17369343061,0.0,3.0970747750252485,0.3393239248543978,1.387442565523088,34.56113599613309,nan,nan,nan,,12,3008,True,9.406882797698715e-11,False,False,ccop_lbfgsb,96,1.0,4.390259934992786,0.2941446047627352,8.619195331568141,77.94459326414562,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,4,443462742,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,False,,9944aa67baa3781679e6eba8d1fb34d4151d132e1497dae91531378bf17135ca,f133966632f2bbc3e8f3db9de83d5d34ac7ddce86987f4d8825b636a314e245c,f133966632f2bbc3e8f3db9de83d5d34ac7ddce86987f4d8825b636a314e245c,,2.455928288222951,2fb8c9164c1a79eb1badaf801f5219aa06e7c944167107b0fdccfd63636d2354,8a57f0d78d853ba0e2681427b7471221c4e27bce788eee0efa887043663f9e9c,,,0.00040581887940327254,0.002573036012635228,5.0960183518855365e-05,0.909549570243138,False,2.4565266048360943,2.456526605066279,0.003665469754381956,0.2845699168016181,0.46863950382819686,0.5535238664713903,True,29.944448981434107,1.2927087480202317,2.2281338134780526,0.4419641075655818,1.1951609458774328,31.13960992731154,nan,nan,nan,,12,3040,True,9.012456389644371e-11,False,False,ccop_lbfgsb,6,0.14761321252754978,2.6450626819844514,0.5991439847127813,7.552780682140446,72.71253521854035,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
compression,snr_db,-10.0,4,443462742,-10.0,raw_delay_gi_ccop,Raw-delay Stage-I + common GI + refresh + CCOP-JVP,False,,9944aa67baa3781679e6eba8d1fb34d4151d132e1497dae91531378bf17135ca,f133966632f2bbc3e8f3db9de83d5d34ac7ddce86987f4d8825b636a314e245c,f133966632f2bbc3e8f3db9de83d5d34ac7ddce86987f4d8825b636a314e245c,,2.455928288222951,fcc86e5af71a4c31370078d4ad7f130683f11c6eb4a7250b3597ef7a5b1426c7,4f206d5f6a26685307e0c00fecc0cf6d6ef4bf3b0bc3e10970d2785def3e9e3e,,,0.0004057485297783569,0.0025726811233549767,5.097849133208854e-05,0.9095495703407241,False,2.456526605099662,2.4565266055939525,0.0033802805100303377,0.543521822884718,0.7667473481865894,0.9542572761547461,True,24.794361550360918,0.0,2.0518034137785435,0.20879674702882767,0.9504056721925735,25.74476722255349,nan,nan,nan,,13,3273,True,9.014986523301338e-11,False,False,ccop_lbfgsb,96,1.0,1.8192705473202357,0.8794521530698556,5.146847627599011,84.01318565688881,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
