suite,x_name,x_value,trial_id,seed,snr_db,variant,variant_label,failed,error,resolved_config_hash,y_noisy_hash,base_y_noisy_hash,nested_receiver_noise_convention,reference_sigma2,stage1_output_hash,candidate_hash,reference_type,peb_position_m,position_error_m,clock_error_ns,channel_nmse,noisy_fit_nmse,outlier,raw_objective_final,total_objective_final,stage1_position_error_m,stage1_delay_rmse_ns,stage1_delay_max_abs_error_ns,stage1_min_delay_separation_ns,stage1_panel_pairing_correct,stage1_runtime_s,mksc_projection_runtime_s,common_geometry_runtime_s,anchor_refresh_runtime_s,stage3_runtime_s,deployment_runtime_s,rss_mb_before,rss_mb_peak,rss_mb_after,memory_measurement,optimizer_evaluations,clock_interval_evaluations,clock_certified,clock_certificate_gap,clock_branch_ambiguous,outer_safeguard_used,selected_candidate,stage1_evs_union_rank,stage1_evs_retained_energy_fraction,stage1_assignment_margin,stage1_max_rank1_ratio,common_geometry_hessian_min_eig,common_geometry_hessian_condition,stage1_basin_acquired,receiver_mode,N,T,K,M_A,M_R,p_true_x,p_true_y,p_true_z
receiver,snr_db,-10.0,0,3746783465,-10.0,free_jones_peb_dual_pol,Data-only free-Jones PEB [dual_pol],False,,fc0408f330e049c7d5b0b451898e0b5c94dbf2ff6dd4d82e0cd6ce4f0a19bcce,4dedfa5f1136097269ffd876b2d88a78159efa6dc784f01e4b88fbe982448f11,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,,,matched_data_only_free_jones,0.0038278444997174384,,,,,,,,,,,,,,,,,4.723547401838005,4.723547401838005,,,,,,,,,,,,,,,,,,,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,0,3746783465,-10.0,free_jones_peb_full_6d,Data-only free-Jones PEB [full_6d],False,,a5b2887936d0a644ee1d595645bba38b4159615aadc080ea07451d4f5d54e277,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,,,matched_data_only_free_jones,0.0009978050358599585,,,,,,,,,,,,,,,,,5.730368649587035,5.730368649587035,,,,,,,,,,,,,,,,,,,full_6d,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,0,3746783465,-10.0,free_jones_peb_scalar,Data-only free-Jones PEB [scalar],False,,af0675b3f1ce642cacf375fe2bd931b4dcabeeece9b025a3517bb576b0824def,65f27ba19be0ea98069c16a643e616067ce6cebc17a7524c2d3a1da2f089759b,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,,,matched_data_only_free_jones,0.04953811383735047,,,,,,,,,,,,,,,,,5.497416812926531,5.497416812926531,,,,,,,,,,,,,,,,,,,scalar,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,0,3746783465,-10.0,proposed_dual_pol,MKSC-GI-balanced + CCOP-JVP [dual_pol],False,,fc0408f330e049c7d5b0b451898e0b5c94dbf2ff6dd4d82e0cd6ce4f0a19bcce,4dedfa5f1136097269ffd876b2d88a78159efa6dc784f01e4b88fbe982448f11,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,737cf32988881174e8a8e20f452397cac9cbf8856265552bb35c69121acdf7b5,335912b79693e29b55268af4297c86d463da04a2f999ec11a7b94d7f163dcaba,,,0.00113207711559759,0.0001925711203117585,0.5023441411689546,0.9796414871807384,False,1.4951821024051948,1.495182102405617,0.010373145038945522,0.45519625459138036,0.607295867123045,1.2640441244802776,True,20.850119405426085,1.2200081646442413,2.267896331846714,0.24891940131783485,0.8461879817768931,21.696307387202978,nan,nan,nan,,9,2213,True,4.602174021062046e-11,False,False,ccop_lbfgsb,6,0.22072512697931776,1.1368193300919283,0.5719323438315443,5.400993644108526,68.24851871322387,True,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,0,3746783465,-10.0,proposed_full_6d,MKSC-GI-balanced + CCOP-JVP [full_6d],False,,a5b2887936d0a644ee1d595645bba38b4159615aadc080ea07451d4f5d54e277,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,61e93c5003a26f4d36682712daa7727e000c10a680421d703abff891cd5f80b9,0bb72028d4921e48238b2eccf07a17182df37e8882bc28cc5fe28c6133f6e734,,,0.0006824561976927383,0.00010192716887648223,3.9371712280950136e-05,0.9089926815116696,False,4.390807609058187,4.3908076093344794,0.0016724719856263213,0.06475185667506646,0.09506160995332698,1.1070607572356135,True,25.265428385697305,0.7812150903046131,2.1491244146600366,0.17560744937509298,0.7582095703110099,26.023637956008315,nan,nan,nan,,12,3004,True,1.5595901759923281e-10,False,False,ccop_lbfgsb,6,0.14783239080370952,7.8875078412844895,0.27874636154933535,11.103315886135736,64.86507931937138,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,0,3746783465,-10.0,proposed_scalar,MKSC-GI-balanced + CCOP-JVP [scalar],False,,af0675b3f1ce642cacf375fe2bd931b4dcabeeece9b025a3517bb576b0824def,65f27ba19be0ea98069c16a643e616067ce6cebc17a7524c2d3a1da2f089759b,5e2c072ae136ae24f6a2baec8ca3df9a6dc3bdb40a2188e71bf3da00dc984c3c,fixed_full6d_reference_sigma2,4.396672937558918,d9bee926eb00f03727aaab4f8e924b4b9afb48116a49555b63036d01049dca74,234485bdac335c6dbd7f86ab1d4c2b3094671d936b325efdc336fe14c364bb76,,,0.6081613137923916,0.008569445610871654,0.9012548011351751,0.9992714674764474,True,0.7349691874864507,0.7349691877472295,0.5908950995058178,84.00996085266979,142.7660418910529,29.060176432464925,True,31.500500814057887,2.3334689447656274,2.508762998506427,0.18141335248947144,0.6525384057313204,32.15303921978921,nan,nan,nan,,13,3039,True,4.471634247479945e-11,False,False,ccop_lbfgsb,3,0.1941132591232897,0.0951443910419162,0.9666633088959083,0.8177638311750447,189.98544276938986,False,scalar,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,free_jones_peb_dual_pol,Data-only free-Jones PEB [dual_pol],False,,e7b49d9a88caae0969a85a3cb149b9d4f4e7a3aedc03eaaf73dc5515a5f01d8c,d1a05b9b723949f58b11f9971030e58852d51cdd2f01651b05cb597a89f3f495,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,,,matched_data_only_free_jones,0.0039014696926913256,,,,,,,,,,,,,,,,,6.593914677388966,6.593914677388966,,,,,,,,,,,,,,,,,,,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,free_jones_peb_full_6d,Data-only free-Jones PEB [full_6d],False,,43af70245e5569e784779c432266311e47c6600ae9d90d9695885fa910173f88,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,,,matched_data_only_free_jones,0.0012980647932575966,,,,,,,,,,,,,,,,,6.295552184805274,6.295552184805274,,,,,,,,,,,,,,,,,,,full_6d,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,free_jones_peb_scalar,Data-only free-Jones PEB [scalar],False,,b0689290bc1b1f9cce4a51f9f9051b74b03eb556e32bb36d969a89a58d1b635b,d18005d5ffdd91a617705c300e5a0616a77f5b6dbd299d02128697ab884cd664,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,,,matched_data_only_free_jones,0.05133542185909117,,,,,,,,,,,,,,,,,6.143343693576753,6.143343693576753,,,,,,,,,,,,,,,,,,,scalar,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,proposed_dual_pol,MKSC-GI-balanced + CCOP-JVP [dual_pol],False,,e7b49d9a88caae0969a85a3cb149b9d4f4e7a3aedc03eaaf73dc5515a5f01d8c,d1a05b9b723949f58b11f9971030e58852d51cdd2f01651b05cb597a89f3f495,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,faf52ca8f9aca906b99aeee0a3df6acb5660c3e182bbffb854534991ccdc85e8,576ef0450c82829c6cc1a40a26ec8408f9108b9045e06ebf0db13386a968ed45,,,0.00408402528818801,0.00039454289865944406,0.5006504871661461,0.9670681233052016,False,0.41338494380291657,0.4133849438030855,0.001822275830474418,1.4037701496937602,2.423943783523384,1.0356101311496697,True,25.081064235419035,1.0702791837975383,2.237847083248198,0.16939243767410517,0.6610233737155795,25.742087609134614,nan,nan,nan,,11,2705,True,2.0252751856527798e-11,False,False,ccop_lbfgsb,6,0.24057540167662908,0.8878613996734882,0.9578060093852967,5.6622790057215155,78.25883934291441,True,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,proposed_full_6d,MKSC-GI-balanced + CCOP-JVP [full_6d],False,,43af70245e5569e784779c432266311e47c6600ae9d90d9695885fa910173f88,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,a30d50bb51ee837f6ea5fb77df25713a49c5d88af6fd4989502e0bd49414176d,6e01dad37a4dbf9741b45ccd07aace723653138639d9ba2a8a9b31005ad1b6fa,,,0.0022006683308423316,0.004741102820002705,7.694379539612203e-05,0.9095978682568925,False,1.1950206032174202,1.1950206032723019,0.005461542303005094,0.0778782107261178,0.10317670852371844,1.0910842089363861,True,29.11065494082868,1.1105888234451413,3.5185764860361814,0.19373834505677223,1.0531193455681205,30.1637742863968,nan,nan,nan,,14,3526,True,2.424134966834875e-11,False,False,ccop_lbfgsb,6,0.14696487656635107,3.4424172901622576,0.7532779802279026,8.101239999300539,73.35978118974879,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,1,3680326486,-10.0,proposed_scalar,MKSC-GI-balanced + CCOP-JVP [scalar],False,,b0689290bc1b1f9cce4a51f9f9051b74b03eb556e32bb36d969a89a58d1b635b,d18005d5ffdd91a617705c300e5a0616a77f5b6dbd299d02128697ab884cd664,0533b1d90a8c7fda16073453da193c555e5f7114460f881b9baaa4981b9ff0f4,fixed_full6d_reference_sigma2,1.1952283603823517,50f618ccc74d5dcbd4a37dc8dfd54ce3c21d9c5c3695fba361d12f02ac5aad06,a3ba93fef8b8f66c1afd42af32c8df1739317591f61744c1932d3a150c985a21,,,1.2721783976169239,1.5324658787202912,0.9989475843454617,0.9999816859071037,True,0.20415857093174702,0.20415857094125017,1.2163614175391924,75.18860418744534,127.30021542630998,28.694305439896198,True,25.132104135118425,0.8917968096211553,2.0400711484253407,0.21138485707342625,1.006084382534027,26.138188517652452,nan,nan,nan,,15,3279,True,1.6105520429364707e-11,False,False,ccop_lbfgsb,3,0.2056370628026043,0.016170132435747293,0.9810120031276497,4.812469697002346,22.642303829455148,False,scalar,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,2,2991389184,-10.0,free_jones_peb_dual_pol,Data-only free-Jones PEB [dual_pol],False,,41f0dc6024cc09dfe3a22fb58d2168ada7afc3a97d220109d7f6faf2dc196206,f489017e271c8223c27c522645ae4e3922e7256453c802c7cb1d2bb1f97a7f9f,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,fixed_full6d_reference_sigma2,6.050253180154686,,,matched_data_only_free_jones,0.003525475159558978,,,,,,,,,,,,,,,,,5.155138299800456,5.155138299800456,,,,,,,,,,,,,,,,,,,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,2,2991389184,-10.0,free_jones_peb_full_6d,Data-only free-Jones PEB [full_6d],False,,7847515f4790d3c2bf61497dad79e8f0d063933d73032938cf165c176305e7ff,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,fixed_full6d_reference_sigma2,6.050253180154686,,,matched_data_only_free_jones,0.0011328762925373827,,,,,,,,,,,,,,,,,10.338506920263171,10.338506920263171,,,,,,,,,,,,,,,,,,,full_6d,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,2,2991389184,-10.0,free_jones_peb_scalar,Data-only free-Jones PEB [scalar],False,,a5245df68b7d5961e276de295fa6b308a508e062cebab862afa2738262957371,8bc1879688e8faad39fd0450e27b16627480302d28642d8dedf5048feb0b6bee,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,fixed_full6d_reference_sigma2,6.050253180154686,,,matched_data_only_free_jones,0.052183909337203745,,,,,,,,,,,,,,,,,6.438766614533961,6.438766614533961,,,,,,,,,,,,,,,,,,,scalar,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,2,2991389184,-10.0,proposed_dual_pol,MKSC-GI-balanced + CCOP-JVP [dual_pol],False,,41f0dc6024cc09dfe3a22fb58d2168ada7afc3a97d220109d7f6faf2dc196206,f489017e271c8223c27c522645ae4e3922e7256453c802c7cb1d2bb1f97a7f9f,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,fixed_full6d_reference_sigma2,6.050253180154686,93e002edf38e334b858ec87cafd7b1d050229be313898cafec172e214b45d533,be46166d113982c19169c76b8fe54b6299fa8d9515492f8562a50cbf955f207a,,,1.2834183164985766,3.611084665115582,0.8445282068433013,0.9915019972459589,True,2.112089257184363,2.11208925883296,1.4132312688221502,78.4662675773896,135.87572655431552,4.113770152406267,True,25.452057032845914,0.9529764680191875,3.444523268379271,0.257446295581758,2.1749175656586885,27.626974598504603,nan,nan,nan,,33,7947,True,2.0265104820564543e-10,False,False,ccop_lbfgsb,6,0.23167703503069506,0.004638302533231648,0.9699102088213253,0.10174400812260513,1061.5250596202357,False,dual_pol,63,256,3,16,4096,1.25,0.55,0.75
receiver,snr_db,-10.0,2,2991389184,-10.0,proposed_full_6d,MKSC-GI-balanced + CCOP-JVP [full_6d],False,,7847515f4790d3c2bf61497dad79e8f0d063933d73032938cf165c176305e7ff,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,ee30761c833d1a9fbbad4ecaedb6201c2f8a4ded59af36000128e13d3ee651b4,fixed_full6d_reference_sigma2,6.050253180154686,fad6ab7bef3a272d83a380533b0c287112cfdc0fdd4e9f7ab335f6c369f56fae,3fe9c0822c036c6eebb42e2571938646abf8144f55ac2748d5ec59fc2648e125,,,0.0025704574981470166,0.007630272440638653,7.693043352838907e-05,0.9092728885661766,False,6.051669120973755,6.0516691209807005,0.003122511857649109,0.15654247841292848,0.2658861132024666,1.490045204202458,True,26.062041625380516,0.8803853942081332,4.506524889729917,0.3712459737434983,1.529371613636613,27.59141323901713,nan,nan,nan,,10,2536,True,2.1070163603283053e-10,False,False,ccop_lbfgsb,6,0.14728726516127844,5.620627131151482,0.458814053863764,9.463627707039098,71.11122799479215,True,full_6d,63,256,3,16,4096,1.25,0.55,0.75
