suite,x_name,x_value,variant,variant_label,n,n_failed,n_success,success_rate,failure_rate,position_rmse_m,position_mean_error_m,position_conditional_rmse_m,position_median_m,position_p90_m,position_p95_m,peb_position_m_mean,peb_position_m_rms,clock_rmse_ns,clock_median_ns,clock_p90_ns,clock_p95_ns,channel_nmse_mean,channel_nmse_median,channel_nmse_p90,channel_nmse_p95,conditional_outlier_rate,outlier_rate,catastrophic_rate,outlier_ci_low,outlier_ci_high,outlier_ci_method,runtime_mean_s,runtime_median_s,runtime_p95_s,peak_rss_median_mb,peak_rss_max_mb,stage1_runtime_median_s,mksc_projection_runtime_median_s,common_geometry_runtime_median_s,anchor_refresh_runtime_median_s,stage3_runtime_median_s,clock_certificate_rate,clock_certificate_gap_p95,stage1_basin_acquisition_rate,stage1_delay_rmse_ns_median,stage1_delay_rmse_ns_p95,common_geometry_hessian_min_eig_median
scaling,K,2,proposed,MKSC-GI-balanced + CCOP-JVP,50,0,50,1.0,0.0,0.0017883789713391835,0.001486590224708875,0.0017883789713391835,0.0011785352473012353,0.0030801489128768483,0.003465542760713175,nan,nan,0.00390686356375469,0.002529654459033603,0.006434026808008358,0.007280790051693704,4.1915997830874474e-05,4.1365705920561577e-05,6.21765447611261e-05,6.651460192750885e-05,0.0,0.0,0.0,0.0,0.07112173646419764,Clopper-Pearson exact,13.17502437306568,12.983231658115983,18.59593882705085,nan,nan,12.635596081148833,0.6665430581197143,1.3858167016878724,0.1138141006231308,0.4085983596742153,1.0,4.66174250289648e-10,1.0,0.013854005402767208,0.03470383631600354,4.475190862183476
scaling,K,2,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,50,0,50,1.0,0.0,0.4569332992498331,0.3104071470192661,0.002000105734432904,0.003448740175361664,0.7000002327866202,0.7000007094578584,nan,nan,0.009394717973878284,0.004862418601864947,0.01833856919780591,0.019878627498223084,0.005400521581624688,6.897966579216091e-05,0.014327726980775323,0.014886250227745666,0.46,0.46,0.46,0.31814917856860864,0.6067580238830776,Clopper-Pearson exact,11.443893827013671,11.901889525353909,16.784306127764285,nan,nan,11.11057458538562,0.0,0.0,0.0,0.6250783782452345,nan,nan,0.34,0.020530744389658517,0.08175252043057722,nan
scaling,K,3,proposed,MKSC-GI-balanced + CCOP-JVP,50,0,50,1.0,0.0,0.06042792873021648,0.009532108397432232,0.001250045418798146,0.0008160739195416307,0.0021750939868014534,0.0024371763654047747,nan,nan,0.20140282585808458,0.0021949174868681,0.0045309004971939276,0.005143722634848711,0.002842507080111983,4.8207434942594644e-05,7.788363122000159e-05,8.97418834316465e-05,0.02,0.02,0.02,0.000506227983040829,0.1064695457114999,Clopper-Pearson exact,18.858130968809128,18.133182357996702,26.387085324246435,nan,nan,17.56190326344222,0.6537902601994574,1.5695125255733728,0.14511192683130503,0.5672621689736843,1.0,5.034304947048681e-10,0.98,0.06948543699443818,0.4330361543153341,9.275169251481096
scaling,K,3,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,50,0,50,1.0,0.0,0.45477512635289447,0.19685529936800958,0.0011460809109526716,0.0009260823451231415,0.7000018282289779,0.7554979531180697,nan,nan,0.8256156722440935,0.002792040080268507,0.0851492354367991,0.9927254462611856,0.08798462095984781,7.619304632262828e-05,0.1677535918591511,0.8252983974119747,0.24,0.24,0.24,0.13060991619745735,0.3816907481040382,Clopper-Pearson exact,16.5744668138586,15.204052512999624,23.442710421839724,nan,nan,14.679795489180833,0.0,0.0,0.0,0.7527606762014329,nan,nan,0.68,0.1204372468886237,65.39164681267927,nan
scaling,K,4,proposed,MKSC-GI-balanced + CCOP-JVP,50,0,50,1.0,0.0,0.09900404100029218,0.015082221771673938,0.0012947619784711797,0.0009751127539355147,0.002160177309522862,0.0028645692111780386,nan,nan,0.011146340085644791,0.0026947300961952074,0.005949637775870084,0.006414421354156767,0.002637577745487388,6.213768387524637e-05,9.146912354369189e-05,0.00010152316213928652,0.02,0.02,0.02,0.000506227983040829,0.1064695457114999,Clopper-Pearson exact,23.17208405394107,23.57702315878123,33.92399714724161,nan,nan,22.959101704880595,0.8075464777648449,1.873409029096365,0.13026174996048212,0.5706283990293741,1.0,5.061716821112669e-10,0.98,0.08114757895868432,1.084732223558318,8.779079171709077
scaling,K,4,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,50,0,50,1.0,0.0,0.21169850804995785,0.057504711542675134,0.001277588658312169,0.001016349438376479,0.0029955893167883025,0.5093004248927719,nan,nan,0.5764166616035404,0.003100531529824431,0.006732646647078123,0.9885398038332659,0.07417671835447007,8.524125173220655e-05,0.005333231280479959,0.8542416963745159,0.08,0.08,0.08,0.02222796365492976,0.19234278359596277,Clopper-Pearson exact,22.31904724018648,23.343956684693694,30.865576973417774,nan,nan,21.79545358987525,0.0,0.0,0.0,1.1115527623333037,nan,nan,0.54,0.1984814104650019,45.80563765294984,nan
scaling,M_A,16,proposed,MKSC-GI-balanced + CCOP-JVP,50,0,50,1.0,0.0,0.06042792873021648,0.009532108397432232,0.001250045418798146,0.0008160739195416307,0.0021750939868014534,0.0024371763654047747,nan,nan,0.20140282585808458,0.0021949174868681,0.0045309004971939276,0.005143722634848711,0.002842507080111983,4.8207434942594644e-05,7.788363122000159e-05,8.97418834316465e-05,0.02,0.02,0.02,0.000506227983040829,0.1064695457114999,Clopper-Pearson exact,18.343421426620335,18.60690277023241,25.669701072992755,nan,nan,17.878749477677047,0.7945629139430821,1.5825752741657197,0.1562073710374534,0.5711787161417305,1.0,5.034304947048681e-10,0.98,0.06948543699443818,0.4330361543153341,9.275169251481096
scaling,M_A,16,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,50,0,50,1.0,0.0,0.45477512635289447,0.19685529936800958,0.0011460809109526716,0.0009260823451231415,0.7000018282289779,0.7554979531180697,nan,nan,0.8256156722440935,0.002792040080268507,0.0851492354367991,0.9927254462611856,0.08798462095984781,7.619304632262828e-05,0.1677535918591511,0.8252983974119747,0.24,0.24,0.24,0.13060991619745735,0.3816907481040382,Clopper-Pearson exact,16.40373674083501,17.036549823824316,21.763477814523497,nan,nan,15.923017976339906,0.0,0.0,0.0,0.9154610042460263,nan,nan,0.68,0.1204372468886237,65.39164681267927,nan
scaling,M_A,24,proposed,MKSC-GI-balanced + CCOP-JVP,50,0,50,1.0,0.0,0.11181463203883725,0.01668452561678347,0.0010360802378063952,0.0008062805173611691,0.0016717479651047829,0.002002416635467058,nan,nan,0.1588737370453976,0.002108681994393274,0.005249080248886192,0.006658061111484758,0.007361019692251597,3.585412995844728e-05,5.063371025295917e-05,5.830524898374504e-05,0.02,0.02,0.02,0.000506227983040829,0.1064695457114999,Clopper-Pearson exact,21.545553340688347,22.662589468527585,28.113354339217764,nan,nan,21.820576056372374,1.111824116203934,1.8508293614722788,0.22229497786611319,0.7279301760718226,1.0,4.278572432659692e-10,0.98,0.04878830441430761,0.39744981943984886,9.75120105200699
scaling,M_A,24,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,50,0,50,1.0,0.0,0.39176088184691604,0.18546186662509484,0.000963236009673575,0.0009003419607753473,0.7000005241328248,0.700015599572054,nan,nan,0.5835703498059132,0.0027675341225940784,0.04280853054886699,0.06468095856372866,0.05463904510039638,6.049119511801528e-05,0.08825848672527487,0.1493070608898756,0.24,0.24,0.24,0.13060991619745735,0.3816907481040382,Clopper-Pearson exact,19.335727921370417,19.771279075648636,26.378974469471718,nan,nan,18.776183468289673,0.0,0.0,0.0,0.9048170135356486,nan,nan,0.7,0.1174494557221811,52.49954234649442,nan
