suite,x_name,x_value,reference_variant,candidate_variant,n_pairs,n_metric_pairs,position_win_rate,clock_win_rate,channel_win_rate,raw_objective_non_degradation_rate,rescued_outliers,introduced_outliers,mcnemar_exact_p,paired_position_rmse_difference_m,paired_position_rmse_difference_ci_low_m,paired_position_rmse_difference_ci_high_m,paired_runtime_ratio_median,paired_runtime_ratio_ci_low,paired_runtime_ratio_ci_high,bootstrap_replicates
snr,snr_db,-10.0,scaled_4d,proposed,200,200,0.615,0.575,0.875,0.995,39,1,7.457856554538012e-11,-0.2576053692620336,-0.34965919036571774,-0.188277252374587,1.1297823387980066,1.1119901911657375,1.1432876877994653,10000
snr,snr_db,-15.0,scaled_4d,proposed,200,200,0.68,0.61,0.9,0.96,60,4,7.363044635805283e-14,-0.32518889147064717,-0.4411008490087348,-0.21929768524893306,1.1235176357358916,1.1159261187414868,1.136240379302728,10000
snr,snr_db,-20.0,scaled_4d,proposed,200,200,0.78,0.745,0.89,0.905,96,7,4.207682867061068e-21,-0.4084640167176521,-0.5274100817882099,-0.2967963763809314,1.1521686670721645,1.1406088384054431,1.1719033972224215,10000
snr,snr_db,-25.0,scaled_4d,proposed,200,200,0.745,0.785,0.855,0.845,82,11,1.4159872634786435e-14,-0.43766300944955305,-0.5494202883876412,-0.3303952464105248,1.1317379136769365,1.1130359285382811,1.166459346294928,10000
snr,snr_db,-30.0,scaled_4d,proposed,200,200,0.74,0.815,0.76,0.83,42,4,5.100190492157708e-09,-0.37449390390267334,-0.475233861334875,-0.2750802357455834,1.1743650746459222,1.1501992008107398,1.196981331958872,10000
snr,snr_db,-5.0,scaled_4d,proposed,200,200,0.62,0.535,0.84,1.0,38,0,7.275957614183426e-12,-0.3023388581401693,-0.34378711291767977,-0.2558236061352077,1.110445905253175,1.1004419080636132,1.122724388691981,10000
snr,snr_db,0.0,scaled_4d,proposed,200,200,0.64,0.555,0.84,1.0,40,0,1.8189894035458565e-12,-0.3097091891940676,-0.3502505479632479,-0.26515043392735377,1.1130944773371785,1.1020024510025885,1.1191201262455364,10000
snr,snr_db,10.0,scaled_4d,proposed,200,200,0.625,0.49,0.835,1.0,35,0,5.820766091346741e-11,-0.28999982953513487,-0.33218335776284863,-0.24475618333734847,1.1220360919343482,1.1111969192567717,1.1389386709970273,10000
snr,snr_db,15.0,scaled_4d,proposed,200,200,0.63,0.5,0.835,1.0,33,0,2.3283064365386963e-10,-0.2822106732990017,-0.32534995136878325,-0.23518071346255282,1.1208747190503678,1.1089496828486336,1.1345124089592578,10000
snr,snr_db,20.0,scaled_4d,proposed,200,200,0.625,0.535,0.825,1.0,37,0,1.4551915228366852e-11,-0.2985132231321552,-0.3403468033677158,-0.2515895876090853,1.109699625494053,1.098115623887343,1.119944206508226,10000
snr,snr_db,5.0,scaled_4d,proposed,200,200,0.61,0.5,0.815,1.0,30,0,1.862645149230957e-09,-0.26928279996002513,-0.3112957467338967,-0.2203023887156178,1.1171386177319593,1.1072904875759635,1.126297919852172,10000
