suite,x_name,x_value,variant,variant_label,n,n_failed,n_success,success_rate,failure_rate,position_rmse_m,position_mean_error_m,position_conditional_rmse_m,position_median_m,position_p90_m,position_p95_m,peb_position_m_mean,peb_position_m_rms,clock_rmse_ns,clock_median_ns,clock_p90_ns,clock_p95_ns,channel_nmse_mean,channel_nmse_median,channel_nmse_p90,channel_nmse_p95,conditional_outlier_rate,outlier_rate,catastrophic_rate,outlier_ci_low,outlier_ci_high,outlier_ci_method,runtime_mean_s,runtime_median_s,runtime_p95_s,peak_rss_median_mb,peak_rss_max_mb,stage1_runtime_median_s,mksc_projection_runtime_median_s,common_geometry_runtime_median_s,anchor_refresh_runtime_median_s,stage3_runtime_median_s,clock_certificate_rate,clock_certificate_gap_p95,stage1_basin_acquisition_rate,stage1_delay_rmse_ns_median,stage1_delay_rmse_ns_p95,common_geometry_hessian_min_eig_median
snr,snr_db,-10.0,free_jones_peb,Data-only free-Jones PEB,200,0,200,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0012339025535189998,0.0012445061423459105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,not_applicable,5.096482466035522,5.34324261918664,6.449346226733177,nan,nan,nan,nan,nan,nan,5.34324261918664,nan,nan,0.0,nan,nan,nan
snr,snr_db,-10.0,mksc_gi_4_no_refresh_ccop,"MKSC-GI (4 starts, no refresh) + CCOP-JVP",200,0,200,1.0,0.0,0.09307897668758891,0.007653684972257391,0.0012701508556526404,0.0009499100523035267,0.0021142719943742084,0.0024085121246991514,nan,nan,0.2257770180680056,0.0026996859304852803,0.005829504913120824,0.007149949103143258,0.005243583982319364,6.15359120893839e-05,0.00011011514055502979,0.0001714796796593112,0.005,0.005,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,21.777002082737162,22.71868361439556,27.378213157318534,nan,nan,21.927156833466142,0.9123833710327744,1.9529376588761806,0.0,0.7460988378152251,1.0,4.766494961220706e-10,0.985,0.0673772935193081,0.6261933066010856,8.999590728960925
snr,snr_db,-10.0,old_stage1_ccop,Frozen Stage-I + CCOP-JVP,200,0,200,1.0,0.0,0.3345892412218612,0.140522585881293,0.0012368192709241912,0.0010823229870238927,0.7000002877220447,0.7000009148900177,nan,nan,0.4092597684930947,0.003225121688967953,0.031215287769591475,0.06497836753577496,0.04189284651596363,7.357214981854038e-05,0.08829215364843476,0.12854720821363824,0.19,0.19,0.19,0.13810312537283964,0.25133151862374414,Clopper-Pearson exact,19.385550961336122,20.028946810401976,24.139339040918276,nan,nan,19.023324734531343,0.0,0.0,0.0,0.940315667539835,1.0,4.70649346186085e-10,0.675,0.14673370689916077,9.060459522585058,nan
snr,snr_db,-10.0,proposed,MKSC-GI-balanced + CCOP-JVP,200,0,200,1.0,0.0,0.05683597834004047,0.005087209706690623,0.0012671442205513476,0.0009448918333686152,0.002119648009419877,0.002405143682683354,nan,nan,0.1892925001863894,0.002704322445016657,0.005791221923391518,0.007028043239510179,0.0030775369612894214,4.996753567508032e-05,7.167526417800978e-05,8.35734008884868e-05,0.005,0.005,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,21.92054932604078,22.981479946058244,27.45359895220026,nan,nan,22.135070195887238,0.9123833710327744,1.9711069911718369,0.17768588243052363,0.7254234864376485,1.0,4.733787175299519e-10,0.985,0.0673772935193081,0.6261933066010856,8.999590728960925
snr,snr_db,-10.0,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,200,0,200,1.0,0.0,0.31444134760207404,0.13808309835324897,0.0012368244989863079,0.001082442814630736,0.7000002877214555,0.7000009148912262,nan,nan,0.5487422396530665,0.00322511950095736,0.031215285597568213,0.06497868680881609,0.042003911862832914,7.357147898680511e-05,0.08829215224100548,0.1285472083655407,0.195,0.195,0.195,0.14249187477905892,0.2567856875265592,Clopper-Pearson exact,19.43814499426633,20.164284494239837,24.14329010932706,nan,nan,19.023324734531343,0.0,0.0,0.0,0.9953658916056156,nan,nan,0.675,0.14673370689916077,9.060459522585058,nan
snr,snr_db,-15.0,free_jones_peb,Data-only free-Jones PEB,200,0,200,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0021942235049172876,0.0022130796486007015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,not_applicable,4.987832520222291,5.200989352539182,6.372551989369094,nan,nan,nan,nan,nan,nan,5.200989352539182,nan,nan,0.0,nan,nan,nan
snr,snr_db,-15.0,mksc_gi_4_no_refresh_ccop,"MKSC-GI (4 starts, no refresh) + CCOP-JVP",200,0,200,1.0,0.0,0.19669920555416015,0.03807849309262814,0.002237007929792737,0.0017120391102683754,0.004069746966219156,0.0051653716831888165,nan,nan,0.4944663083846435,0.004913799707847364,0.011525973859971552,0.015431841471650649,0.035582376338508394,0.0002074787769885129,0.0010905283655880287,0.02643216819997826,0.04,0.04,0.04,0.017424808994480595,0.07729196822601608,Clopper-Pearson exact,21.549534180569463,22.82513210270554,27.01572767435573,nan,nan,21.89759841747582,0.9233305412344635,2.032645392231643,0.0,0.7534886673092842,1.0,1.0990586425666954e-09,0.945,0.1685288443842436,5.536455938262733,6.439014735639187
snr,snr_db,-15.0,old_stage1_ccop,Frozen Stage-I + CCOP-JVP,200,0,200,1.0,0.0,0.4969373520285891,0.2635631745206639,0.002131461775335309,0.002469590862164055,0.8759347377558653,1.1076324377617979,nan,nan,1.0485500118174176,0.0068147812650169205,2.0594852263881176,2.9699451745364174,0.17970089701959438,0.0010825655982190379,0.9342238691710202,0.989191817397443,0.32,0.32,0.32,0.2559611876399578,0.38946988506165814,Clopper-Pearson exact,19.196049585938454,19.996180799789727,24.81912972438149,nan,nan,18.7429914153181,0.0,0.0,0.0,1.0233992137946188,1.0,1.1406888527217803e-09,0.36,0.8436450033408337,72.75379617560213,nan
snr,snr_db,-15.0,proposed,MKSC-GI-balanced + CCOP-JVP,200,0,200,1.0,0.0,0.18369996078578837,0.036220079193303854,0.0022382126794336893,0.0016908099950393432,0.004079029241676721,0.0051378847588358124,nan,nan,0.41725470072441206,0.004872492984602411,0.011601538537358309,0.01543194141726889,0.03449813265356506,0.00015891416429061298,0.0002465401486945735,0.0003503585514319627,0.04,0.04,0.04,0.017424808994480595,0.07729196822601608,Clopper-Pearson exact,21.639884901908225,23.105628114193678,27.076200335100292,nan,nan,22.325281428173184,0.9233305412344635,1.9697304503060877,0.1731723416596651,0.7412674124352634,1.0,1.1175387275187179e-09,0.945,0.1685288443842436,5.536455938262733,6.439014735639187
snr,snr_db,-15.0,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,200,0,200,1.0,0.0,0.5088888522564355,0.26607224073179586,0.0021281100090100344,0.002355335068507598,0.8187883739488631,1.0638010348438924,nan,nan,1.1015143398238376,0.006814528715780196,2.017457812387704,2.66256719562582,0.18182929122250452,0.0011446763355729965,0.9471644759155846,0.9923571706980916,0.32,0.32,0.32,0.2559611876399578,0.38946988506165814,Clopper-Pearson exact,19.209530798182822,20.072460022289306,24.83974822075106,nan,nan,18.7429914153181,0.0,0.0,0.0,1.046679137274623,nan,nan,0.36,0.8436450033408337,72.75379617560213,nan
snr,snr_db,-20.0,free_jones_peb,Data-only free-Jones PEB,200,0,200,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0039019424798178515,0.003935473971882802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,not_applicable,5.06700165508315,5.231615859549493,6.587498015165328,nan,nan,nan,nan,nan,nan,5.231615859549493,nan,nan,0.0,nan,nan,nan
