figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig4,scalar_peb,0,3147786918,-30.0,snr_db,-30.0,1,scalar,False,,49.46110786800273,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.13828498497512304,0.13828498497512304,nan,nan
fig4,scalar_peb,1,112311654,-30.0,snr_db,-30.0,1,scalar,False,,4.760309931007214,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1439874270234229,0.1439874270234229,nan,nan
fig4,scalar_peb,2,3251202663,-30.0,snr_db,-30.0,1,scalar,False,,49.96709706299589,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14299878562810558,0.14299878562810558,nan,nan
fig4,scalar_peb,3,3422926171,-30.0,snr_db,-30.0,1,scalar,False,,4.781297389010433,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14173779314732937,0.14173779314732937,nan,nan
fig4,scalar_peb,4,287230138,-30.0,snr_db,-30.0,1,scalar,False,,48.726788225001656,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14702209304579728,0.14702209304579728,nan,nan
fig4,scalar_peb,5,2290547997,-30.0,snr_db,-30.0,1,scalar,False,,5.649588145999587,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14359080216722303,0.14359080216722303,nan,nan
fig4,scalar_peb,6,1919806993,-30.0,snr_db,-30.0,1,scalar,False,,49.363506795998546,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14847856070541202,0.14847856070541202,nan,nan
fig4,scalar_peb,7,1914929603,-30.0,snr_db,-30.0,1,scalar,False,,4.319294045999413,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14747088631116537,0.14747088631116537,nan,nan
fig4,scalar_peb,8,641399591,-30.0,snr_db,-30.0,1,scalar,False,,49.40590088900353,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14532770570245687,0.14532770570245687,nan,nan
fig4,scalar_peb,9,3933360494,-30.0,snr_db,-30.0,1,scalar,False,,5.155306514003314,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.15065004765956816,0.15065004765956816,nan,nan
fig4,scalar_peb,10,781873798,-30.0,snr_db,-30.0,1,scalar,False,,49.68269613900338,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14961652836452843,0.14961652836452843,nan,nan
fig4,scalar_peb,11,3685333214,-30.0,snr_db,-30.0,1,scalar,False,,4.398649280003156,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14157923938331649,0.14157923938331649,nan,nan
fig4,scalar_peb,12,2210497206,-30.0,snr_db,-30.0,1,scalar,False,,49.810387193007045,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1520528155771355,0.1520528155771355,nan,nan
fig4,scalar_peb,13,634888206,-30.0,snr_db,-30.0,1,scalar,False,,4.799096665010438,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14280208414904336,0.14280208414904336,nan,nan
fig4,scalar_peb,14,1092560480,-30.0,snr_db,-30.0,1,scalar,False,,49.32610441799625,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14613553801427273,0.14613553801427273,nan,nan
fig4,scalar_peb,15,2734808712,-30.0,snr_db,-30.0,1,scalar,False,,4.608829001997947,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14778982930367146,0.14778982930367146,nan,nan
fig4,scalar_peb,16,1080178429,-30.0,snr_db,-30.0,1,scalar,False,,49.60475020899321,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1428688915111252,0.1428688915111252,nan,nan
fig4,scalar_peb,17,2127997378,-30.0,snr_db,-30.0,1,scalar,False,,4.861946867007646,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14127400903370113,0.14127400903370113,nan,nan
fig4,scalar_peb,18,3644258948,-30.0,snr_db,-30.0,1,scalar,False,,48.986130501987645,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14630965771160584,0.14630965771160584,nan,nan
fig4,scalar_peb,19,3846521747,-30.0,snr_db,-30.0,1,scalar,False,,4.782553030992858,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1516069174157443,0.1516069174157443,nan,nan
fig4,dual_pol_peb,0,3147786918,-30.0,snr_db,-30.0,1,dual_pol,False,,4.076414005990955,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04538523704476419,nan,0.04538523704476419,nan
fig4,dual_pol_peb,1,112311654,-30.0,snr_db,-30.0,1,dual_pol,False,,4.0773199450050015,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04725498746656259,nan,0.04725498746656259,nan
fig4,dual_pol_peb,2,3251202663,-30.0,snr_db,-30.0,1,dual_pol,False,,4.2728704329929315,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.046928917098485456,nan,0.046928917098485456,nan
fig4,dual_pol_peb,3,3422926171,-30.0,snr_db,-30.0,1,dual_pol,False,,3.714425611993647,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04651545006177337,nan,0.04651545006177337,nan
fig4,dual_pol_peb,4,287230138,-30.0,snr_db,-30.0,1,dual_pol,False,,4.1425130250136135,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.048249086661780446,nan,0.048249086661780446,nan
fig4,dual_pol_peb,5,2290547997,-30.0,snr_db,-30.0,1,dual_pol,False,,4.357759653998073,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04712286750838419,nan,0.04712286750838419,nan
fig4,dual_pol_peb,6,1919806993,-30.0,snr_db,-30.0,1,dual_pol,False,,4.57759827299742,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04872702692913567,nan,0.04872702692913567,nan
fig4,dual_pol_peb,7,1914929603,-30.0,snr_db,-30.0,1,dual_pol,False,,4.302921634996892,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04839778130274876,nan,0.04839778130274876,nan
fig4,dual_pol_peb,8,641399591,-30.0,snr_db,-30.0,1,dual_pol,False,,4.789385939002386,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04771023823516806,nan,0.04771023823516806,nan
fig4,dual_pol_peb,9,3933360494,-30.0,snr_db,-30.0,1,dual_pol,False,,3.7223800079955254,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049440518546852066,nan,0.049440518546852066,nan
fig4,dual_pol_peb,10,781873798,-30.0,snr_db,-30.0,1,dual_pol,False,,4.813005507006892,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049101290125845624,nan,0.049101290125845624,nan
fig4,dual_pol_peb,11,3685333214,-30.0,snr_db,-30.0,1,dual_pol,False,,5.378319372000988,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04646747632719002,nan,0.04646747632719002,nan
fig4,dual_pol_peb,12,2210497206,-30.0,snr_db,-30.0,1,dual_pol,False,,4.071973909987719,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049905541613753615,nan,0.049905541613753615,nan
fig4,dual_pol_peb,13,634888206,-30.0,snr_db,-30.0,1,dual_pol,False,,4.513409519000561,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.046864078231166804,nan,0.046864078231166804,nan
fig4,dual_pol_peb,14,1092560480,-30.0,snr_db,-30.0,1,dual_pol,False,,4.486746825001319,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04795898810589778,nan,0.04795898810589778,nan
fig4,dual_pol_peb,15,2734808712,-30.0,snr_db,-30.0,1,dual_pol,False,,4.230870950006647,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.048503357801683335,nan,0.048503357801683335,nan
fig4,dual_pol_peb,16,1080178429,-30.0,snr_db,-30.0,1,dual_pol,False,,5.077557910990436,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04688634052942263,nan,0.04688634052942263,nan
fig4,dual_pol_peb,17,2127997378,-30.0,snr_db,-30.0,1,dual_pol,False,,4.62347380600113,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.046366183083423156,nan,0.046366183083423156,nan
fig4,dual_pol_peb,18,3644258948,-30.0,snr_db,-30.0,1,dual_pol,False,,4.905802756999037,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0480170149928709,nan,0.0480170149928709,nan
fig4,dual_pol_peb,19,3846521747,-30.0,snr_db,-30.0,1,dual_pol,False,,4.716278791995137,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04975996089525603,nan,0.04975996089525603,nan
fig4,full_6d_evs_peb,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,4.937696526991203,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.018526650872191935,nan,nan,0.018526650872191935
fig4,full_6d_evs_peb,1,112311654,-30.0,snr_db,-30.0,1,full_6d,False,,4.353368443000363,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019290632247081097,nan,nan,0.019290632247081097
fig4,full_6d_evs_peb,2,3251202663,-30.0,snr_db,-30.0,1,full_6d,False,,4.334619770001154,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019158179588015068,nan,nan,0.019158179588015068
fig4,full_6d_evs_peb,3,3422926171,-30.0,snr_db,-30.0,1,full_6d,False,,4.617304797997349,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.018989238849813978,nan,nan,0.018989238849813978
fig4,full_6d_evs_peb,4,287230138,-30.0,snr_db,-30.0,1,full_6d,False,,4.038581360000535,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019697199872050083,nan,nan,0.019697199872050083
