trial_id,seed,snr_db,failed,error,shared_data_hash,delta_position_error_m,delta_clock_error_ns,delta_range_rmse_m,delta_tau_rmse_s,delta_channel_y_nmse,delta_raw_objective,delta_regularized_objective,delta_route_runtime_s,delta_deployment_runtime_s,ccop_position_win,ccop_clock_win,ccop_channel_win,ccop_raw_objective_win,ccop_regularized_objective_non_degradation,ccop_incremental_runtime_win,old_outlier,ccop_outlier,outlier_rescued,outlier_introduced
0,4191845062,-10.0,False,,4c6db7d8cd15b9654b28,-0.03520477199123736,-0.10950598532336783,-0.029062361768366393,-2.8119097821142305e-11,-0.021523655067213262,-0.007638057592260328,-0.007636935888855945,0.026327911065891385,0.615971805062145,True,True,True,True,True,False,False,False,False,False
1,1963740598,-10.0,False,,213639ecff5da63977c6,-0.0001558232058331832,-0.04839293635394372,-0.010338467846155941,-6.577923738260417e-12,-0.00546792100173521,-0.0017968347345278524,-0.0017956876136624444,0.008050851756706834,0.4918985159602016,True,True,True,True,True,False,True,True,False,False
2,1670551931,-10.0,False,,550cf4d5f38ed26d977b,-0.014882952339826226,-0.04501979284098616,-0.012340673817835853,-8.31125210966937e-12,-0.003842833992609709,-0.001891573094673582,-0.0018913165384777386,0.12822294095531106,0.5630116979591548,True,True,True,True,True,False,False,False,False,False
3,268311551,-10.0,False,,3bdd1c0ac613bf8c9d7e,-0.008020179530449497,-0.0007513045028722529,-0.001524045821215527,-2.5968595707056394e-13,-0.00017113823285956658,-0.0001346682704754798,-0.00013469068414195817,0.15448652300983667,0.5634005300235003,True,True,True,True,True,False,False,False,False,False
4,2546022630,-10.0,False,,1a8c5623f1d65c476a1f,-0.010510126541136802,-0.02390881184994689,-0.007505321454664357,-2.4985742370823755e-12,-0.003455088910178398,-0.001569947190275478,-0.0015699329213560986,0.07310555316507816,0.5151494680903852,True,True,True,True,True,False,False,False,False,False
5,2003832857,-10.0,False,,27ce6a9f440e86015a74,-1.6753596929985903e-05,0.010722839424715296,0.001593599308053091,1.831541932511691e-12,-0.0001674662580238434,-7.855291195291159e-05,-7.870243201679727e-05,0.06323345913551748,0.444377691950649,True,False,True,True,True,False,True,True,False,False
6,3924407702,-10.0,False,,7f031cad3b07b0158f3b,-0.00789923692743739,-0.026212718103162537,-0.007180895872745347,-2.0134180818167173e-12,-0.0013251833045499098,-0.0009508793961581219,-0.0009505072031013029,0.1737557917367667,0.5539219337515533,True,True,True,True,True,False,False,False,False,False
7,3053707144,-10.0,False,,543dd0de7252b5ba6462,0.04723026971452848,0.10814989028576116,0.047037842266086094,4.8706311203535185e-11,-0.003469875774180675,-0.0012887404710877348,-0.001286951417917237,-0.5864981040358543,0.49001927906647325,False,False,True,True,True,True,True,True,False,False
8,3315122986,-10.0,False,,76eb89a21dc97517c109,-0.0875187227186796,-0.2764154822497533,-0.07890312833959973,-2.2919819538013724e-11,-0.08959234552541953,-0.015256695198623715,-0.01525554157826714,0.18327366514131427,0.600677102105692,True,True,True,True,True,False,False,False,False,False
9,1804969292,-10.0,False,,7145023eb999cc019123,-0.030522305725322642,-0.08124498782596144,-0.02347103813706936,-2.7992424836188337e-11,-0.07124139164683924,-0.032283145751963005,-0.0314904888419667,-0.027818765258416533,0.5124903058167547,True,True,True,True,True,True,False,False,False,False
10,1162771679,-10.0,False,,742ba987bca3dc899baa,-0.004281335853213726,-0.00859926259746682,-0.0024013194116917756,-1.527951859092541e-13,-0.0005596192047358188,-0.00012357774507076869,-0.0001235686302063499,0.06479348591528833,0.46646820404566824,True,True,True,True,True,False,False,False,False,False
11,2669766368,-10.0,False,,c0ed81e57d07ff835dc5,-0.05536459238351,-0.1727544762600757,-0.04434821288394638,-4.502292741833728e-11,-0.043013766113828414,-0.01948794176126878,-0.01948656613088584,0.03548731398768723,0.608744554920122,True,True,True,True,True,False,False,False,False,False
12,795438795,-10.0,False,,52e48856373a76d12405,-0.05763963620745091,-0.18870159772528566,-0.04941318676863275,-4.9048108712514556e-11,-0.04566681357581679,-0.020304200901368752,-0.020292589967221275,0.11514756991527975,0.5555965590756387,True,True,True,True,True,False,False,False,False,False
13,2634590860,-10.0,False,,6fe906c4406fa966afe9,-0.30271131345755636,-0.04453931878959881,-0.017106703568619517,-2.3572135145351202e-11,-0.052915259390549814,-0.021439194592591804,-0.021433927333999847,0.22517949994653463,0.6920190819073468,True,True,True,True,True,False,True,False,True,False
