init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,K,N,trial,seed,pipeline,failed,error,Y_NMSE,Z_NMSE,raw_noisy_residual,Z_noisy_residual,position_error,range_RMSE,delay_RMSE,polarization_angle_RMSE,delay_geometry_consistency_RMSE,compressed_ris_manifold_residual,evs_maxwell_consistency_residual,common_delay_pole_consistency,vp_converged,vp_nfev,vp_final_noisy_objective,vp_initial_noisy_objective,vp_initial_Y_NMSE,vp_worsened_noisy_objective,vp_worsened_true_nmse,optimizer_converged,optimizer_status,optimizer_message,nfev,initial_noisy_objective,final_noisy_objective,relative_noisy_objective_decrease,final_position_error,final_Y_NMSE,fail_convergence,fail_position_50cm,fail_position_1m,fail_nmse_1e2,fail_noisy_objective_increase,stage2_worsened_noisy_z_residual,stage2_worsened_true_z_nmse,stage2_initial_Z_noisy_residual,stage2_final_Z_noisy_residual,stage2_initial_Z_NMSE,stage2_final_Z_NMSE,success_pos_10cm,success_pos_20cm,success_pos_50cm,success_nmse_1e3,success_nmse_1e2
clean,clean,,0.0,128,32x32,2,24,0,2026052800,Stage-I only,False,,0.0003006336938693424,0.0002777916986368922,0.4998868349337991,0.4982942092203066,0.34963044252578473,0.22124731284938623,5.828251775249375e-12,0.006867080328968265,2.245016260546163e-10,6.635031485768776e-25,1.0000012182459269e-20,7.850462293418876e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,True
clean,clean,,0.0,128,32x32,2,24,0,2026052800,Stage-I + VP,False,,0.004117146092182018,0.003929144746753717,0.5021213263926663,0.5003114589306897,0.7000070265975645,0.007714936842075825,3.1021806892422766e-11,0.00923751152650781,2.0679515313825692e-24,6.564420674288315e-25,1.0000006559010019e-20,1.8619006149354548e-16,True,513,0.5021213263926663,0.7636372009419621,0.5295920813399952,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,513,0.7636372009419621,0.5021213263926663,0.3424608887921,0.7000070265975645,0.004117146092182018,False,True,False,False,False,,,,,,,False,False,False,False,True
clean,clean,,0.0,128,32x32,2,24,0,2026052800,Stage-I + Stage-II,False,,0.0002496852874833911,0.00024433503023192133,0.4998812026491088,0.4982729479371414,0.343358874545853,0.18855972478739053,1.6341499807871222e-12,0.006962319472733683,6.91601732518049e-11,6.642953992300693e-25,9.99999765783117e-21,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,0.4982942092203066,0.4982729479371414,0.0002777916986368922,0.00024433503023192133,False,False,True,True,True
clean,clean,,0.0,128,32x32,2,24,0,2026052800,Stage-I + Stage-II + VP,False,,0.004110718484400977,0.003921098207971233,0.502121700505889,0.5003114383696321,0.700006216708568,0.0077755807294669944,3.1211358321897675e-11,0.009275422663849404,1.6543612251060553e-24,6.563403747622633e-25,1.0000008289430328e-20,5.551115123125783e-17,True,561,0.502121700505889,0.6814685090766006,0.3639999484096583,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,561,0.6814685090766006,0.502121700505889,0.2631769570889329,0.700006216708568,0.004110718484400977,False,True,False,False,False,False,False,0.4982942092203066,0.4982729479371414,0.0002777916986368922,0.00024433503023192133,False,False,False,False,True
clean,clean,,0.0,128,32x32,2,24,1,2026052801,Stage-I only,False,,0.0002923466191674964,0.0002766168153444203,0.4998870198442445,0.500188293612888,0.7238090720431828,1.0419293880704008,1.496859966904623e-11,0.01722232888837357,2.686480198277025e-09,6.128062796863087e-25,9.999965877851894e-21,8.326672684688674e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,1,2026052801,Stage-I + VP,False,,0.9813474632994953,0.9784154692287672,0.9900956674979828,0.9889323356450755,0.6968985717403983,0.4736740859638785,5.472633117364082e-10,0.12301802194179547,0.0,6.877477465951149e-25,9.999977227813906e-21,1.3401577416544657e-16,True,353,0.9900956674979828,0.9925360348834857,0.9865204979226916,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,353,0.9925360348834857,0.9900956674979828,0.0024587191796914274,0.6968985717403983,0.9813474632994953,False,True,False,True,False,,,,,,,False,False,False,False,False
clean,clean,,0.0,128,32x32,2,24,1,2026052801,Stage-I + Stage-II,False,,0.00029170475230016335,0.0002792417138937353,0.4999046699861872,0.5001674818022301,1.058015816685405,1.5411360733504407,1.6774428874567568e-11,0.02454262559030923,3.858956213477217e-09,6.11410522103414e-25,1.0000010350798058e-20,5.551115123125783e-17,,,,,,,,,,,,,,,,,,,,,,False,True,0.500188293612888,0.5001674818022301,0.0002766168153444203,0.0002792417138937353,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,1,2026052801,Stage-I + Stage-II + VP,False,,0.9813465409275322,0.9784161320881283,0.9900956662794802,0.9889329140348119,0.6967823969402337,0.4735649027218921,5.471783908313832e-10,0.122765308914059,0.0,6.877455143665835e-25,9.999995056325257e-21,1.1102230246251565e-16,True,369,0.9900956662794802,0.998519215618645,0.9966769306107726,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,369,0.998519215618645,0.9900956662794802,0.008436041297358376,0.6967823969402337,0.9813465409275322,False,True,False,True,False,False,True,0.500188293612888,0.5001674818022301,0.0002766168153444203,0.0002792417138937353,False,False,False,False,False
clean,clean,,0.0,128,32x32,2,24,2,2026052802,Stage-I only,False,,0.00018036899835529888,0.00015063866205239487,0.5046932266109889,0.505080170967065,0.3115815135838068,0.09059888988145698,8.435211828945108e-12,0.00537833544810016,2.9358884691154377e-10,7.856345139732508e-25,9.999998432710095e-21,1.8619006149354548e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,True
clean,clean,,0.0,128,32x32,2,24,2,2026052802,Stage-I + VP,False,,0.00010655570429384752,9.746441838639268e-05,0.5046834313464361,0.5051098693281586,0.006008937236015636,0.0008158583498587925,4.482520260456026e-12,0.0007031981813499093,1.7668585629267794e-24,7.850447794438731e-25,9.999994388186558e-21,1.4056797676537057e-16,True,609,0.5046834313464361,0.5493315314947984,0.0890969851847362,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,609,0.5493315314947984,0.5046834313464361,0.08127714793081209,0.006008937236015636,0.00010655570429384752,False,False,False,False,False,,,,,,,True,True,True,True,True
