figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons
fig1,free_jones_vp,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,3.7031765608116984,0.0032017681918593594,0.0032017681918593594,0.00026679165751241523,0.0028370143975727778,1.6915487406532835e-12,4.943290734316535,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,dff89d832550b169,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",direct_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,2.007937121205032,24.166860389523208,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",,,,920330.7434199442,76.03604192503404,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_gated_rescue,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,4.9183380184695125,0.0032017681918593594,0.0032017681918593594,0.00026679165751241523,0.0028370143975727778,1.6915487406532835e-12,4.943290734316535,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,dff89d832550b169,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",direct_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,3.783776303753257,25.942699572071433,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",,,,920330.7434199442,76.03604192503404,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_geometry_gated_rescue,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,10.434264824725688,0.0032017681918593594,0.0032017681918593594,0.00026679165751241523,0.0028370143975727778,1.6915487406532835e-12,4.943290734316535,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,0b08463461e2fcbc,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",jnpp_then_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,3.9517369801178575,26.110660248436034,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_force_rescue,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,10.448387376964092,0.0032017681918593594,0.0032017681918593594,0.00026679165751241523,0.0028370143975727778,1.6915487406532835e-12,4.943290734316535,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,a1bb151cc46c380b,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",jnpp_then_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,3.722788544371724,25.8817118126899,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_force_rescue_lower_raw,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,10.045299829915166,0.002590743347587471,0.002590743347587471,4.825171959098317e-05,0.00018545821914664826,8.678505142056464e-13,4.943111671352492,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,12e9374e98dcc20a,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",jnpp_then_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,2.3848206540569663,26.666929229162633,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,accepted,accepted,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_geometry_gated_lower_raw,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,10.327536021359265,0.002590743347587471,0.002590743347587471,4.825171959098317e-05,0.00018545821914664826,8.678505142056464e-13,4.943111671352492,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,02e50303d71a10d0,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",jnpp_then_vp,"[""poor_clock_consistency""]",3096393.326178916,3096560,True,920330.7434199442,76.03604192503404,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",21.758732974529266,2.2836164506152272,26.55528874322772,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,accepted,accepted,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,PEB,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,0.03380428347736597,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,96ad8621c939d8e3,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001003554190456147,nan,nan,0.001003554190456147,False,72d5586e1e2071d827e37c0d5029359210d7878b9ab9d369f2c38d0e300801aa,4.9435823671008885,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[]
fig1,free_jones_vp,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,5.359516729600728,0.006998551784337017,0.006998551784337017,0.0013389672473519416,0.006179051655666122,5.5278739990948995e-12,2.7818542789486,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,323330a64fcde0af,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",direct_vp,"[""poor_clock_consistency""]",3097943.295093354,3096560,True,860165.1214229974,79.63819440480904,4.328386879314019,0.24464398053259098,"[4.720824926272022,4.774117560061667,5.264383197794091]",24.837397636845708,3.9595030723139644,29.22556064464152,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.006998551784337017,0.0013389672473519416,2.7818542789486,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",,,,860165.1214229974,79.63819440480904,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_gated_rescue,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,5.279160710982978,0.006998551784337017,0.006998551784337017,0.0013389672473519416,0.006179051655666122,5.5278739990948995e-12,2.7818542789486,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,323330a64fcde0af,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",direct_vp,"[""poor_clock_consistency""]",3097943.295093354,3096560,True,860165.1214229974,79.63819440480904,4.328386879314019,0.24464398053259098,"[4.720824926272022,4.774117560061667,5.264383197794091]",24.837397636845708,4.158132876269519,29.424190448597074,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.006998551784337017,0.0013389672473519416,2.7818542789486,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",,,,860165.1214229974,79.63819440480904,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1,free_jones_vp_geometry_gated_rescue,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,12.389880212023854,0.006998551784337017,0.006998551784337017,0.0013389672473519416,0.006179051655666122,5.5278739990948995e-12,2.7818542789486,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,b73b8c85b2335e99,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3097943.295093354,3096560,True,860165.1214229974,79.63819440480904,4.328386879314019,0.24464398053259098,"[4.720824926272022,4.774117560061667,5.264383197794091]",24.837397636845708,4.025035533122718,29.291093105450273,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.006998551784337017,0.0013389672473519416,2.7818542789486,0.005112977446654998,0.0001746730771516706,2.781462480953541,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]","[0.0,0.0,0.0]",,"[0.00013875262662227362,4.234018465495291e-06,2.307185878398476e-05]",860165.1214229974,79.63819440480904,865015.4053706705,78.59744731180945,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
