figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig2,free_jones_vp,-10.0,y_nmse,y_nmse,0.058167513956823826,0.0032130444966160703,0.21253701266668262,0.00032776443802606244,0.027104773600194913,0.058167513956823826,0.0032130444966160703,0.21253701266668262,0.00032776443802606244,0.027104773600194913,1.0,0.1,100,3,3,3,0.08656526444801509,0.02568982649713034,0.2458207027363474,0.006639183052744069,0.06617027082002518,0.058167513956823826,0.0032130444966160703,0.21253701266668262,0.00032776443802606244,0.027104773600194913,0.03796889076849461,0.008485575784062505,0.11868284223911917,0.0015335432882580232,0.04201572542091455,9.647571208788081e-11,6.359658614990433e-12,4.4129771061712797e-10,2.063929011788472e-12,3.055492782760141e-11,3.706404262257998,3.3235198261037553,1.9136958043984482,1.6621593236793626,6.7866055520290045,0.1,0.0,0.3,0.0,0.10000000000000853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp,-5.0,y_nmse,y_nmse,0.0037147619291461324,0.0014110014534311696,0.007691637900580995,8.871139055618173e-05,0.00862789232951248,0.0037147619291461324,0.0014110014534311696,0.007691637900580995,8.871139055618173e-05,0.00862789232951248,1.0,0.01,100,3,3,3,0.018207928525647465,0.018876434255901443,0.016063553639463327,0.002867817199986516,0.029870041457408337,0.0037147619291461324,0.0014110014534311696,0.007691637900580995,8.871139055618173e-05,0.00862789232951248,0.007457530816569044,0.004218913767507696,0.011626668006543793,0.0008621562097360822,0.01624122608157338,6.473201221878226e-12,2.91824212408966e-12,1.4713217948015114e-11,1.221532772451438e-12,1.0305315984645463e-11,1.165756707061511,1.044637193632954,0.5979722302033816,0.5268217755333806,2.147908456542621,0.01,0.0,0.09949874371066199,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp,0.0,y_nmse,y_nmse,0.002333395676913877,0.0010411811825457385,0.005848295635216001,6.176965370165036e-05,0.004676468404704802,0.002333395676913877,0.0010411811825457385,0.005848295635216001,6.176965370165036e-05,0.004676468404704802,1.0,0.0,100,3,3,3,0.014702732585918234,0.010593937273828834,0.011630927991097948,0.00199794402604188,0.02768686259373379,0.002333395676913877,0.0010411811825457385,0.005848295635216001,6.176965370165036e-05,0.004676468404704802,0.004884460791206101,0.003489612509849467,0.005400049524552845,0.0008888306943605618,0.009856244885741244,3.7518842589772785e-12,2.6753741388618985e-12,5.138634106708937e-12,8.925869490087907e-13,6.288375850588857e-12,0.3691360521891852,0.3306840484920809,0.18938599273006,0.16697851463685306,0.6792625859676046,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp,5.0,y_nmse,y_nmse,0.0010028878914975102,0.0005668172665474868,0.001421091203104321,1.231692798861766e-05,0.002112242510308587,0.0010028878914975102,0.0005668172665474868,0.001421091203104321,1.231692798861766e-05,0.002112242510308587,1.0,0.0,100,3,3,3,0.011040635633404641,0.005784510224251687,0.01059888801440423,0.0008743746834195968,0.02617504195393509,0.0010028878914975102,0.0005668172665474868,0.001421091203104321,1.231692798861766e-05,0.002112242510308587,0.0032035391304278626,0.0024202546817809513,0.0032454554188491,0.0004936949464156093,0.006126851532071313,2.6651000998694093e-12,1.9377404394624937e-12,3.478795705995894e-12,3.7676013953893986e-13,5.121483979267973e-12,0.11681511892160108,0.10474770711052214,0.059894018847408276,0.05285291683487094,0.21483778291934935,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp,10.0,y_nmse,y_nmse,0.0007300431256629578,0.00026966103496771094,0.0009091536288847846,6.6969280882413e-06,0.0020886432855761307,0.0007300431256629578,0.00026966103496771094,0.0009091536288847846,6.6969280882413e-06,0.0020886432855761307,1.0,0.0,100,3,3,3,0.009130828544833136,0.0036349871293346898,0.010321282290344437,0.0006317920872401038,0.02612157880606218,0.0007300431256629578,0.00026966103496771094,0.0009091536288847846,6.6969280882413e-06,0.0020886432855761307,0.0024449765912203515,0.002125144805795352,0.001961856415214248,0.00038652690213931046,0.004772754244201403,1.9083568481839124e-12,1.733197508159002e-12,1.7046367778891679e-12,2.3362247374738656e-13,3.614391743826878e-12,0.0370897257039221,0.033244880049805976,0.019015302252490776,0.016741346756089254,0.06792356704267473,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue,-10.0,y_nmse,y_nmse,0.020363667145285397,0.0016185064762956995,0.11786750751244222,7.245688466234632e-05,0.007638758730654771,0.020363667145285397,0.0016185064762956995,0.11786750751244222,7.245688466234632e-05,0.007638758730654771,1.0,0.02,100,3,3,3,0.04174862252734518,0.014092864110771992,0.1832712895543483,0.001669284494215855,0.02846652834015663,0.020363667145285397,0.0016185064762956995,0.11786750751244222,7.245688466234632e-05,0.007638758730654771,0.024828788065473274,0.004251143751702454,0.12858745304024255,0.0005147019035262238,0.013822708509623286,3.824371555967339e-11,4.569317176487845e-12,2.422486549038843e-10,1.4969619692401092e-12,1.1414553720666955e-11,3.6881678757603127,3.305585312044032,1.8891329398761008,1.6621593236793626,6.7866055520290045,0.02,0.0,0.13999999999999999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue,-5.0,y_nmse,y_nmse,0.0007554163169846109,0.0003599205975678521,0.0008654811733176801,1.7889604920468562e-05,0.0021608895325272008,0.0007554163169846109,0.0003599205975678521,0.0008654811733176801,1.7889604920468562e-05,0.0021608895325272008,1.0,0.0,100,3,3,3,0.008999804725105209,0.0053665128662597605,0.009078323044326923,0.0007160942145010524,0.0252008023596999,0.0007554163169846109,0.0003599205975678521,0.0008654811733176801,1.7889604920468562e-05,0.0021608895325272008,0.002755045837185704,0.001664863133333167,0.0028003052520009755,0.00015269787236914232,0.007413959251417809,2.550631175017559e-12,2.218868672522913e-12,1.878866102886809e-12,5.525289439332946e-13,4.87075983545934e-12,1.1645256612632089,1.044637193632954,0.5971370271856503,0.525362097419542,2.1460205010879188,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue,0.0,y_nmse,y_nmse,0.00017740536214131168,1.8541372491009592e-05,0.0002822346201967357,5.006016841606616e-06,0.0007363008192001873,0.00017740536214131168,1.8541372491009592e-05,0.0002822346201967357,5.006016841606616e-06,0.0007363008192001873,1.0,0.0,100,3,3,3,0.0029713848088900614,0.0014306530583190172,0.004415218384258174,0.0002451569425707296,0.0064220293508960025,0.00017740536214131168,1.8541372491009592e-05,0.0002822346201967357,5.006016841606616e-06,0.0007363008192001873,0.001328764414656463,0.0004417312056393844,0.001643913704491073,6.21455389643838e-05,0.003995618055438455,1.357204033030088e-12,1.0677467787594472e-12,1.1691766101565799e-12,2.229516445588281e-13,2.8389255549865474e-12,0.368229807136071,0.33037601611551676,0.188819140089484,0.16612267907320935,0.678606310758598,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue,5.0,y_nmse,y_nmse,3.657694486605585e-05,3.990757769414361e-06,7.092354064091126e-05,1.5044433200552771e-06,0.00015561806167625148,3.657694486605585e-05,3.990757769414361e-06,7.092354064091126e-05,1.5044433200552771e-06,0.00015561806167625148,1.0,0.0,100,3,3,3,0.0010753538486264931,0.0006102779639104113,0.0011418606237055102,0.00015555333824136366,0.0023572805821732773,3.657694486605585e-05,3.990757769414361e-06,7.092354064091126e-05,1.5044433200552771e-06,0.00015561806167625148,0.000634561756069517,0.00016972708019657827,0.0008975253779978338,3.1562983411012556e-05,0.0018760231879443427,6.944432593845314e-13,4.436421531075915e-13,7.507322251680321e-13,1.2486776656693983e-13,1.5484726292063942e-12,0.11644033078663549,0.10445126367172969,0.05971284489675801,0.052532604021378555,0.21459902225716324,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue,10.0,y_nmse,y_nmse,1.1412231253922975e-05,1.1691160149989346e-06,2.1518628561711496e-05,4.890862993192174e-07,4.457972899398353e-05,1.1412231253922975e-05,1.1691160149989346e-06,2.1518628561711496e-05,4.890862993192174e-07,4.457972899398353e-05,1.0,0.0,100,3,3,3,0.0005758859451133927,0.00035211481395011255,0.0005863807596055337,8.714375283036513e-05,0.0012960222749909944,1.1412231253922975e-05,1.1691160149989346e-06,2.1518628561711496e-05,4.890862993192174e-07,4.457972899398353e-05,0.00034126372824445797,8.346743046185143e-05,0.0004886376226320105,2.0063995499200032e-05,0.001065174433912532,3.7385212160202795e-13,2.436068068620971e-13,3.7838428126522867e-13,6.716966901664548e-14,9.73367022105085e-13,0.036820682139839966,0.03303146770292248,0.01888074103211903,0.016612268580118085,0.06786091996742746,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
