variant,snr_db,n,mean_error_over_peb,median_error_over_peb,p90_error_over_peb,max_error_over_peb,outlier_count_5peb,outlier_rate_5peb,direct_vp_count,ris_only_stage2_then_vp_count,direct_vp_rollback_count,jnpp_decision_count,gof_fail_count
free_jones_vp,-10.0,100,65.74468534837601,18.452169613639462,47.611507475789125,1017.7114289581657,91,0.91,100,0,0,25,25
free_jones_vp,-5.0,100,25.755011058882047,23.3075860567959,44.31172681216185,124.80547659237786,87,0.87,100,0,0,32,32
free_jones_vp,0.0,100,37.450595035449254,29.146031869703737,75.15630732387957,99.27979556303562,88,0.88,100,0,0,44,44
free_jones_vp,5.0,100,49.8461386905413,26.28295677813282,121.06206302881873,145.8466103571701,87,0.87,100,0,0,55,55
free_jones_vp,10.0,100,74.69784249731374,27.687044549090594,221.28927994220751,261.9024508995222,90,0.9,100,0,0,65,65
free_jones_vp_force_rescue,-10.0,100,33.94621356031982,11.990702099626823,24.725453336400214,1090.478719114485,72,0.72,0,23,77,100,25
free_jones_vp_force_rescue,-5.0,100,12.811101075129827,7.935527485374447,34.18997941147854,43.213317055013604,61,0.61,0,29,71,100,32
free_jones_vp_force_rescue,0.0,100,7.497479507696462,3.575579659745374,14.705566676081299,50.118466137286916,39,0.39,0,51,49,100,44
free_jones_vp_force_rescue,5.0,100,4.825978369492072,2.9509713412124183,10.613304644409528,24.681092697642384,33,0.33,0,58,42,100,55
free_jones_vp_force_rescue,10.0,100,4.609278441544403,2.925322927562125,11.086177464858732,25.002326303814208,31,0.31,0,63,37,100,65
free_jones_vp_force_rescue_lower_raw,-10.0,100,24.33118812069898,1.423427572612832,5.433944352301691,1090.478719114485,11,0.11,0,100,0,100,25
free_jones_vp_force_rescue_lower_raw,-5.0,100,1.990686739461928,1.5923366276076503,3.9607195519363145,9.127667696702776,5,0.05,0,97,3,100,32
free_jones_vp_force_rescue_lower_raw,0.0,100,2.0540198572038584,1.6761008824776606,3.852638003027451,6.322310904716049,5,0.05,0,98,2,100,44
free_jones_vp_force_rescue_lower_raw,5.0,100,2.1801792567648315,1.9160326304263813,4.136078250098785,8.043268722773607,6,0.06,0,97,3,100,55
free_jones_vp_force_rescue_lower_raw,10.0,100,2.2631138491753817,1.9925332851795012,4.311561078896274,8.395651279364845,5,0.05,0,98,2,100,65
free_jones_vp_gated_rescue,-10.0,100,35.667459553463566,13.769736701647062,28.908874682844925,1090.478719114485,78,0.78,75,17,8,25,25
free_jones_vp_gated_rescue,-5.0,100,15.714712085463134,10.417802123339715,39.008611243742045,50.20562912760229,69,0.69,68,21,11,32,32
free_jones_vp_gated_rescue,0.0,100,13.511994518926793,5.3678127825855055,49.75250033043066,68.10042101515904,50,0.5,56,39,5,44,44
free_jones_vp_gated_rescue,5.0,100,6.378066229660745,3.375471790194684,13.474368583016119,56.711514327097206,38,0.38,45,52,3,55,55
free_jones_vp_gated_rescue,10.0,100,5.10378296994282,3.168920243496077,12.055500572979067,25.002326303814208,34,0.34,35,60,5,65,65
free_jones_vp_geometry_gated_lower_raw,-10.0,100,25.106394421534286,1.8186838492472701,8.470117177569662,1090.478719114485,17,0.17,8,92,0,92,25
free_jones_vp_geometry_gated_lower_raw,-5.0,100,6.198341766212085,2.3696252723631783,13.601577580597871,50.20562912760229,23,0.23,25,72,3,75,32
free_jones_vp_geometry_gated_lower_raw,0.0,100,10.068534318775798,3.175225035722703,40.13892824707441,68.10042101515904,34,0.34,41,59,0,59,44
free_jones_vp_geometry_gated_lower_raw,5.0,100,5.895810030352583,2.9904579682788066,13.1826123202118,56.711514327097206,33,0.33,41,59,0,59,55
free_jones_vp_geometry_gated_lower_raw,10.0,100,4.714998538407764,2.925322927562125,11.634923507863679,25.002326303814208,28,0.28,34,66,0,66,65
free_jones_vp_geometry_gated_rescue,-10.0,100,34.22089898558983,12.40704053579195,25.527968372080856,1090.478719114485,73,0.73,8,22,70,92,25
free_jones_vp_geometry_gated_rescue,-5.0,100,14.026929236606213,9.022900227288826,36.52163307786539,50.20562912760229,64,0.64,25,26,49,75,32
free_jones_vp_geometry_gated_rescue,0.0,100,11.708906916664446,4.634405471925607,40.13892824707441,68.10042101515904,46,0.46,41,43,16,59,44
free_jones_vp_geometry_gated_rescue,5.0,100,6.378066229660745,3.375471790194684,13.474368583016119,56.711514327097206,38,0.38,41,52,7,59,55
free_jones_vp_geometry_gated_rescue,10.0,100,5.10378296994282,3.168920243496077,12.055500572979067,25.002326303814208,34,0.34,34,60,6,66,65
