figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1_fig2,free_jones_vp,3,3422926171,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,115.23148191720247,0.001088372817031159,0.001088372817031159,5.771256858432069e-05,0.000864204433293676,2.4441864056681213e-12,0.8795843735691048,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1985b165b00e4f35,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.481963346290226e-05,1.5784092555108303e-06,4.404568995596184e-06]",direct_vp,"[""poor_clock_consistency""]",3097537.6412904686,3096560,True,2710401.568657131,79.33765309686237,9.106742095806037,0.12096642599878274,"[4.881545118725386,4.876264855270377,5.135472779400825]",149.096008323133,107.51965736597776,258.10617361962795,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001088372817031159,5.771256858432069e-05,0.8795843735691048,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,3,3422926171,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,110.21564493328333,0.001088372817031159,0.001088372817031159,5.771256858432069e-05,0.000864204433293676,2.4441864056681213e-12,0.8795843735691048,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1985b165b00e4f35,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.481963346290226e-05,1.5784092555108303e-06,4.404568995596184e-06]",direct_vp,"[""poor_clock_consistency""]",3097537.6412904686,3096560,True,2710401.568657131,79.33765309686237,9.106742095806037,0.12096642599878274,"[4.881545118725386,4.876264855270377,5.135472779400825]",149.096008323133,103.22014360129833,253.80665985494852,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001088372817031159,5.771256858432069e-05,0.8795843735691048,nan,nan,nan,False,not_run,not_requested
fig1_fig2,PEB,3,3422926171,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,5.771444447338581,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,2cf724d492777f60,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006147117865929228,nan,nan,0.0006147117865929228,False,36031d2b9c9618797e3e0dd10eb5c7dda8abc129f14c8c8dd5b717980768d13b,0.8793113035534897,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,23,2043173887,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2043173887,,,nan,,False,,115.8342125415802,0.014428568544506736,0.014428568544506736,0.004174449596557238,0.0128357862846294,5.86137053673236e-12,1.0371035187416706,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,3370fc734bceac49,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.00027888318460576926,1.0986123188361619e-07,5.088582498357208e-07]",direct_vp,"[""poor_clock_consistency""]",3100311.6872224766,3096560,True,2621510.9775440297,63.53334794098293,10.421158676847131,0.1205512251246537,"[5.1704232583540435,4.8824649249364,4.96981645601343]",154.49799602478743,107.34314999729395,263.2215552031994,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.014428568544506736,0.004174449596557238,1.0371035187416706,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,23,2043173887,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2043173887,,,nan,,False,,108.96904966235161,0.014428568544506736,0.014428568544506736,0.004174449596557238,0.0128357862846294,5.86137053673236e-12,1.0371035187416706,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,3370fc734bceac49,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.00027888318460576926,1.0986123188361619e-07,5.088582498357208e-07]",direct_vp,"[""poor_clock_consistency""]",3100311.6872224766,3096560,True,2621510.9775440297,63.53334794098293,10.421158676847131,0.1205512251246537,"[5.1704232583540435,4.8824649249364,4.96981645601343]",154.49799602478743,102.46814691275358,258.346552118659,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.014428568544506736,0.004174449596557238,1.0371035187416706,nan,nan,nan,False,not_run,not_requested
fig1_fig2,PEB,23,2043173887,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2043173887,,,nan,,False,,5.702216796576977,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,c72f4ff18ecc21cd,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006230569693857981,nan,nan,0.0006230569693857981,False,7093cfec76f40175c6c7c58aa1b5153ce86056a79427b6463226f28ede4d41bd,1.0358538720112092,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,115.32910658419132,0.0014304514648298132,0.0014304514648298132,5.610355463211759e-05,0.0012517024075300131,7.952907154703955e-13,1.5631866995793733,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1b18a35984c0e015,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.2015448828026813e-05,1.0988813359326406e-06,3.498809829416089e-05]",direct_vp,"[""poor_clock_consistency""]",3096355.5204788926,3096560,True,2914061.2817272763,76.09085098316677,7.760300799958005,0.10951909042676872,"[4.782124218129624,4.959854124048424,5.045012159978858]",153.8712838590145,106.68067189306021,262.0342427790165,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0014304514648298132,5.610355463211759e-05,1.5631866995793733,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,109.89970032125711,0.0014304514648298132,0.0014304514648298132,5.610355463211759e-05,0.0012517024075300131,7.952907154703955e-13,1.5631866995793733,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1b18a35984c0e015,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.2015448828026813e-05,1.0988813359326406e-06,3.498809829416089e-05]",direct_vp,"[""poor_clock_consistency""]",3096355.5204788926,3096560,True,2914061.2817272763,76.09085098316677,7.760300799958005,0.10951909042676872,"[4.782124218129624,4.959854124048424,5.045012159978858]",153.8712838590145,103.30874886363745,258.66231974959373,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0014304514648298132,5.610355463211759e-05,1.5631866995793733,nan,nan,nan,False,not_run,not_requested
fig1_fig2,PEB,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,5.873478256165981,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,5cb276173b765e39,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0005643399933614378,nan,nan,0.0005643399933614378,False,72d5586e1e2071d827e37c0d5029359210d7878b9ab9d369f2c38d0e300801aa,1.5632980080685457,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,6,1919806993,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,124.90314322710037,0.010735240834155127,0.010735240834155127,0.0022125962901870084,0.009452065250653716,4.630065189538215e-12,1.3284681094206285,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,f28c22e0aece46cf,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.84541772766311e-05,3.93972586161237e-05,4.759902946113081e-07]",direct_vp,"[""poor_clock_consistency""]",3097544.4125681883,3096560,True,2597660.876835532,72.23125795870996,12.011622271446624,0.11702270391688381,"[5.172022041512227,5.124434203031607,4.903430332727892]",148.93139488995075,116.88152780383825,267.17689257860184,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.010735240834155127,0.0022125962901870084,1.3284681094206285,nan,nan,nan,False,not_run,not_requested
