trial_id,seed,snr_db,K,failed,error,runtime_s,p_true_x,p_true_y,p_true_z,p_hat_x,p_hat_y,p_hat_z,err_x_m,err_y_m,err_z_m,position_error_m,delta_t_true_s,delta_t_hat_s,delta_t_error_s,clock_error_ns,clock_range_error_m,y_nmse,raw_objective_final,residual_norm,noise_variance,stage1_position_error_m,stage2_position_error_m,final_position_error_m,selected_branch,global_vp_mode,jones_mode,adaptive_enabled
0,3147786918,0.0,1,False,,576.17597441,1.25,0.55,0.75,1.2465974806466307,0.5532621880932256,1.350098853060119,-0.0034025193533693265,0.0032621880932255376,0.600098853060119,0.6001173655654167,5e-09,4.986696974667239e-09,-1.330302533276078e-11,0.013303025332760779,0.003988146663344622,3.1374815263514345e-06,0.2714191302349041,648.2553372808737,0.271601396421162,0.5995196243459349,0.5995196243459349,0.6001173655654167,direct_vp,adaptive_jones,fixed_pol_anchor,True
1,112311654,0.0,1,False,,425.54049297500023,1.25,0.55,0.75,1.2496484624747073,0.5503141628046577,1.3499125957403781,-0.0003515375252927111,0.00031416280465768054,0.5999125957403781,0.5999127809980863,5e-09,4.998228094516367e-09,-1.7719054836332643e-12,0.0017719054836332643,0.0005312039002820951,8.990256453549215e-07,0.07774085664283382,346.9369329573026,0.07778876352203391,0.6002979833479651,0.6002979833479651,0.5999127809980863,direct_vp,adaptive_jones,fixed_pol_anchor,True
2,3251202663,0.0,1,False,,425.51070911699935,1.25,0.55,0.75,1.2442137137745497,0.5553638643461116,1.3494948979165464,-0.005786286225450299,0.00536386434611158,0.5994948979165464,0.5995468161678259,5e-09,4.9731441297455345e-09,-2.685587025446563e-11,0.02685587025446563,0.008051187355315336,2.912395805963887e-06,0.13980015540972496,465.2428430604948,0.13983558365234844,0.5995212952766229,0.5995212952766229,0.5995468161678259,direct_vp,adaptive_jones,fixed_pol_anchor,True
3,3422926171,0.0,1,False,,506.1036761430005,1.25,0.55,0.75,1.2502291948239195,0.5497408494660387,1.3501826457642077,0.00022919482391947632,-0.0002591505339613054,0.6001826457642077,0.6001827454749019,5e-09,5.001470177371756e-09,1.470177371755997e-12,0.001470177371755997,0.0004407480879747101,1.936877982192481e-06,0.6023847164125238,965.7458401696142,0.6028453042381213,0.600536890895671,0.600536890895671,0.6001827454749019,direct_vp,adaptive_jones,fixed_pol_anchor,True
4,287230138,0.0,1,False,,424.99728881899864,1.25,0.55,0.75,1.248853916218037,0.5510119647769762,1.3502115307011158,-0.0011460837819630143,0.001011964776976182,0.6002115307011158,0.6002134779953893,5e-09,4.99336606545057e-09,-6.63393454943044e-12,0.00663393454943044,0.001988803544784874,2.858548948662788e-06,0.039272772489820945,246.587839060891,0.03925975199368333,0.6003029721185703,0.6003029721185703,0.6002134779953893,direct_vp,adaptive_jones,fixed_pol_anchor,True
5,2290547997,0.0,1,False,,540.8234805429984,1.25,0.55,0.75,1.2433182713675077,0.5561969755095479,1.3502638871504726,-0.006681728632492279,0.006196975509547897,0.6002638871504726,0.6003330594095078,5e-09,4.9700009923305835e-09,-2.999900766941659e-11,0.029999007669416593,0.008993476246775252,3.6232101371897313e-06,0.4741498910355852,856.8083720947782,0.47392229904047894,0.6008142082457999,0.6008142082457999,0.6003330594095078,direct_vp,adaptive_jones,fixed_pol_anchor,True
6,1919806993,0.0,1,False,,444.14328036200095,1.25,0.55,0.75,1.2491802609615685,0.5507863853756356,1.3505374944421762,-0.0008197390384314662,0.0007863853756355788,0.6005374944421762,0.6005385687904957,5e-09,4.997839528050059e-09,-2.1604719499411327e-12,0.002160471949941133,0.0006476931963129051,1.7036337793042882e-06,0.13780526568274107,461.9115058032216,0.13778446416618786,0.600440995108053,0.600440995108053,0.6005385687904957,direct_vp,adaptive_jones,fixed_pol_anchor,True
7,1914929603,0.0,1,False,,452.4787683180002,1.25,0.55,0.75,1.250875452708135,0.5491783796738343,1.3510543904283305,0.0008754527081349384,-0.0008216203261657284,0.6010543904283305,0.6010555895510635,5e-09,5.0032008963498825e-09,3.2008963498823543e-12,0.0032008963498823544,0.000959604584534459,2.211846374902702e-06,0.12748127573637535,444.2721344483819,0.12749521119380444,0.6016552489520482,0.6016552489520482,0.6010555895510635,direct_vp,adaptive_jones,fixed_pol_anchor,True
8,641399591,0.0,1,False,,438.47191610700065,1.25,0.55,0.75,1.2523892749584233,0.5477375726648805,1.3495243099351049,0.0023892749584233375,-0.002262427335119499,0.5995243099351049,0.5995333397030037,5e-09,5.0110995329360635e-09,1.1099532936063386e-11,0.011099532936063385,0.0033275562615543994,1.1528521346190987e-06,0.367291872542912,754.1045012169866,0.3670533339882031,0.5997801057963604,0.5997801057963604,0.5995333397030037,direct_vp,adaptive_jones,fixed_pol_anchor,True
9,3933360494,0.0,1,False,,425.43751643200085,1.25,0.55,0.75,1.2460486110356035,0.5536422675298904,1.350650315632325,-0.003951388964396507,0.003642267529890386,0.6006503156323251,0.6006743554179078,5e-09,4.983422338411136e-09,-1.6577661588863696e-11,0.016577661588863698,0.004969857915617633,3.0831433213197635e-06,0.18286586902355345,532.0987038311027,0.18320811522257072,0.6005692065194175,0.6005692065194175,0.6006743554179078,direct_vp,adaptive_jones,fixed_pol_anchor,True
10,781873798,0.0,1,False,,311.2332525900001,1.25,0.55,0.75,1.2569992145630635,0.5434796589997286,1.3492060419231693,0.006999214563063516,-0.006520341000271435,0.5992060419231693,0.5992823913052098,5e-09,5.0319078503020785e-09,3.190785030207838e-11,0.03190785030207838,0.009565732871556121,1.0859231741714338e-06,0.338997135173064,724.4758080314573,0.3392528424946001,0.5995772934187715,0.5995772934187715,0.5992823913052098,direct_vp,adaptive_jones,fixed_pol_anchor,True
11,3685333214,0.0,1,False,,310.49564881900005,1.25,0.55,0.75,1.2448206955295267,0.5548144538860373,1.350316471974411,-0.005179304470473323,0.004814453886037295,0.600316471974411,0.600358118696518,5e-09,4.978153424852136e-09,-2.1846575147863938e-11,0.02184657514786394,0.006549438462459843,3.463388577476249e-06,0.6043465147263007,967.3171437499464,0.6051387167265158,0.6008488424824638,0.6008488424824638,0.600358118696518,direct_vp,adaptive_jones,fixed_pol_anchor,True
12,2210497206,0.0,1,False,,342.2555810539998,1.25,0.55,0.75,1.242769330954747,0.5567802852060288,1.3503263799991134,-0.0072306690452530464,0.006780285206028802,0.6003263799991134,0.6004082089421805,5e-09,4.967847012535773e-09,-3.2152987464227394e-11,0.032152987464227394,0.009639223143943918,2.3232826917766194e-06,0.1823576720054409,531.358819700925,0.1821152999645569,0.6002749215984801,0.6002749215984801,0.6004082089421805,direct_vp_rollback,adaptive_jones,fixed_pol_anchor,True
13,634888206,0.0,1,False,,313.675050025,1.25,0.55,0.75,1.2478076578568815,0.5520847806874436,1.3501958415798287,-0.0021923421431184753,0.002084780687443555,0.6001958415798287,0.6002034662714855,5e-09,4.9914401177023206e-09,-8.559882297679546e-12,0.008559882297679546,0.0025661881542120386,1.783012245107557e-06,0.0238251523179219,192.06300380867378,0.023834828113042435,0.6007151527415999,0.6007151527415999,0.6002034662714855,direct_vp,adaptive_jones,fixed_pol_anchor,True
14,1092560480,0.0,1,False,,300.692156056999,1.25,0.55,0.75,1.2488860379870823,0.5509871729313753,1.3502018615249898,-0.0011139620129176908,0.0009871729313752908,0.6002018615249898,0.6002037070860406,5e-09,4.996740220558869e-09,-3.2597794411308246e-12,0.0032597794411308246,0.0009772572911944761,2.0635692587647264e-06,0.4459698110767517,830.957102895452,0.445773727170727,0.6010091708073526,0.6010091708073526,0.6002037070860406,direct_vp,adaptive_jones,fixed_pol_anchor,True
15,2734808712,0.0,1,False,,293.0485162719997,1.25,0.55,0.75,1.2538148953048518,0.5464397251859567,1.3501799510332089,0.0038148953048517953,-0.003560274814043307,0.6001799510332089,0.6002026346203118,5e-09,5.019605370295595e-09,1.9605370295594595e-11,0.019605370295594594,0.00587754215091649,5.027226549719307e-06,0.08220753887569947,356.76455254240005,0.08214246837124325,0.6000493249318208,0.6000493249318208,0.6002026346203118,direct_vp,adaptive_jones,fixed_pol_anchor,True
16,1080178429,0.0,1,False,,318.28272502300024,1.25,0.55,0.75,1.2487952229189712,0.5510586370179071,1.350242167926874,-0.0012047770810288405,0.0010586370179070936,0.6002421679268739,0.6002443105583793,5e-09,4.995088170288901e-09,-4.9118297110991275e-12,0.004911829711099128,0.0014725295023678374,1.2241734325887038e-06,0.09973920515272573,392.9694828704939,0.09974120597981137,0.6005649894690032,0.6005649894690032,0.6002443105583793,direct_vp,adaptive_jones,fixed_pol_anchor,True
17,2127997378,0.0,1,False,,262.9045951279986,1.25,0.55,0.75,1.250530119228585,0.5495517142064317,1.3505465045862777,0.0005301192285849243,-0.0004482857935683704,0.6005465045862777,0.6005469058760899,5e-09,5.0017017545751855e-09,1.7017545751854374e-12,0.0017017545751854375,0.0005101731870075881,2.252935457180533e-06,0.4057040176643947,792.5570402826352,0.40604749166170007,0.6006592161242835,0.6006592161242835,0.6005469058760899,direct_vp,adaptive_jones,fixed_pol_anchor,True
