figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red
fig1_fig2,adaptive_jones_vp_proposed,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,77.58426905999659,0.00034925319524521545,0.00034925319524521545,2.2952432280146276e-05,9.314793731984492e-05,1.034400891989316e-12,4.1980149611106885,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,8661bde933de97ab,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,17.958154238968135,237.33378528659742,93.37788542937398,0.0,True,3,4,3096725.458075429,3098841.262582022,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",jnpp_then_vp,"[""poor_clock_consistency""]",3095354.4728945806,3096560,True,824738.3233424108,72.27160616664234,6.291810883308423,0.1998530370312875,"[5.350353105940195,5.042950712439933,4.866707383245833]",82.44346244599728,43.162805071995535,126.35316877099831,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,0.00034924070936324925,2.295692019885808e-05,4.198014961111329,True,rollback,existing_selector_rollback,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]","[24.841716738110097,237.33378112054308,17.958154292202845]","[0.04025486686437582,0.004213475195318954,0.05568500992422292]","[1.5473052313363234e-07,3.540259623597289e-09,2.4799995643999857e-09]",824738.3233424108,72.27160616664234,824738.2665133062,72.27160611498957,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_old_gated,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,42.94714383500104,0.00034925319524521545,0.00034925319524521545,2.2952432280146276e-05,9.314793731984492e-05,1.034400891989316e-12,4.1980149611106885,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,5d7736962296099a,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,17.958154238968135,237.33378528659742,93.37788542937398,0.0,True,3,4,3096725.458075429,3098841.262582022,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",direct_vp,"[""poor_clock_consistency""]",3095354.4728945806,3096560,True,824738.3233424108,72.27160616664234,6.291810883308423,0.1998530370312875,"[5.350353105940195,5.042950712439933,4.866707383245833]",82.44346244599728,39.06269353599782,122.2530572350006,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,nan,nan,nan,False,not_run,not_requested,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",,,,824738.3233424108,72.27160616664234,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,42.03300716800004,0.00034925319524521545,0.00034925319524521545,2.2952432280146276e-05,9.314793731984492e-05,1.034400891989316e-12,4.1980149611106885,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,607d3656c8ca22e1,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,17.958154238968135,237.33378528659742,93.37788542937398,0.0,True,3,4,3096725.458075429,3098841.262582022,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",direct_vp,"[""poor_clock_consistency""]",3095354.4728945806,3096560,True,824738.3233424108,72.27160616664234,6.291810883308423,0.1998530370312875,"[5.350353105940195,5.042950712439933,4.866707383245833]",82.44346244599728,37.82952811600262,121.0198918150054,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,nan,nan,nan,False,not_run,not_requested,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",,,,824738.3233424108,72.27160616664234,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.4817013047010087,0.4817013047010087,2,data_only_efim_tau_crb,0.20035412496814417,0.0002584068614157578,0.0002584068614157578,True,0.48195971156242445,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,PEB,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,3.104242704997887,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,80d4917735a129f5,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001115990090586808,nan,nan,0.001115990090586808,False,231b7c2941d5d9c02809f94febabb8d0e1f1d4a2d4bfefa1b397f685379809da,4.199671633749915,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,83.07292191000306,0.00047215011796076226,0.00047215011796076226,8.112450985233215e-05,0.0003619740196200444,6.643604013330669e-13,2.2850568427675846,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,4372d18aac0ba27a,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.58204684582606,60.34948672671642,36.18503304603136,0.0,True,3,4,3096725.458075429,3096784.8651157715,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",jnpp_then_vp,"[""poor_clock_consistency""]",3093867.613746271,3096560,True,845274.8740580764,73.8959645852695,6.871469445509129,0.12318759252972643,"[4.774327958837444,5.03317439125752,5.038053880185031]",82.07248418499512,46.14046984900051,128.88694199699967,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,0.00047204390697864714,8.112231849303404e-05,2.2850568427677,True,rollback,existing_selector_rollback,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]","[60.34948644263648,21.582046804953645,26.62356592000279]","[0.01657014929017122,0.0463348082327804,0.037560708545884815]","[6.516430664692461e-10,2.7057284855525634e-08,2.0350817958374222e-07]",845274.8740580764,73.8959645852695,845275.1617866827,73.89593754741072,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_old_gated,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,42.559070278002764,0.00047215011796076226,0.00047215011796076226,8.112450985233215e-05,0.0003619740196200444,6.643604013330669e-13,2.2850568427675846,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,ab1e34b2efdb157a,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.58204684582606,60.34948672671642,36.18503304603136,0.0,True,3,4,3096725.458075429,3096784.8651157715,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",direct_vp,"[""poor_clock_consistency""]",3093867.613746271,3096560,True,845274.8740580764,73.8959645852695,6.871469445509129,0.12318759252972643,"[4.774327958837444,5.03317439125752,5.038053880185031]",82.07248418499512,38.31196444399393,121.05843659199309,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,nan,nan,nan,False,not_run,not_requested,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",,,,845274.8740580764,73.8959645852695,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,44.94105602899799,0.00047215011796076226,0.00047215011796076226,8.112450985233215e-05,0.0003619740196200444,6.643604013330669e-13,2.2850568427675846,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,198158edd383e6df,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.58204684582606,60.34948672671642,36.18503304603136,0.0,True,3,4,3096725.458075429,3096784.8651157715,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",direct_vp,"[""poor_clock_consistency""]",3093867.613746271,3096560,True,845274.8740580764,73.8959645852695,6.871469445509129,0.12318759252972643,"[4.774327958837444,5.03317439125752,5.038053880185031]",82.07248418499512,41.936477715004,124.68294986300316,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,nan,nan,nan,False,not_run,not_requested,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",,,,845274.8740580764,73.8959645852695,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.039855647843627405,0.039855647843627405,2,data_only_efim_tau_crb,0.057630755564793266,0.00038000328039518457,0.00038000328039518457,True,0.04023565112402259,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,PEB,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,3.0863823869949556,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,e64873a88eae2a7e,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0011044035239813662,nan,nan,0.0011044035239813662,False,ba669d51e548d5d57a5c08da45514e8eda76ee1a2847f0b8bc91639b42fa1215,2.287057192270079,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,82.33005312800378,0.001064856194773368,0.001064856194773368,4.548606014275392e-05,0.0008260095153018715,9.075917068375302e-13,4.9430920682842086,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,6c25983ee5c8bc85,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.091595761768428,142.51975391887936,61.9078598684304,0.0,True,3,4,3096725.458075429,3096872.765597608,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",jnpp_then_vp,"[""poor_clock_consistency""]",3096268.8851517346,3096560,True,920349.1553423025,76.16100943243927,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",87.3651284239968,43.07776029600063,131.2161405539955,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,0.0010648481660663325,4.5486364472609406e-05,4.9430920682844315,True,rollback,existing_selector_rollback,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]","[142.5197545611145,23.112229921663715,20.091595837201645]","[0.007016571161920336,0.043267136203052434,0.049772054349625436]","[3.6560478934290585e-09,5.662572929816707e-09,2.917202722549968e-07]",920349.1553423025,76.16100943243927,920349.1624179891,76.16101088190153,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_old_gated,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,42.07558663000236,0.001064856194773368,0.001064856194773368,4.548606014275392e-05,0.0008260095153018715,9.075917068375302e-13,4.9430920682842086,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,b6541eaa9200bcd4,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.091595761768428,142.51975391887936,61.9078598684304,0.0,True,3,4,3096725.458075429,3096872.765597608,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",direct_vp,"[""poor_clock_consistency""]",3096268.8851517346,3096560,True,920349.1553423025,76.16100943243927,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",87.3651284239968,38.060210235998966,126.19859049399383,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,nan,nan,nan,False,not_run,not_requested,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",,,,920349.1553423025,76.16100943243927,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
