figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,6,1919806993,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.00034925319524521545,0.001115990090586808,0.312953670638394,False,2.2952432280146276e-05,4.1980149611106885,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,nan,nan,nan,False,not_run,not_requested,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",,,,824738.3233424108,72.27160616664234,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,6,1919806993,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.00034925319524521545,0.001115990090586808,0.312953670638394,False,2.2952432280146276e-05,4.1980149611106885,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,nan,nan,nan,False,not_run,not_requested,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]",,,,824738.3233424108,72.27160616664234,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.4817013047010087,0.4817013047010087,2,data_only_efim_tau_crb,0.20035412496814417,0.0002584068614157578,0.0002584068614157578,True,0.48195971156242445,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.00047215011796076226,0.0011044035239813662,0.4275159465796204,False,8.112450985233215e-05,2.2850568427675846,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,nan,nan,nan,False,not_run,not_requested,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",,,,845274.8740580764,73.8959645852695,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.00047215011796076226,0.0011044035239813662,0.4275159465796204,False,8.112450985233215e-05,2.2850568427675846,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,nan,nan,nan,False,not_run,not_requested,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",,,,845274.8740580764,73.8959645852695,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.039855647843627405,0.039855647843627405,2,data_only_efim_tau_crb,0.057630755564793266,0.00038000328039518457,0.00038000328039518457,True,0.04023565112402259,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.001064856194773368,0.001003554190456147,1.061084896959433,False,4.548606014275392e-05,4.9430920682842086,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,nan,nan,nan,False,not_run,not_requested,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",,,,920349.1553423025,76.16100943243927,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.001064856194773368,0.001003554190456147,1.061084896959433,False,4.548606014275392e-05,4.9430920682842086,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,nan,nan,nan,False,not_run,not_requested,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",,,,920349.1553423025,76.16100943243927,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.007526173185175528,0.007526173185175528,2,data_only_efim_tau_crb,0.025043583984019287,0.00032334648428091703,0.00032334648428091703,True,0.007849519669456446,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,0,3147786918,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0011793780217935037,0.001129316608688006,1.0443289443548138,False,2.597259984423452e-05,3.9631128937020983,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,nan,nan,nan,False,not_run,not_requested,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]",,,,826432.8294771122,69.53545334479595,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,0,3147786918,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0011793780217935037,0.001129316608688006,1.0443289443548138,False,2.597259984423452e-05,3.9631128937020983,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,nan,nan,nan,False,not_run,not_requested,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]",,,,826432.8294771122,69.53545334479595,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.07661524266576991,0.07661524266576991,2,data_only_efim_tau_crb,0.07990371427837899,0.0001391375570943441,0.0001391375570943441,True,0.07675438022286425,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,3,3422926171,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0016216485254757255,0.0010931293132064352,1.4834919399599713,False,0.000114168788835377,2.7814473116160445,0.0016216485254757255,0.000114168788835377,2.7814473116160445,nan,nan,nan,False,not_run,not_requested,"[88.38380167105747,24.307383060908982,21.005714204378858]","[0.011314290413003136,0.04113976389271982,0.047606093763311985]","[1.7381356560761804e-08,6.440402797342569e-09,4.56736221786086e-08]",,,,858433.1238501463,79.12499215827154,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,3,3422926171,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0016216485254757255,0.0010931293132064352,1.4834919399599713,False,0.000114168788835377,2.7814473116160445,0.0016216485254757255,0.000114168788835377,2.7814473116160445,nan,nan,nan,False,not_run,not_requested,"[88.38380167105747,24.307383060908982,21.005714204378858]","[0.011314290413003136,0.04113976389271982,0.047606093763311985]","[1.7381356560761804e-08,6.440402797342569e-09,4.56736221786086e-08]",,,,858433.1238501463,79.12499215827154,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.3616504982409918,0.3616504982409918,2,data_only_efim_tau_crb,0.17360167487695116,0.0003442391601451479,0.0003442391601451479,True,0.36199473740113697,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
