variant,snr_db,n,mean_error_over_peb,median_error_over_peb,p90_error_over_peb,max_error_over_peb,outlier_count_5peb,outlier_rate_5peb,direct_vp_count,ris_only_stage2_then_vp_count,direct_vp_rollback_count,jnpp_decision_count,gof_fail_count
adaptive_jones_vp_proposed_ngc,-10.0,96,19.108750542232094,0.6601545736909566,1.7674228370667264,1051.3971454243642,2,0.020833333333333332,79,6,11,17,5
adaptive_jones_vp_proposed_ngc,-5.0,96,0.8458731549660771,0.6530356812081428,1.5780035048001024,2.869731303933539,0,0.0,93,1,2,3,3
adaptive_jones_vp_proposed_ngc,0.0,96,0.8461313982509923,0.6540793450889137,1.5797401990270812,2.8647681616513125,0,0.0,96,0,0,0,3
adaptive_jones_vp_proposed_ngc,5.0,96,0.8462869187469301,0.6550651864145096,1.5807031718162916,2.8619656600345196,0,0.0,96,0,0,0,3
adaptive_jones_vp_proposed_ngc,10.0,96,0.8463792966096784,0.6556332880517843,1.5812627613305368,2.8604106186576694,0,0.0,96,0,0,0,3
adaptive_jones_vp_proposed_old_gated,-10.0,96,19.47368108500898,0.6677003955251981,1.8103791321588796,1051.3971454243642,3,0.03125,91,3,2,5,5
adaptive_jones_vp_proposed_old_gated,-5.0,96,1.3019409798301604,0.6596580232033693,1.656616617456642,44.24858560304531,1,0.010416666666666666,93,0,3,3,3
adaptive_jones_vp_proposed_old_gated,0.0,96,0.8461313982509923,0.6540793450889137,1.5797401990270812,2.8647681616513125,0,0.0,93,0,3,3,3
adaptive_jones_vp_proposed_old_gated,5.0,96,0.8462869187469301,0.6550651864145096,1.5807031718162916,2.8619656600345196,0,0.0,93,0,3,3,3
adaptive_jones_vp_proposed_old_gated,10.0,96,0.8463792966096784,0.6556332880517843,1.5812627613305368,2.8604106186576694,0,0.0,93,0,3,3,3
