figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red,proposed_stage2_policy,stage2_seed_position_error_m,stage2_seed_clock_error_ns,stage2_num_valid_local_fixes,stage2_clock_estimator,stage2_rescue_impl,stage2_pllg_pseudorange_block_weight
fig1_fig2,stage1_only,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,0.480444862972945,0.20583627160285803,0.20583627160285803,0.005338089374047469,0.0631293991660344,2.1501864691056621e-10,2.7830162717850078,True,stage1_only,stage1_only,stage1_only,False,4eeae4d87f403e38,none,,,,,,,,,,,,,,,,,,,,,none,False,,,nan,nan,nan,nan,True,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,19.899479295825586,0.0,20.521626363508403,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,,nan,nan,,,legacy_multistart,
fig1_fig2,fixed_pol_vp,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,45.76071106502786,0.0016216954508769465,0.0016216954508769465,0.00011416925827453885,0.0007557274595990822,4.003563873405477e-12,2.7814473116160228,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,729b8fe73c899512,fixed_pol,cpu,False,,legacy_least_squares,cpu,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,,fixed_pol,False,,,nan,nan,nan,nan,True,3,10,nan,nan,,,,direct_vp,"[""poor_clock_consistency""]",3097490.0859771105,3096560,True,858433.2131158204,79.12498405344836,4.328387156788132,0.24464358304165423,"[4.720806514098859,4.774120935080638,5.264373147643824]",19.899479295825586,40.94011014420539,61.461736507713795,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.0016216954508769465,0.00011416925827453885,2.7814473116160228,nan,nan,nan,False,not_run,not_requested,,,,,,,858433.2131158204,79.12498405344836,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,free_jones_vp,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,5.976047878852114,0.006958240544486617,0.006958240544486617,0.0013249147286949936,0.006143451643017768,5.51932977523492e-12,2.781850020162214,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,da6c9238b73d9376,jones_free,cupy,True,0,cupy,cupy.linalg.solve,explicit,matrix_free,analytic_reduced_vp_explicit_gradient,False,matrix_free_cpu_only_gpu_backend,,0,0,0,0,,,,,,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.0001336816430069516,5.058158842176019e-06,2.2455490355256384e-05]",direct_vp,"[""poor_clock_consistency""]",3097938.5524011035,3096560,True,860143.2694641683,79.63717291957786,4.328387156788132,0.24464358304165423,"[4.720806514098859,4.774120935080638,5.264373147643824]",19.899479295825586,1.8125776150263846,22.334203978534788,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.006958240544486617,0.0013249147286949936,2.781850020162214,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[0.0001336816430069516,5.058158842176019e-06,2.2455490355256384e-05]",,,,860143.2694641683,79.63717291957786,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,adaptive_jones_no_rescue,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,45.693630944006145,0.0016216954508769465,0.0016216954508769465,0.00011416925827453885,0.0007557274595990822,4.003563873405477e-12,2.7814473116160228,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,049c66c9bb1f611c,adaptive_jones,cpu,False,,legacy_least_squares,cpu,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.99951531950481,88.35771911034011,44.55248141779389,0.0,True,3,4,3097639.5440525394,nan,"[88.35771911034011,24.30020982353674,20.99951531950481]","[0.011317630309841448,0.04115190803855192,0.0476201466921562]",,direct_vp,"[""poor_clock_consistency""]",3097490.0859771105,3096560,True,858433.2131158204,79.12498405344836,4.328387156788132,0.24464358304165423,"[4.720806514098859,4.774120935080638,5.264373147643824]",19.899479295825586,41.3468197430484,61.8684461065568,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.0016216954508769465,0.00011416925827453885,2.7814473116160228,nan,nan,nan,False,not_run,not_requested,"[88.35771911034011,24.30020982353674,20.99951531950481]","[0.011317630309841448,0.04115190803855192,0.0476201466921562]",,,,,858433.2131158204,79.12498405344836,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.36165048410844175,0.36165048410844175,2,data_only_efim_tau_crb,0.17360167148495473,0.0003442557515181148,0.0003442557515181148,True,0.3619947398599599,green,clock_green,False,ngc_stage2_disabled_direct_fallback,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,rescue_unavailable_direct_fallback,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,adaptive_jones_vp_proposed,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,46.476760593941435,0.0016216954508769465,0.0016216954508769465,0.00011416925827453885,0.0007557274595990822,4.003563873405477e-12,2.7814473116160228,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,049c66c9bb1f611c,adaptive_jones,cpu,False,,legacy_least_squares,cpu,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.99951531950481,88.35771911034011,44.55248141779389,0.0,True,3,4,3097639.5440525394,nan,"[88.35771911034011,24.30020982353674,20.99951531950481]","[0.011317630309841448,0.04115190803855192,0.0476201466921562]",,direct_vp,"[""poor_clock_consistency""]",3097490.0859771105,3096560,True,858433.2131158204,79.12498405344836,4.328387156788132,0.24464358304165423,"[4.720806514098859,4.774120935080638,5.264373147643824]",19.899479295825586,41.81445772200823,62.33608408551663,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.0016216954508769465,0.00011416925827453885,2.7814473116160228,nan,nan,nan,False,not_run,not_requested,"[88.35771911034011,24.30020982353674,20.99951531950481]","[0.011317630309841448,0.04115190803855192,0.0476201466921562]",,,,,858433.2131158204,79.12498405344836,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.36165048410844175,0.36165048410844175,2,data_only_efim_tau_crb,0.17360167148495473,0.0003442557515181148,0.0003442557515181148,True,0.3619947398599599,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,constrained_jones_peb,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,9.236550719011575,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,f0dfb86446e177a2,,,,,,,,,,,,,,,,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0010931264279597122,nan,nan,0.0010931264279597122,0.0010931293132064352,0.0010931264279597122,nan,constrained_jones_peb,constrained,0.0010931264279597122,nan,0.0010931293132064352,4.0,4.0,0.0,79.32787446466104,79.32568453893882,nan,True,False,disabled,nan,nan,3.302939691394527e-15,4.83491196683694,nan,True,False,36031d2b9c9618797e3e0dd10eb5c7dda8abc129f14c8c8dd5b717980768d13b,2.780626491560737,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,,nan,nan,,,legacy_multistart,
fig1_fig2,stage1_only,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.5891382000409067,0.2038927645259107,0.2038927645259107,0.00460795677848825,0.05705892423502534,1.5802063459738258e-10,3.9649454779961153,True,stage1_only,stage1_only,stage1_only,False,54b0af88ef4e0079,none,,,,,,,,,,,,,,,,,,,,,none,False,,,nan,nan,nan,nan,True,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,30.39740555314347,0.0,31.083231984172016,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,,nan,nan,,,legacy_multistart,
fig1_fig2,fixed_pol_vp,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,52.007321134908125,0.001179412420327408,0.001179412420327408,2.5972835394521345e-05,0.00017954002102846546,9.976785443673694e-13,3.9631128937021116,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,d90cb6285db818d6,fixed_pol,cpu,False,,legacy_least_squares,cpu,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,,fixed_pol,False,,,nan,nan,nan,nan,True,3,10,nan,nan,,,,direct_vp,"[""poor_clock_consistency""]",3095469.812331085,3096560,True,826432.9221182995,69.53544608849094,4.805742757820594,0.12791462187745622,"[5.1223588854613595,4.813895475661293,4.920509738209556]",30.39740555314347,47.242845562053844,78.32607754622586,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.001179412420327408,2.5972835394521345e-05,3.9631128937021116,nan,nan,nan,False,not_run,not_requested,,,,,,,826432.9221182995,69.53544608849094,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,free_jones_vp,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,7.044407446868718,0.02376636459751353,0.02376636459751353,0.015761897031462923,0.020579707748623235,1.2949848561238106e-11,3.9693687198017646,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,6c396cdab2d378da,jones_free,cupy,True,0,cupy,cupy.linalg.solve,explicit,matrix_free,analytic_reduced_vp_explicit_gradient,False,matrix_free_cpu_only_gpu_backend,,0,0,0,0,,,,,,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.353530495373926e-05,9.335616622317037e-06,7.41556955315491e-05]",direct_vp,"[""poor_clock_consistency""]",3100356.0523555474,3096560,True,814334.4815460742,69.3402352482156,4.805742757820594,0.12791462187745622,"[5.1223588854613595,4.813895475661293,4.920509738209556]",30.39740555314347,2.990437138127163,34.07366912229918,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.02376636459751353,0.015761897031462923,3.9693687198017646,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[7.353530495373926e-05,9.335616622317037e-06,7.41556955315491e-05]",,,,814334.4815460742,69.3402352482156,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated,nan,nan,,decoupled_robust,legacy_multistart,0.0
fig1_fig2,adaptive_jones_no_rescue,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,45.528950731037185,0.001179412420327408,0.001179412420327408,2.5972835394521345e-05,0.00017954002102846546,9.976785443673694e-13,3.9631128937021116,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,aa96fb806a044d92,adaptive_jones,cpu,False,,legacy_least_squares,cpu,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.806408873737293,72.12395526411314,40.358969602279146,0.0,True,3,4,3095619.270406514,nan,"[72.12395526411314,18.806408873737293,30.14654466898701]","[0.013865018859073139,0.05317336269220808,0.033171297438893375]",,direct_vp,"[""poor_clock_consistency""]",3095469.812331085,3096560,True,826432.9221182995,69.53544608849094,4.805742757820594,0.12791462187745622,"[5.1223588854613595,4.813895475661293,4.920509738209556]",30.39740555314347,41.24734299303964,72.33057497721165,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.001179412420327408,2.5972835394521345e-05,3.9631128937021116,nan,nan,nan,False,not_run,not_requested,"[72.12395526411314,18.806408873737293,30.14654466898701]","[0.013865018859073139,0.05317336269220808,0.033171297438893375]",,,,,826432.9221182995,69.53544608849094,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.07661524874225367,0.07661524874225367,2,data_only_efim_tau_crb,0.07990371744702791,0.00013912302880947708,0.00013912302880947708,True,0.07675437177106315,green,clock_green,False,ngc_stage2_disabled_direct_fallback,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,rescue_unavailable_direct_fallback,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only,nan,nan,,decoupled_robust,legacy_multistart,0.0
