figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,plot_y_p95,mean,median,std,p10,p90,p95,success_rate,outlier_rate,rescue_run_rate,rescue_trigger_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,position_rmse_m_p95,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,y_nmse_p95,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,range_rmse_m_p95,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,tau_rmse_s_p95,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,raw_objective_final_p95,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,outlier_flag_p95,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_position_m_p95,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_scalar_m_p95,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_dual_m_p95,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90,peb_evs_m_p95,peb_free_jones_m_mean,peb_free_jones_m_median,peb_free_jones_m_std,peb_free_jones_m_p10,peb_free_jones_m_p90,peb_free_jones_m_p95,peb_constrained_jones_m_mean,peb_constrained_jones_m_median,peb_constrained_jones_m_std,peb_constrained_jones_m_p10,peb_constrained_jones_m_p90,peb_constrained_jones_m_p95,peb_anchored_jones_m_mean,peb_anchored_jones_m_median,peb_anchored_jones_m_std,peb_anchored_jones_m_p10,peb_anchored_jones_m_p90,peb_anchored_jones_m_p95,stage2_seed_position_error_m_mean,stage2_seed_position_error_m_median,stage2_seed_position_error_m_std,stage2_seed_position_error_m_p10,stage2_seed_position_error_m_p90,stage2_seed_position_error_m_p95,stage2_seed_clock_error_ns_mean,stage2_seed_clock_error_ns_median,stage2_seed_clock_error_ns_std,stage2_seed_clock_error_ns_p10,stage2_seed_clock_error_ns_p90,stage2_seed_clock_error_ns_p95
fig2,adaptive_jones_no_rescue,-10.0,y_nmse,y_nmse,0.041641683417607614,4.6602671471752304e-05,0.19947642047775152,2.5882020390752394e-05,7.719066282236112e-05,0.0001092125429147568,0.041641683417607614,4.6602671471752304e-05,0.19947642047775152,2.5882020390752394e-05,7.719066282236112e-05,0.0001092125429147568,1.0,0.041666666666666664,0.0,0.0,24,3,3,3,0.04396653880678955,0.0010038031622836775,0.20622109911493838,0.00032593453561509156,0.0016956813907908236,0.0021788111782527235,0.041641683417607614,4.6602671471752304e-05,0.19947642047775152,2.5882020390752394e-05,7.719066282236112e-05,0.0001092125429147568,0.01895431477086944,0.00036886993154510036,0.08915613196293677,8.192436202685562e-05,0.0007810118966954085,0.0008208909394841142,1.0872826846196103e-10,1.1073013814722565e-12,5.123882571514219e-10,6.368812642825568e-13,4.586608555347314e-12,5.087824033906931e-12,3.248468972527959,3.069218620259335,1.5442714537214175,1.187067208123221,4.902951134245312,5.601865771656394,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,-5.0,y_nmse,y_nmse,1.5716449734936558e-05,1.4724007207334935e-05,6.936073516865055e-06,8.184727367002366e-06,2.4418186696555065e-05,2.769181698697924e-05,1.5716449734936558e-05,1.4724007207334935e-05,6.936073516865055e-06,8.184727367002366e-06,2.4418186696555065e-05,2.769181698697924e-05,1.0,0.0,0.0,0.0,24,3,3,3,0.0005312590509197795,0.0004708569405108098,0.000311422365367816,0.00018381930167492034,0.0009299586435703885,0.000959906301502406,1.5716449734936558e-05,1.4724007207334935e-05,6.936073516865055e-06,8.184727367002366e-06,2.4418186696555065e-05,2.769181698697924e-05,0.00020363941089787218,0.00019099795641679173,0.0001438454046889519,4.6191912692659634e-05,0.0004212543049751001,0.0004420241631387432,1.0612377922762222e-12,6.16611768569619e-13,8.013165870995486e-13,3.6161252082653187e-13,2.237913301829452e-12,2.652342028942077e-12,1.0232981591838952,0.9330773452417129,0.48847950063728635,0.3753836093354973,1.5504492776208267,1.771465477265262,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,0.0,y_nmse,y_nmse,4.9714630121374225e-06,4.653946656136499e-06,2.194089434262161e-06,2.58827311357197e-06,7.72323547437108e-06,8.752877913615828e-06,4.9714630121374225e-06,4.653946656136499e-06,2.194089434262161e-06,2.58827311357197e-06,7.72323547437108e-06,8.752877913615828e-06,1.0,0.0,0.0,0.0,24,3,3,3,0.0002991046430057762,0.0002660007675912815,0.00017535682021756473,0.00010353238626345893,0.0005233744408687087,0.0005405803023070768,4.9714630121374225e-06,4.653946656136499e-06,2.194089434262161e-06,2.58827311357197e-06,7.72323547437108e-06,8.752877913615828e-06,0.00011453328977883443,0.00010751928681611587,8.084725249725767e-05,2.601803330726556e-05,0.00023670670837470193,0.000248497493057008,5.970303520650459e-13,3.449183067480032e-13,4.4997844735957146e-13,2.031115769604618e-13,1.2580367830807332e-12,1.492441815233285e-12,0.32359529059477593,0.29506496470513366,0.15447078113151672,0.11870671982167065,0.490295110235754,0.5601865666295716,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,5.0,y_nmse,y_nmse,1.5723824979083513e-06,1.4713231785444645e-06,6.939659064382696e-07,8.184953129804084e-07,2.4425773974341414e-06,2.7671976202667495e-06,1.5723824979083513e-06,1.4713231785444645e-06,6.939659064382696e-07,8.184953129804084e-07,2.4425773974341414e-06,2.7671976202667495e-06,1.0,0.0,0.0,0.0,24,3,3,3,0.00016831276673430194,0.00014996238353462058,9.868537735773666e-05,5.8274587550466916e-05,0.00029445939766324544,0.0003042384598686529,1.5723824979083513e-06,1.4713231785444645e-06,6.939659064382696e-07,8.184953129804084e-07,2.4425773974341414e-06,2.7671976202667495e-06,6.441258730628971e-05,6.0498516617641654e-05,4.545072607214557e-05,1.4643924229295447e-05,0.00013305577410077188,0.00013971812811836197,3.3581351865811047e-13,1.9336995455623336e-13,2.5284197549593016e-13,1.1411414255988975e-13,7.073004048653505e-13,8.395482313599715e-13,0.10232981579269118,0.09330773467073308,0.048847950013778486,0.03753836075656394,0.15504492719441582,0.17714654583359332,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,10.0,y_nmse,y_nmse,4.972791450882791e-07,4.652049840715814e-07,2.1947505894446733e-07,2.588331294893911e-07,7.724591377691159e-07,8.749407298007906e-07,4.972791450882791e-07,4.652049840715814e-07,2.1947505894446733e-07,2.588331294893911e-07,7.724591377691159e-07,8.749407298007906e-07,1.0,0.0,0.0,0.0,24,3,3,3,9.468533571154373e-05,8.445380114162858e-05,5.551851417189446e-05,3.278504884906347e-05,0.00016562574595685602,0.0001711661484551096,4.972791450882791e-07,4.652049840715814e-07,2.1947505894446733e-07,2.588331294893911e-07,7.724591377691159e-07,8.749407298007906e-07,3.6223786503184956e-05,3.403199888467856e-05,2.5554771577744828e-05,8.23941196796678e-06,7.480513028007151e-05,7.856227792557323e-05,1.8886697520835735e-13,1.0855156929078659e-13,1.421208903562591e-13,6.403646387620193e-14,3.9770028097671427e-13,4.722036222721051e-13,0.032359529036851055,0.029506496496211537,0.01544707810404911,0.01187067195061171,0.0490295109225689,0.05601865632439652,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,15.0,y_nmse,y_nmse,1.5726226947631147e-07,1.4709914234642906e-07,6.940831435423456e-08,8.185082910350025e-08,2.442819413410074e-07,2.766585388434467e-07,1.5726226947631147e-07,1.4709914234642906e-07,6.940831435423456e-08,8.185082910350025e-08,2.442819413410074e-07,2.766585388434467e-07,1.0,0.0,0.0,0.0,24,3,3,3,5.325733654786504e-05,4.752939987871323e-05,3.122793989117237e-05,1.844255720586857e-05,9.315369982110849e-05,9.627933702746504e-05,1.5726226947631147e-07,1.4709914234642906e-07,6.940831435423456e-08,8.185082910350025e-08,2.442819413410074e-07,2.766585388434467e-07,2.0370796392448376e-05,1.914111131916657e-05,1.4369170023923588e-05,4.634579954894435e-06,4.2060635543284416e-05,4.417661789455049e-05,1.0621533241490716e-13,6.098331106830387e-14,7.990073299007645e-14,3.59677325719689e-14,2.236284287626112e-13,2.655681575009242e-13,0.010232981575218054,0.009330773471606737,0.004884794999737103,0.0037538360700366587,0.015504492701473934,0.017714654522958513,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_no_rescue,20.0,y_nmse,y_nmse,4.9732202482434997e-08,4.6514602581420953e-08,2.194959902475512e-08,2.588376304322408e-08,7.725018535001155e-08,8.748322158419759e-08,4.9732202482434997e-08,4.6514602581420953e-08,2.194959902475512e-08,2.588376304322408e-08,7.725018535001155e-08,8.748322158419759e-08,1.0,0.0,0.0,0.0,24,3,3,3,2.995220455426394e-05,2.6740195261001966e-05,1.756297534014171e-05,1.0371784214189508e-05,5.238841966419709e-05,5.414944483039757e-05,4.9732202482434997e-08,4.6514602581420953e-08,2.194959902475512e-08,2.588376304322408e-08,7.725018535001155e-08,8.748322158419759e-08,1.145552217287913e-05,1.076492673903001e-05,8.079984387544628e-06,2.6067307498994524e-06,2.365058448265173e-05,2.4841691578993713e-05,5.973189473058996e-14,3.4274590789309454e-14,4.492519283464549e-14,2.0212664939889553e-14,1.257512905800184e-13,1.493491516197253e-13,0.0032359529029619715,0.002950649650423704,0.001544707810110932,0.0011870671940609966,0.004902951089061151,0.005601865621679187,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,-10.0,y_nmse,y_nmse,0.06720757634138143,5.44221273615068e-05,0.1992961190455918,2.7282190088785726e-05,0.13729148900299581,0.14978898631885534,0.06720757634138143,5.44221273615068e-05,0.1992961190455918,2.7282190088785726e-05,0.13729148900299581,0.14978898631885534,1.0,0.2916666666666667,0.125,0.125,24,3,3,3,0.19297764264179196,0.001453681797077866,0.31068780771515514,0.0004407200361239006,0.7000005357201429,0.7000008297370932,0.06720757634138143,5.44221273615068e-05,0.1992961190455918,2.7282190088785726e-05,0.13729148900299581,0.14978898631885534,0.017636375335539908,0.0004845706224729444,0.062332266931463376,8.710709894494895e-05,0.017971395760906797,0.01813374909468442,1.9433080563760155e-10,1.995330753594511e-12,8.638334935568065e-10,6.368812642825568e-13,5.4749000221785194e-11,6.153189111404066e-11,3.2579145671777616,3.069218620259332,1.5508438006156837,1.1897137261772408,4.966269862185056,5.611034449454063,0.2916666666666667,0.0,0.45452967144315476,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3197140430265342,0.8562186158129904,0.7685950611697597,0.7312439952656093,2.0935822616728768,2.248252717405362,1.3034320762245197,0.07729873063197101,1.7833314670459777,0.021757685831118714,3.0755598048549406,3.450342439132811
fig2,adaptive_jones_vp_proposed,-5.0,y_nmse,y_nmse,0.008882963704822363,1.550496438435106e-05,0.02554729504863743,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,0.008882963704822363,1.550496438435106e-05,0.02554729504863743,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,1.0,0.125,0.0,0.0,24,3,3,3,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,0.008882963704822363,1.550496438435106e-05,0.02554729504863743,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,0.0024282645611569606,0.00021943950884735071,0.0058737055166412705,5.850834371392656e-05,0.012535232243842773,0.017725534670853887,7.523687730653929e-12,8.054995451391808e-13,1.7209783915408193e-11,3.6161252082653187e-13,3.70604115527857e-11,5.3353682650237504e-11,1.0252929708201146,0.9380695961825689,0.48757466633464724,0.3780313942552826,1.5504492776208287,1.771465477265262,0.125,0.0,0.33071891388307384,0.0,0.6999999999999993,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,0.0,y_nmse,y_nmse,0.0014400879094780279,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,0.0014400879094780279,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,1.0,0.041666666666666664,0.0,0.0,24,3,3,3,0.029464471764070344,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,0.0014400879094780279,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,0.0008830010318435971,0.0001177074321398562,0.00366518596889004,2.8443730435270488e-05,0.00024672734594721247,0.00025984340560435327,2.7290657704522504e-12,3.449183067480032e-13,1.0228386010118633e-11,2.031115769604618e-13,1.452403983901798e-12,1.601231544529087e-12,0.32400933768759715,0.3000335298189878,0.15438358665870294,0.11870671982167065,0.490295110235754,0.5601865666295716,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
