figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig10a,constrained_jones_peb,T,64.0,24,1.0,peb_position_m,0.0008059957718410999,0.0008233280110445046,0.0009068083518594835,0.0009158921482099278,nan,1.0335818867121513,0.9652345231734216,1.3104696741327642,nan
fig10a,constrained_jones_peb,T,128.0,24,1.0,peb_position_m,0.0005541803886112042,0.0005349690552338795,0.0006286344347581105,0.0006372184845215557,nan,2.6086514863030366,2.55579778784886,3.266720745526254,nan
fig10a,constrained_jones_peb,T,256.0,24,1.0,peb_position_m,0.0003926110029554581,0.00037492361892567833,0.0004513874718934757,0.0004829838744520178,nan,6.1407171825800715,6.249905513133854,7.001897740270942,nan
fig10a,constrained_jones_peb,T,512.0,24,1.0,peb_position_m,0.0002833920641268145,0.00027741000206058875,0.000323250914913151,0.00034069235780918085,nan,9.48924411367625,9.81535329297185,14.170928684528917,nan
fig10a,nf_mmpsr,T,64.0,24,1.0,position_rmse_m,0.5395543348063597,0.4498323745268914,0.8907676943543357,0.9764479732503766,0.9583333333333334,5.50033062195871,5.604860687628388,6.1281577062327415,nan
fig10a,nf_mmpsr,T,128.0,24,1.0,position_rmse_m,0.5601099687412583,0.5389471796938916,0.7182513531809892,1.125150479732062,0.75,5.056819752363178,5.125777485314757,5.741571989329532,nan
fig10a,nf_mmpsr,T,256.0,24,1.0,position_rmse_m,0.5654621657878625,0.5389471796938916,0.8515651301197652,0.9710118755710456,0.875,9.125615167159898,8.987666603643447,10.385755191743375,nan
fig10a,nf_mmpsr,T,512.0,24,1.0,position_rmse_m,0.6930271196292874,0.5728560574001117,0.9710118755710456,0.9710118755710456,0.875,14.628732230863534,16.70038077654317,20.04275485370308,nan
fig10a,nf_ris_groupomp_localgrid_wls,T,64.0,24,1.0,position_rmse_m,1.7417857911343508,1.710500652804844,1.9872986099495835,2.04508858365122,1.0,0.8811847516723598,0.8956619868986309,1.2238866372033952,nan
fig10a,nf_ris_groupomp_localgrid_wls,T,128.0,24,1.0,position_rmse_m,1.6789488585502044,1.678478068963108,1.8181745659400732,1.824602586343365,1.0,1.243017994837525,1.2076614671386778,1.6096175320912152,nan
fig10a,nf_ris_groupomp_localgrid_wls,T,256.0,24,1.0,position_rmse_m,1.6868699486515708,1.6698416976855106,1.858276456146147,1.8620668022569247,1.0,2.4542460162968687,2.491607742384076,2.997446236386895,nan
fig10a,nf_ris_groupomp_localgrid_wls,T,512.0,24,1.0,position_rmse_m,1.7243474355635997,1.7694686112752,1.8694919095561335,1.9432345648792642,1.0,3.6025910639436916,4.2369551616720855,5.280695620039478,nan
fig10a,proposed,T,64.0,24,1.0,position_rmse_m,0.28202141257576935,0.0006832507863994091,0.687166081621306,0.6927249309732733,0.16666666666666666,15.888712216362668,14.725535827223212,20.226581893209367,nan
fig10a,proposed,T,128.0,24,1.0,position_rmse_m,0.20207392777054073,0.00037460008081139414,0.0010042375577840787,0.5951621866244721,0.08333333333333333,30.97445365724464,26.075516615062952,50.16642783009446,nan
fig10a,proposed,T,256.0,24,1.0,position_rmse_m,0.1400079229060909,0.00034211788340588,0.0008992206653610895,0.001008865797404269,0.041666666666666664,57.85497999362027,48.63545587332919,99.56847604834472,nan
fig10a,proposed,T,512.0,24,1.0,position_rmse_m,0.00028544114203684463,0.00024918658235466583,0.00041916589363433866,0.000475167599583324,0.0,115.69802869499351,103.53678596299142,189.33674030839464,nan
fig10a,ris_momp,T,64.0,24,1.0,position_rmse_m,4.87056877658174,4.004524587228024,7.602763859706127,8.18579272352698,1.0,11.427348063482592,11.588383390102535,12.227492237603292,nan
fig10a,ris_momp,T,128.0,24,1.0,position_rmse_m,4.6266289474404685,4.476961172679484,5.5424949523945015,5.652306896892784,1.0,19.610289546311833,19.926296229474247,20.824204548541456,nan
fig10a,ris_momp,T,256.0,24,1.0,position_rmse_m,5.063194446376896,4.5250347096179855,6.940202664738136,7.119521996070623,1.0,38.212028382811695,37.34764402452856,41.43224436766468,nan
fig10a,ris_momp,T,512.0,24,1.0,position_rmse_m,4.85952180068208,4.606273221682649,6.394155764386514,7.069401218354938,1.0,76.48633296733412,81.84365125652403,86.39247043170035,nan
