figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig10a,14,3425360020,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.00041486757302116277,0,2.3508558070044694e-05,0.42131928876652724,13.135668518953025,False,,153602c8c9af0e7d,0539b386149d26c2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,14,3425360020,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,2.4890004869358555,1,0.48206389354840434,0.624240597562312,11.72516473568976,False,,153602c8c9af0e7d,0539b386149d26c2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.6627167370170355,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,14,3425360020,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.32098935366828435,0.5566257251043262,3.9349175095558167,False,,153602c8c9af0e7d,0539b386149d26c2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,3.920344195328653,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,14,3425360020,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.61949412544141,1,0.9769619923034203,0.8321486652925921,1.0107200387865305,False,,153602c8c9af0e7d,0539b386149d26c2,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.19965414516627789,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,14,3425360020,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.689611011184752,False,,153602c8c9af0e7d,0539b386149d26c2,,0.0008166134519747628,0.0008166583770368275,0.0008166134519747628,nan,constrained_jones_peb,constrained,0.0008166134519747628,nan,0.0008166583770368275,4,4,0,89.23730127278,89.23314586122659,inf,True,False,disabled,nan,nan,1.2764972794070172e-15,47.46207418600313,nan,True,True,False,jones_linear,True,87.69055185116717,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,021f3aba1a809fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,10,4025287671,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.00033673387174150096,0,2.723516919071096e-05,0.33812804705273325,14.410753729753196,False,,68fd32fc80ff79c1,16a9eea0760f1fb0,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,10,4025287671,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,4.607331104053829,1,0.8714143524291657,0.6323608156032006,11.34997158497572,False,,68fd32fc80ff79c1,16a9eea0760f1fb0,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.86814063321799,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,10,4025287671,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.5728560574001117,1,0.36272193993277757,0.46095455080399067,5.17475987970829,False,,68fd32fc80ff79c1,16a9eea0760f1fb0,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,5.1603433368727565,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,10,4025287671,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.7790446874236925,1,0.9808263262147917,0.6691731751476521,0.850226896815002,False,,68fd32fc80ff79c1,16a9eea0760f1fb0,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.17508903052657843,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,10,4025287671,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.7841649353504181,False,,68fd32fc80ff79c1,16a9eea0760f1fb0,,0.0007339015063934206,0.0007339130297224449,0.0007339015063934206,nan,constrained_jones_peb,constrained,0.0007339015063934206,nan,0.0007339130297224449,4,4,0,79.818079411126,79.80384840086933,inf,True,False,disabled,nan,nan,4.948580489989899e-16,3.8136267024340045,nan,True,True,False,jones_linear,True,75.8852864982063,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,20ff96657ccc216d,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
