figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig10b,8,799573152,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,proposed,0.0008835095837904701,0,4.1910954287853956e-06,0.11471928305795165,42.080760086886585,False,,c9393988fb702f97,ab13fd0bb3e9840f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10b,8,799573152,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,ris_momp,3.7359631737862586,1,0.34874779238018583,0.15480320227784963,20.241940687410533,False,,c9393988fb702f97,ab13fd0bb3e9840f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,120648621,4.0825197249650955,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,8,799573152,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,nf_mmpsr,0.01767766952966364,0,0.0010714889771378086,0.11483764708230547,3.1302675176411867,False,,c9393988fb702f97,ab13fd0bb3e9840f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,120668717,3.0995720038190484,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,8,799573152,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.3005863112326967,1,0.9469903107673024,0.2235371403525758,1.0205519497394562,False,,c9393988fb702f97,ab13fd0bb3e9840f,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,123631089,0.26400039438158274,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,8,799573152,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,constrained_jones_peb,nan,,nan,nan,5.817465648055077,False,,c9393988fb702f97,ab13fd0bb3e9840f,,0.0015641510846361598,0.001564160687328622,0.0015641510846361598,nan,constrained_jones_peb,constrained,0.0015641510846361598,nan,0.001564160687328622,4,4,0,74.16453488797711,74.16759193603693,inf,True,False,disabled,nan,nan,1.3148375120768426e-14,3.1762591366600015,nan,True,True,False,jones_linear,True,73.07463884129182,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,164b4126b78d90d1,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,1,2979200887,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,proposed,0.0014723649966275306,0,7.661398617975128e-06,0.255321757242148,40.518348031677306,False,,bb729c16e1d77d65,00787217affc755c,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10b,1,2979200887,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,ris_momp,1.8630312454582896,1,0.4384770384049864,0.3674361356786146,23.193508871831,False,,bb729c16e1d77d65,00787217affc755c,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,120648621,3.812195224687457,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,1,2979200887,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,nf_mmpsr,0.07563274753702871,0,0.012921047018741695,0.2585833401419038,2.450333656743169,False,,bb729c16e1d77d65,00787217affc755c,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,120668717,2.4188424944877625,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,1,2979200887,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,nf_ris_groupomp_localgrid_wls,2.1185443882089445,1,0.9991479114856652,0.5108122496320614,0.7717253165319562,False,,bb729c16e1d77d65,00787217affc755c,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,123631089,0.22751383390277624,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10b,1,2979200887,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,16,256,3.521757768185907,constrained_jones_peb,nan,,nan,nan,5.626217280514538,False,,bb729c16e1d77d65,00787217affc755c,,0.0016453407459277888,0.001645398516546681,0.0016453407459277888,nan,constrained_jones_peb,constrained,0.0016453407459277888,nan,0.001645398516546681,4,4,0,110.82355487858213,110.81792719530242,inf,True,False,disabled,nan,nan,2.3437117774016904e-14,2.9557521227069588,nan,True,True,False,jones_linear,True,109.6853695537169,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,cc2507a6869638a6,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
