figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig10c,constrained_jones_peb,r_ue_m,1.7608788840929535,24,1.0,peb_position_m,0.00022415630301692434,0.00018469401610757892,0.00029175390957194224,0.00032858909818661716,nan,6.293872361187823,6.175238382536918,7.010470142308622,nan
fig10c,constrained_jones_peb,r_ue_m,2.64131832613943,24,1.0,peb_position_m,0.00030262697485566,0.0002814959600682804,0.000375980038367444,0.0004093342618307035,nan,6.149132792837918,6.16712875617668,6.729572768509388,nan
fig10c,constrained_jones_peb,r_ue_m,3.521757768185907,24,1.0,peb_position_m,0.0003784415861362502,0.00036892575993439816,0.0004145996442962925,0.00044249911716926936,nan,6.42099673122478,6.492089389357716,6.915105358231813,nan
fig10c,constrained_jones_peb,r_ue_m,5.28263665227886,24,1.0,peb_position_m,0.0005476922578259506,0.000547508899983099,0.0005752394168058769,0.000580065453922151,nan,6.5330740647623315,6.597106809262186,6.963487473130226,nan
fig10c,constrained_jones_peb,r_ue_m,7.043515536371814,24,1.0,peb_position_m,0.0007459270889404544,0.0007351605101881282,0.000790289522516948,0.0008272788503763706,nan,5.8475529764934135,6.383699412923306,6.9335963655728845,nan
fig10c,constrained_jones_peb,r_ue_m,10.56527330455772,24,1.0,peb_position_m,0.0012388017256207886,0.001181627011884668,0.0013804641774765069,0.001431233408605229,nan,4.540533100293639,4.38615633873269,6.733253860007971,nan
fig10c,nf_mmpsr,r_ue_m,1.7608788840929535,24,1.0,position_rmse_m,0.7040225906600741,0.6034230132798557,0.9259379628847233,0.9259379628847233,1.0,8.057309017051011,8.21042939228937,8.817231709510088,nan
fig10c,nf_mmpsr,r_ue_m,2.64131832613943,24,1.0,position_rmse_m,0.8014896206309639,0.41554014380214976,1.391137374397095,1.4525529490626663,0.875,8.58951129061946,8.347488570492715,9.908145650662481,nan
fig10c,nf_mmpsr,r_ue_m,3.521757768185907,24,1.0,position_rmse_m,0.49411201127628945,0.5389471796938916,0.6630117062316364,0.7032490570048164,0.75,9.035199453006499,9.141665638890117,9.908826113911346,nan
fig10c,nf_mmpsr,r_ue_m,5.28263665227886,24,1.0,position_rmse_m,1.2833183339220855,1.339661091574201,1.6044807592939365,1.6044807592939367,1.0,9.097441287944093,8.989445656072348,10.052350482344627,nan
fig10c,nf_mmpsr,r_ue_m,7.043515536371814,24,1.0,position_rmse_m,2.871952657334766,2.8537311407368273,2.9652965293448217,3.127409082938935,1.0,8.245856633991934,8.598780758678913,10.288114670058713,nan
fig10c,nf_mmpsr,r_ue_m,10.56527330455772,24,1.0,position_rmse_m,6.807663830364787,6.7478219222534666,6.896719643444831,7.000368315687667,1.0,6.713159571479385,6.944661345798522,9.44471418885514,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,1.7608788840929535,24,1.0,position_rmse_m,0.9803706579763682,0.7342995069801209,1.6940327717597758,1.7454006922612246,1.0,2.203103166927273,2.2386638270691037,2.4882897739764305,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,2.64131832613943,24,1.0,position_rmse_m,1.1376204237592495,0.9280200138882326,1.7686606417813373,1.9608968839154153,1.0,2.343906046473421,2.365923634264618,2.835294940927997,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,3.521757768185907,24,1.0,position_rmse_m,1.6818774910958292,1.659476417223123,1.8273233823643311,1.8634503212560485,1.0,2.322424464587433,2.4425804913043976,2.7303446853533386,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,5.28263665227886,24,1.0,position_rmse_m,2.2378179196066648,2.0316213658858833,2.919932333629263,3.0238781788973665,1.0,2.334169027240326,2.369737762026489,2.763808480743319,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,7.043515536371814,24,1.0,position_rmse_m,2.739832203306649,2.739076343870698,2.905811516873522,3.365505790558396,1.0,2.0091825197450817,2.0567976380698383,2.765483300527557,nan
fig10c,nf_ris_groupomp_localgrid_wls,r_ue_m,10.56527330455772,24,1.0,position_rmse_m,6.301496422406518,5.967364949844468,6.863191689008582,7.432971930524992,1.0,1.5546250367769971,1.3826624848879874,2.4951929862610993,nan
fig10c,proposed,r_ue_m,1.7608788840929535,24,1.0,position_rmse_m,0.3431063692581596,0.2815341413145094,0.44370158688986266,0.5930563008816925,1.0,210.88583475595806,198.58824860816821,322.39170956467274,nan
fig10c,proposed,r_ue_m,2.64131832613943,24,1.0,position_rmse_m,0.11833422656233893,0.00026218288236668527,0.00040021486948125764,0.000446962740054336,0.041666666666666664,59.345767740587085,48.284525809343904,145.04687581812018,nan
fig10c,proposed,r_ue_m,3.521757768185907,24,1.0,position_rmse_m,0.22815441060281022,0.00022752542318641274,0.0008517178818459068,0.5951345539355348,0.08333333333333333,83.81074133131187,50.98141150875017,150.02628646059878,nan
fig10c,proposed,r_ue_m,5.28263665227886,24,1.0,position_rmse_m,0.8808183591592722,0.7915050965638389,0.9284136844535485,0.9724393632431995,1.0,353.1952050590189,271.56096013542265,727.8051557224243,nan
fig10c,proposed,r_ue_m,7.043515536371814,24,1.0,position_rmse_m,2.8475448071074188,2.7364068675881232,3.1860769508578968,3.4104358152671956,1.0,419.62606190354563,350.5890139094554,725.0316972768865,nan
fig10c,proposed,r_ue_m,10.56527330455772,24,1.0,position_rmse_m,6.206292315075893,6.054877406403497,6.700893916984289,6.8193112127884055,1.0,229.74596145101046,224.19813690613955,310.78115477738896,nan
fig10c,ris_momp,r_ue_m,1.7608788840929535,24,1.0,position_rmse_m,3.845849632429213,3.2271109672313187,5.846945629624102,6.486588249288517,1.0,38.551232009272404,38.87474733684212,40.29820894785225,nan
fig10c,ris_momp,r_ue_m,2.64131832613943,24,1.0,position_rmse_m,4.759780729634373,4.315156308191154,6.360647413419943,6.544100753490438,1.0,38.33347503592571,38.445443531963974,40.34751959592104,nan
fig10c,ris_momp,r_ue_m,3.521757768185907,24,1.0,position_rmse_m,4.958541130561179,4.946558491180866,6.134546113848036,6.289678007246693,1.0,38.32147813316745,39.080959951970726,42.01558084422722,nan
fig10c,ris_momp,r_ue_m,5.28263665227886,24,1.0,position_rmse_m,6.581231453993661,6.302857130203549,8.041474631430923,8.448526926476454,1.0,37.61164179754754,39.75327597046271,41.40379662350752,nan
fig10c,ris_momp,r_ue_m,7.043515536371814,24,1.0,position_rmse_m,7.955437680892029,7.996823547731141,8.852951507090662,9.315135599023447,1.0,35.07992193397755,38.700861412566155,41.97424970068969,nan
fig10c,ris_momp,r_ue_m,10.56527330455772,24,1.0,position_rmse_m,11.521048223335912,11.57172464376671,13.961170679576414,15.706038597566836,1.0,27.673599965831574,26.419372680597007,38.612533890409395,nan
