figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig10c,1,2816631427,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,proposed,0.35474848421257066,1,0.5332045861789209,0.37797195100915304,131.89078741148114,False,,2e32e78c6e1ae80c,1e4c6bb3831833ed,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,ris_only_stage2_then_vp,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,matrix_free,matrix_free,analytic_reduced_vp_matrix_free_gradient,True,,evs_bs_to_y_evs,36,1,36,0,,,,,
fig10c,1,2816631427,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,ris_momp,2.3585651900969262,1,0.9804951231553712,0.48818932366102796,41.16336821299046,False,,2e32e78c6e1ae80c,1e4c6bb3831833ed,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,120648621,11.583658991381526,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,1,2816631427,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,nf_mmpsr,0.5927866453830118,1,0.5462126127584943,0.3811615984259756,8.671619727276266,False,,2e32e78c6e1ae80c,1e4c6bb3831833ed,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,120668717,8.604870333336294,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,1,2816631427,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,nf_ris_groupomp_localgrid_wls,0.7474109431066941,1,0.9987109775681711,0.49269503768908546,2.052149531431496,False,,2e32e78c6e1ae80c,1e4c6bb3831833ed,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,123631089,0.4312604255974293,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,1,2816631427,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,constrained_jones_peb,nan,,nan,nan,6.209684803150594,False,,2e32e78c6e1ae80c,1e4c6bb3831833ed,,0.00017995712017184227,0.0001799574575543558,0.00017995712017184227,nan,constrained_jones_peb,constrained,0.00017995712017184227,nan,0.0001799574575543558,4,4,0,151.58287995299105,151.56516073083606,inf,True,False,disabled,nan,nan,1.6984104745223252e-15,20.344883954615455,nan,True,True,False,jones_linear,True,48.94664943662508,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,f08a82182a6cbb7b,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,8,1523593588,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,proposed,0.31862951190554667,1,0.5218823395430277,0.6622602824415955,143.30246935691684,False,,d6854dc441868fe1,925ea2eeadb19401,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp_rollback,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,matrix_free,matrix_free,analytic_reduced_vp_matrix_free_gradient,True,,evs_bs_to_y_evs,37,1,37,0,,,,,
fig10c,8,1523593588,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,ris_momp,3.08621111910245,1,0.9799083100123501,0.8616628125278106,39.12503873836249,False,,d6854dc441868fe1,925ea2eeadb19401,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,120648621,11.41977951489389,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,8,1523593588,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,nf_mmpsr,0.5927866453830118,1,0.5388030432905159,0.6696076927473171,7.873964433558285,False,,d6854dc441868fe1,925ea2eeadb19401,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,120668717,7.810137636959553,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,8,1523593588,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,nf_ris_groupomp_localgrid_wls,0.7439702831611907,1,0.9988171254976236,0.8698256816420088,1.8530830862000585,False,,d6854dc441868fe1,925ea2eeadb19401,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,123631089,0.3450006488710642,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,8,1523593588,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,constrained_jones_peb,nan,,nan,nan,6.024655818939209,False,,d6854dc441868fe1,925ea2eeadb19401,,0.00017903375988104184,0.00017903662390783692,0.00017903375988104184,nan,constrained_jones_peb,constrained,0.00017903375988104184,nan,0.00017903662390783692,4,4,0,144.98713163999113,144.90848660429515,inf,True,False,disabled,nan,nan,2.424085464087338e-15,12.664670829217036,nan,True,True,False,jones_linear,True,46.760544554689936,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,e90fae1fa59c676e,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,6,4003246104,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,proposed,0.28138656050264826,1,0.7512671496075246,0.5465395087083721,150.23344285041094,False,,4f9ed7990fd9b6c0,fb8e19adf96ad30f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,True,True,rescue_unavailable_direct_fallback,True,,,,,,matrix_free,matrix_free,analytic_reduced_vp_matrix_free_gradient,True,,evs_bs_to_y_evs,18,1,18,0,,,,,
fig10c,6,4003246104,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,ris_momp,3.86768806228957,1,0.9597198271330024,0.6114840562343344,38.253524938598275,False,,4f9ed7990fd9b6c0,fb8e19adf96ad30f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,120648621,11.033929290249944,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10c,6,4003246104,0.0,3,3,0.0,0.0,0.0,2.722139437602703,0.0,1,1,256,64,4096,1.7608788840929535,nf_mmpsr,0.6140593811766994,1,0.597290779198223,0.49827672344542145,7.704424675554037,False,,4f9ed7990fd9b6c0,fb8e19adf96ad30f,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,120668717,7.6493797125294805,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
