figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig11,1,527117508,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,proposed,5.454610331167349e-05,0,5.209375285026411e-06,0.4369644231114838,150.7035676119849,False,,768da14dcdf7f14f,650224b9bedc1286,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,ris_only_stage2_then_vp,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig11,1,527117508,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,nf_mmpsr,0.9710118755710456,1,0.2988336018563528,0.5678446114044837,10.53073524683714,False,,768da14dcdf7f14f,650224b9bedc1286,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,20096,10.044238769449294,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,1,527117508,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,stage1_only,0.4686166010407951,1,0.08497961447014239,0.4741220134252241,18.54090957902372,False,,768da14dcdf7f14f,650224b9bedc1286,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,stage1_only,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,17,1783223548,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,proposed,0.00019604230636445315,0,4.334430410650405e-06,0.43226965882666124,172.43684540782124,False,,10e63bde70bf421e,95cf892f12c858b2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,ris_only_stage2_then_vp,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig11,17,1783223548,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,nf_mmpsr,0.20653389552322912,1,0.14714068579858872,0.4959302151916604,10.014185301959515,False,,10e63bde70bf421e,95cf892f12c858b2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,20096,9.385519458912313,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,17,1783223548,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,stage1_only,0.48360606082878427,1,0.08667112575545695,0.4697969235518462,18.437828768976033,False,,10e63bde70bf421e,95cf892f12c858b2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,stage1_only,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,10,2806244678,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,proposed,0.00032760891220015744,0,5.950321403252218e-06,0.12437136943631416,180.15870945435017,False,,d04de14caaf0b4c7,bdbc431e09076d53,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,ris_only_stage2_then_vp,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig11,10,2806244678,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,nf_mmpsr,0.5389471796938916,1,0.27458592158903683,0.15849903402863483,9.605870707891881,False,,d04de14caaf0b4c7,bdbc431e09076d53,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,20096,9.077083529904485,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,10,2806244678,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,stage1_only,0.7563175046097568,1,0.03874734213784052,0.12914948227065132,17.8077436638996,False,,d04de14caaf0b4c7,bdbc431e09076d53,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,stage1_only,,,,,,,,,,,,,,,,,,,,,,,,,,
fig11,16,1581773143,0.0,3,3,0.0,0.1,0.1,0.09999999999963904,3.60961260881254e-13,1,1,256,64,4096,3.3984389638151047,proposed,0.7000000089407519,1,0.12664298258812853,0.24078514522220948,223.38868477661163,False,,6aa065e07319df0c,f1670ad7725b96ed,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,True,True,rescue_unavailable_direct_fallback,True,,,,,,matrix_free,matrix_free,analytic_reduced_vp_matrix_free_gradient,True,,evs_bs_to_y_evs,36,1,36,0,,,,,
