figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig8,nf_mmpsr,calibration_std_deg,0.0,24,1.0,position_rmse_m,0.5505186948082085,0.5559016185470016,0.8515651301197652,0.9710118755710456,0.7916666666666666,10.118748786626384,10.178399327211082,11.526310105295853,nan
fig8,nf_mmpsr,calibration_std_deg,1.0,24,1.0,position_rmse_m,0.5505186948082085,0.5559016185470016,0.8515651301197652,0.9710118755710456,0.7916666666666666,9.615418255678378,9.695986996404827,10.658700213441625,nan
fig8,nf_mmpsr,calibration_std_deg,2.0,24,1.0,position_rmse_m,0.5505186948082085,0.5559016185470016,0.8515651301197652,0.9710118755710456,0.7916666666666666,9.26188953119951,9.18779551051557,10.295674825971945,nan
fig8,nf_mmpsr,calibration_std_deg,5.0,24,1.0,position_rmse_m,0.5505186948082085,0.5559016185470016,0.8515651301197652,0.9710118755710456,0.7916666666666666,8.985504119462954,9.203358809929341,9.808214089786635,nan
fig8,nf_mmpsr,calibration_std_deg,10.0,24,1.0,position_rmse_m,0.5219211556435832,0.5389471796938916,0.6630117062316364,0.9306075704521602,0.7916666666666666,7.847267287201248,8.582364798523486,9.591303301323205,nan
fig8,nf_mmpsr,calibration_std_deg,20.0,24,1.0,position_rmse_m,0.5103974273584916,0.5389471796938916,0.6630117062316364,0.9306075704521602,0.7916666666666666,5.883219849124241,5.64125648047775,9.326540859416127,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,0.0,24,1.0,position_rmse_m,1.7703450735251287,1.7406753978955742,2.0776578028763835,2.176631842262076,1.0,2.3524213892718158,2.3246367033571005,2.7430115222930906,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,1.0,24,1.0,position_rmse_m,1.7703450741806823,1.7406753978955742,2.0776578028763835,2.1766318450068396,1.0,2.001533121879523,1.9604469747282565,2.497498355200514,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,2.0,24,1.0,position_rmse_m,1.7750232032907685,1.7406754016911505,2.0776578028763835,2.1766318450068396,1.0,2.0699376388220116,2.0978978113271296,2.4557296535465865,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,5.0,24,1.0,position_rmse_m,1.7684311086983682,1.7678777415731146,2.077657799748333,2.1766318443365438,1.0,1.9939101013587788,1.9749848493374884,2.4030928365420547,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,10.0,24,1.0,position_rmse_m,1.7668917404360565,1.7398634096915448,2.0742290655882973,2.1661370239273463,1.0,1.7358476034520816,1.8169906348921359,2.4184711821842937,nan
fig8,nf_ris_groupomp_localgrid_wls,calibration_std_deg,20.0,24,1.0,position_rmse_m,1.7711049905945153,1.755947430939249,1.968285352856144,2.111725342925443,1.0,1.2266993446586032,1.1722069019451737,1.9640990818385033,nan
fig8,proposed,calibration_std_deg,0.0,24,1.0,position_rmse_m,0.00039000162217136674,0.00028752908127399704,0.0006037266135233522,0.0007664475217967012,0.0,61.608293806086294,55.367376441601664,96.56892438218928,nan
fig8,proposed,calibration_std_deg,1.0,24,1.0,position_rmse_m,0.18841640684541117,0.00048096714975792243,0.0010354053577736762,0.5115814235113517,0.08333333333333333,59.083359370124526,50.477178883273154,104.02065424649044,nan
fig8,proposed,calibration_std_deg,2.0,24,1.0,position_rmse_m,0.0007969998065086895,0.0005919854093404849,0.0013271897823448572,0.0013547971455385233,0.0,68.53668399248272,52.25683770515025,107.73049228461458,nan
fig8,proposed,calibration_std_deg,5.0,24,1.0,position_rmse_m,0.2363743749661839,0.0018811136234494702,0.4214911890680667,0.685108381507752,0.125,72.99457095427594,56.04202326340601,108.2715042989701,nan
fig8,proposed,calibration_std_deg,10.0,24,1.0,position_rmse_m,0.202103752762006,0.002876648480071028,0.006606134670971518,0.5960324078719724,0.08333333333333333,65.68138630257454,51.604183273389935,137.23980907439253,nan
fig8,proposed,calibration_std_deg,20.0,24,1.0,position_rmse_m,0.33750792679196634,0.009243833528060982,0.7000008473211119,0.7000009982389359,0.25,50.857676976011135,55.55845643952489,73.29237230997532,nan
fig8,ris_momp,calibration_std_deg,0.0,24,1.0,position_rmse_m,5.184829739531021,4.592890632201543,6.592435881447524,6.908633796799741,1.0,38.01832023274619,39.005477068480104,40.92673859610222,nan
fig8,ris_momp,calibration_std_deg,1.0,24,1.0,position_rmse_m,5.25875361255873,4.9178631927753464,6.592435881447524,6.908633796799741,1.0,28.66345102592216,28.7294350117445,31.234048797562718,nan
fig8,ris_momp,calibration_std_deg,2.0,24,1.0,position_rmse_m,5.222015008535112,5.213436249631544,6.604985896681648,6.6979466962696,1.0,28.448187200003304,28.35536240413785,31.558779499353836,nan
fig8,ris_momp,calibration_std_deg,5.0,24,1.0,position_rmse_m,5.005884639836572,4.861267561941707,6.432657358555958,6.684824888564597,1.0,29.058919508631032,29.42055313521996,31.71048663854599,nan
fig8,ris_momp,calibration_std_deg,10.0,24,1.0,position_rmse_m,4.75411126520051,4.671870376910159,5.449343005701384,5.87161238070254,1.0,25.434020032989793,27.637740036472678,30.243964086892085,nan
fig8,ris_momp,calibration_std_deg,20.0,24,1.0,position_rmse_m,4.589179732840263,4.437074597973833,5.583699057410016,6.037399500301325,1.0,20.057450715180796,18.4240407878533,29.791496320208534,nan
