figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig9,13,1088654624,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,proposed,0.0008828479294746304,0,0.06115100641236078,0.17516505726776221,97.88630294427276,False,,b2472b347a9e89f2,41bcf0268d8586ec,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,slice_physical_scene,5fd877b81f14eba7,4a83490a7d619dcb,True,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig9,13,1088654624,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,1.541855545422229,1,0.48167499995093127,0.24441889623319846,23.46400643698871,False,,b2472b347a9e89f2,41bcf0268d8586ec,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,21354,cupy,True,0,21354,10,True,0,2,80493927,6.361144308000803,,True,factorized_group_projection,,,,,,False,slice_physical_scene,5fd877b81f14eba7,4a83490a7d619dcb,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.3846416559888186,0.22850311209204713,6.659885768778622,False,,b2472b347a9e89f2,41bcf0268d8586ec,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,80514023,6.607834159396589,,True,factorized_2K_gram_projection,,,,,,False,slice_physical_scene,5fd877b81f14eba7,4a83490a7d619dcb,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.869491909566015,1,0.9994966174032833,0.32988892863326597,1.6613740622997284,False,,b2472b347a9e89f2,41bcf0268d8586ec,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,40,mixed,True,0,40,128,True,0,2,82576712,0.40314334630966187,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,slice_physical_scene,5fd877b81f14eba7,4a83490a7d619dcb,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,proposed,0.0008384751445172106,0,7.913008326831604e-06,0.16504163805424119,48.40899681951851,False,,b2472b347a9e89f2,b0d83ce12ff9987e,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,matched_physical_scene,5fd877b81f14eba7,5fd877b81f14eba7,True,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig9,13,1088654624,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,3.2497581552089585,1,0.4802032811355473,0.24417513944871796,40.18547819182277,False,,b2472b347a9e89f2,b0d83ce12ff9987e,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,203225333,11.651719608344138,,True,factorized_group_projection,,,,,,False,matched_physical_scene,5fd877b81f14eba7,5fd877b81f14eba7,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.3841869596628965,0.22843326035722114,9.406094617210329,False,,b2472b347a9e89f2,b0d83ce12ff9987e,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,203245429,9.340487797744572,,True,factorized_2K_gram_projection,,,,,,False,matched_physical_scene,5fd877b81f14eba7,5fd877b81f14eba7,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.6222949715930481,1,0.9811077505521425,0.3268366862872879,2.3237065197899938,False,,b2472b347a9e89f2,b0d83ce12ff9987e,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,206207801,0.5593599509447813,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,matched_physical_scene,5fd877b81f14eba7,5fd877b81f14eba7,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,13,1088654624,0.0,3,4,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,proposed,0.0008386101291150216,0,8.432032782668913e-06,0.16504155233710854,322.0233938489109,False,,b2472b347a9e89f2,20c2d9d30d116975,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,extended_physical_scene,5fd877b81f14eba7,492ef0e99d38e681,True,nan,nan,ris_only_stage2_then_vp,ngc_certified_ris_only,True,True,True,both_uncertified_lower_raw,True,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig9,13,1088654624,0.0,3,4,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,3.620065569067893,1,0.48553151522402155,0.24510650892088395,59.49015933834016,False,,b2472b347a9e89f2,20c2d9d30d116975,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,85412,cupy,True,0,85412,10,True,0,2,367173036,16.448598071932793,,True,factorized_group_projection,,,,,,False,extended_physical_scene,5fd877b81f14eba7,492ef0e99d38e681,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
