figure,baseline,x_value,position_rmse_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_p95,rss_mb_peak
fig10a,constrained_jones_peb,64.0,0.0008059957718410999,0.0009158921482099278,nan,1.0335818867121513,1.3104696741327642,nan
fig10a,constrained_jones_peb,128.0,0.0005541803886112042,0.0006372184845215557,nan,2.6086514863030366,3.266720745526254,nan
fig10a,constrained_jones_peb,256.0,0.0003926110029554581,0.0004829838744520178,nan,6.1407171825800715,7.001897740270942,nan
fig10a,constrained_jones_peb,512.0,0.0002833920641268145,0.00034069235780918085,nan,9.48924411367625,14.170928684528917,nan
fig10a,nf_mmpsr,64.0,0.5395543348063597,0.9764479732503766,0.9583333333333334,5.50033062195871,6.1281577062327415,nan
fig10a,nf_mmpsr,128.0,0.5601099687412583,1.125150479732062,0.75,5.056819752363178,5.741571989329532,nan
fig10a,nf_mmpsr,256.0,0.5654621657878625,0.9710118755710456,0.875,9.125615167159898,10.385755191743375,nan
fig10a,nf_mmpsr,512.0,0.6930271196292874,0.9710118755710456,0.875,14.628732230863534,20.04275485370308,nan
fig10a,nf_ris_groupomp_localgrid_wls,64.0,1.7417857911343508,2.04508858365122,1.0,0.8811847516723598,1.2238866372033952,nan
fig10a,nf_ris_groupomp_localgrid_wls,128.0,1.6789488585502044,1.824602586343365,1.0,1.243017994837525,1.6096175320912152,nan
fig10a,nf_ris_groupomp_localgrid_wls,256.0,1.6868699486515708,1.8620668022569247,1.0,2.4542460162968687,2.997446236386895,nan
fig10a,nf_ris_groupomp_localgrid_wls,512.0,1.7243474355635997,1.9432345648792642,1.0,3.6025910639436916,5.280695620039478,nan
fig10a,proposed,64.0,0.28202141257576935,0.6927249309732733,0.16666666666666666,15.888712216362668,20.226581893209367,nan
fig10a,proposed,128.0,0.20207392777054073,0.5951621866244721,0.08333333333333333,30.97445365724464,50.16642783009446,nan
fig10a,proposed,256.0,0.1400079229060909,0.001008865797404269,0.041666666666666664,57.85497999362027,99.56847604834472,nan
fig10a,proposed,512.0,0.00028544114203684463,0.000475167599583324,0.0,115.69802869499351,189.33674030839464,nan
fig10a,ris_momp,64.0,4.87056877658174,8.18579272352698,1.0,11.427348063482592,12.227492237603292,nan
fig10a,ris_momp,128.0,4.6266289474404685,5.652306896892784,1.0,19.610289546311833,20.824204548541456,nan
fig10a,ris_momp,256.0,5.063194446376896,7.119521996070623,1.0,38.212028382811695,41.43224436766468,nan
fig10a,ris_momp,512.0,4.85952180068208,7.069401218354938,1.0,76.48633296733412,86.39247043170035,nan
fig10b,constrained_jones_peb,256.0,0.0015258403892389571,0.0017904788644057543,nan,5.732827316193531,6.281171643780544,nan
fig10b,constrained_jones_peb,576.0,0.00108219878677101,0.0013146746508272491,nan,5.494050074058275,6.024440557463095,nan
fig10b,constrained_jones_peb,1024.0,0.0007861795823169088,0.0009599553549371754,nan,5.28337660129182,5.93751052962616,nan
fig10b,constrained_jones_peb,2304.0,0.0005453412204923358,0.0006817687730698434,nan,5.806427064390543,6.370721213240176,nan
fig10b,constrained_jones_peb,4096.0,0.00040867412412304153,0.0005180720378391691,nan,4.351919011484521,6.479597530793398,nan
fig10b,nf_mmpsr,256.0,0.0658819374904836,0.0756327475370291,0.041666666666666664,2.886713250346171,3.2953697636257857,nan
fig10b,nf_mmpsr,576.0,0.17752072208853062,0.419401630193435,0.08333333333333333,3.3014947957514473,3.828911622287705,nan
fig10b,nf_mmpsr,1024.0,0.1580848516224751,0.4336502963590078,0.125,3.8411656953782463,4.370454094558954,nan
fig10b,nf_mmpsr,2304.0,0.4204585015937958,0.9710118755710456,0.5,6.1345286422486724,6.827835970791057,nan
fig10b,nf_mmpsr,4096.0,0.60625585263498,0.9710118755710456,0.9166666666666666,7.236917519864316,9.545955768413842,nan
fig10b,nf_ris_groupomp_localgrid_wls,256.0,1.694374474133977,2.0353166367491635,1.0,0.8016543186968192,1.0183253097347915,nan
fig10b,nf_ris_groupomp_localgrid_wls,576.0,1.7102050181171253,2.0202706225625966,1.0,0.9111796586463848,1.0859680199529975,nan
fig10b,nf_ris_groupomp_localgrid_wls,1024.0,1.7100331745460084,1.893518910137841,1.0,0.9949512196859965,1.155879389680922,nan
fig10b,nf_ris_groupomp_localgrid_wls,2304.0,1.7176168467468913,1.869491909560558,1.0,1.577829130498382,1.8407066556625067,nan
fig10b,nf_ris_groupomp_localgrid_wls,4096.0,1.7407143783005032,2.143940835596108,1.0,1.8278770735487342,2.7487791151273995,nan
fig10b,proposed,256.0,0.0017567790968628172,0.0031018831882139797,0.0,47.39990636582176,57.272259985283014,nan
fig10b,proposed,576.0,0.0011704026451299933,0.0019042263680843139,0.0,38.625382852507755,46.071980211790645,nan
fig10b,proposed,1024.0,0.00923391918134947,0.0021436955971895415,0.0,50.326550491619855,42.47416980587877,nan
fig10b,proposed,2304.0,0.14288817118801672,0.0011456129929707315,0.041666666666666664,43.327107475449644,51.503991397330516,nan
fig10b,proposed,4096.0,0.18693709111171253,0.5485424887538621,0.08333333333333333,53.39293054572772,84.76269128383137,nan
fig10b,ris_momp,256.0,4.647421591931613,6.861423486314967,1.0,23.314230857300572,24.991306138830257,nan
fig10b,ris_momp,576.0,3.975609578288697,6.914784634528961,1.0,23.412812501618948,25.97031649961136,nan
fig10b,ris_momp,1024.0,5.1522066715568675,7.664111465256421,1.0,23.971407476851407,26.887812818633392,nan
fig10b,ris_momp,2304.0,5.11703832138504,7.106524527461473,1.0,29.25184164615348,32.41844245376996,nan
fig10b,ris_momp,4096.0,5.1861838238910245,6.97942532006734,1.0,33.39104285114445,39.70339961545542,nan
