figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig2,adaptive_jones_vp_proposed,22,3206710796,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3206710796,,,nan,,False,,166.5243218690157,0.0006275205218457333,0.0006275205218457333,5.039083719052071e-05,0.00020321117393683465,3.3999960302632426e-12,1.0713587781139395,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,268d8d0ec1a9f87c,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.9133072130987,70.89377529690601,39.15449335479361,0.0,True,3,4,3096725.458075429,3097226.31884161,"[24.656397554376113,21.9133072130987,70.89377529690601]","[0.04055742521874854,0.04563437140060427,0.01410561076400665]","[1.2161399022676934e-07,4.064130062496932e-08,1.0459610885364829e-07]",direct_vp,"[""poor_clock_consistency""]",3093207.378486958,3096560,True,568962.3502140029,85.35874101011383,5.1510134090644835,0.1341137995444044,"[4.744358306822575,4.697609656014125,5.002586934639294]",146.73266642540693,158.52858151495457,306.6087000221014,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0006275205218457333,5.039083719052071e-05,1.0713587781139395,nan,nan,nan,False,not_run,not_requested
fig2,PEB,22,3206710796,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3206710796,,,nan,,False,,5.766055338084698,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,c3a0f04bea492344,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0013433830462335197,nan,nan,0.0013433830462335197,False,c84ba72aa3a760a0760b6b67e247dbffd03ad56315a9283ecceeafa1a6824f29,1.0725255289283988,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,adaptive_jones_vp_proposed,18,3644258948,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3644258948,,,nan,,False,,172.3071387782693,0.0005109416425222073,0.0005109416425222073,3.669779245869093e-05,0.00042224513391124095,4.836966417631606e-12,4.394780839674873,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,48cc01dc498f6cb9,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,13.327460469389017,108.1992259288262,61.86052043056665,0.0,True,3,4,3096725.458075429,3115124.3985791355,"[64.05487489348474,108.1992259288262,13.327460469389017]","[0.015611614285389213,0.009242210295936904,0.07503304941579139]","[9.38169346566782e-09,5.6762266114802215e-09,5.038751077321297e-08]",direct_vp,"[""poor_clock_consistency""]",3093957.5426974483,3096560,True,808336.2057136612,80.65498606378686,4.318604922964898,0.3474618855051604,"[5.534083019249057,5.7706375612544525,4.944323998846386]",141.1226139292121,165.14180625230074,307.6298120766878,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0005109416425222073,3.669779245869093e-05,4.394780839674873,nan,nan,nan,False,not_run,not_requested
fig2,PEB,18,3644258948,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3644258948,,,nan,,False,,5.668351888656616,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,0bb1ba013c7e0e0e,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0010552850122600296,nan,nan,0.0010552850122600296,False,10eabe3ea0bf687d98504e31e23e6506b4b182585a8f16e7a2bae8ed9d09e41a,4.398500200986058,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,adaptive_jones_vp_proposed,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,178.92336106300354,0.0011793780217935037,0.0011793780217935037,2.597259984423452e-05,0.00017953408625465925,9.97677229235916e-13,3.9631128937020983,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,d953ad9c72e33aa9,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690678638335,72.09819048264322,40.34455220415351,0.0,True,3,4,3096725.458075429,3108684.632149062,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.198211758969025e-08,2.4889750991742335e-08,7.127068433287121e-08]",direct_vp,"[""poor_clock_consistency""]",3095469.812331075,3096560,True,826432.8294771122,69.53545334479595,4.805719130033151,0.12792345090570606,"[5.122357217275852,4.813876383633271,4.920477286721791]",146.1307439878583,171.85295360535383,319.34233293682337,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,nan,nan,nan,False,not_run,not_requested
fig2,PEB,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.013493567705154419,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,7c35f57cd3300be8,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0011293166086880355,nan,nan,0.0011293166086880355,False,7c738a48c71d396c30709f16037cef480e872ff8eba0c095999cea8980974cb0,3.964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,adaptive_jones_vp_proposed,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,187.44126706570387,0.00034925319524521545,0.00034925319524521545,2.2952432280146276e-05,9.314793731984492e-05,1.034400891989316e-12,4.1980149611106885,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,2f84b1358a24ed65,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,17.958154238968135,237.33378528659742,93.37788542937398,0.0,True,3,4,3096725.458075429,3098841.262582036,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.485598027937573e-07,1.8487089021006897e-09,1.5944869911557684e-09]",direct_vp,"[""poor_clock_consistency""]",3095354.4728945806,3096560,True,824738.3233424108,72.27160616664234,6.291810883308423,0.1998530370312875,"[5.350353105940195,5.042950712439933,4.866707383245833]",141.32554855197668,179.79867523163557,322.49615037441254,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,nan,nan,nan,False,not_run,not_requested
fig2,PEB,6,1919806993,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1919806993,,,nan,,False,,6.0678596422076225,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,144161a4c8e58153,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001115990090586808,nan,nan,0.001115990090586808,False,231b7c2941d5d9c02809f94febabb8d0e1f1d4a2d4bfefa1b397f685379809da,4.199671633749915,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,adaptive_jones_vp_proposed,15,2734808712,-10.0,snr_db,-10.0,3,3,3,3,full_6d,2734808712,,,nan,,False,,224.82892002165318,0.0012986535978252286,0.0012986535978252286,4.771841191935227e-05,0.0005532286580691547,5.13217638029313e-12,1.1545138876721155,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,6d51e8dd8230df4a,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.304042823775145,110.47903150667086,51.731310845716585,0.0,True,3,4,3096725.458075429,3098074.954721978,"[110.47903150667086,20.304042823775145,24.410858206703747]","[0.009051491366749894,0.04925127516027201,0.040965376616745396]","[1.5220816421892127e-09,1.9448150024322034e-09,2.5277090465663524e-07]",direct_vp,"[""poor_clock_consistency""]",3099367.463601194,3096560,True,865621.1124929201,70.1321193727963,3.2330095879294642,0.4850013372432719,"[4.115175928296944,5.173599492841447,5.1116381847130015]",145.51987124234438,216.1072169020772,363.10259092599154,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0012986535978252286,4.771841191935227e-05,1.1545138876721155,nan,nan,nan,False,not_run,not_requested
fig2,PEB,15,2734808712,-10.0,snr_db,-10.0,3,3,3,3,full_6d,2734808712,,,nan,,False,,5.459362059831619,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,b696117a0ef032f2,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0010946639617456621,nan,nan,0.0010946639617456621,False,3745774ba39f0b3a489ec82705d3e30e7ac3ac0889ba9ff94e26de5537c07034,1.1534740679242612,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
