figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1,adaptive_jones_vp_proposed,21,4000820147,-10.0,snr_db,-10.0,3,3,3,3,full_6d,4000820147,,,,,True,RuntimeError: CuPy backend unavailable (CUDARuntimeError: cudaErrorMemoryAllocation: out of memory),nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,,,nan,,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
fig1,PEB,21,4000820147,-10.0,snr_db,-10.0,3,3,3,3,full_6d,4000820147,,,nan,,False,,1.531575545668602,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,44f5030010351f86,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0014759415970070314,nan,nan,0.0014759415970070314,False,f7a047bb7013efbe33f31c7f789c22a5d5f4d1899bcaccc54b42258dbd7f4038,3.4790788065601688,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,adaptive_jones_vp_proposed,14,1092560480,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1092560480,,,,,True,"OutOfMemoryError: Out of memory allocating 16,777,216 bytes (allocated so far: 41,658,368 bytes).",nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,,,nan,,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
fig1,PEB,14,1092560480,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1092560480,,,nan,,False,,2.0834012925624847,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,b442c8f0737e55f5,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0011431537096209005,nan,nan,0.0011431537096209005,False,f1022bc01518ff6f31f9f6e642efb32029d98d2c096644b99cc3e0e6c8ec44d7,2.1631840949807746,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,adaptive_jones_vp_proposed,5,2290547997,-10.0,snr_db,-10.0,3,3,3,3,full_6d,2290547997,,,,,True,"OutOfMemoryError: Out of memory allocating 49,545,216 bytes (allocated so far: 868,157,440 bytes).",nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,,,nan,,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
fig1,PEB,5,2290547997,-10.0,snr_db,-10.0,3,3,3,3,full_6d,2290547997,,,nan,,False,,2.103467769920826,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,bf5dadfd63983e57,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001213276957871888,nan,nan,0.001213276957871888,False,38f1169f92c897947506b479f5ee71ac29695cde812eaf9f2f26b2ce8e8773e4,2.730002088601652,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,adaptive_jones_vp_proposed,7,1914929603,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1914929603,,,,,True,"OutOfMemoryError: Out of memory allocating 148,635,648 bytes (allocated so far: 1,735,238,656 bytes).",nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,,,nan,,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
fig1,PEB,7,1914929603,-10.0,snr_db,-10.0,3,3,3,3,full_6d,1914929603,,,nan,,False,,1.8381548300385475,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,89476ced23063965,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0010722217098529105,nan,nan,0.0010722217098529105,False,84f1975fc112e22552cd5389ecb9ea5e68088b810ed0a30ff85dfd5971674377,7.361137239348518,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,adaptive_jones_vp_proposed,13,634888206,-10.0,snr_db,-10.0,3,3,3,3,full_6d,634888206,,,,,True,"OutOfMemoryError: Out of memory allocating 24,772,608 bytes (allocated so far: 818,977,792 bytes).",nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,,,nan,,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
fig1,PEB,13,634888206,-10.0,snr_db,-10.0,3,3,3,3,full_6d,634888206,,,nan,,False,,2.2207251265645027,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,53738fdc500dbb29,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0011789249478039749,nan,nan,0.0011789249478039749,False,11da97468c8b90c59dcc518746f48f2217739b6c2c3deec78f2d1177de9045c5,2.0455692554871043,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
