figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons
fig2,adaptive_jones_vp_proposed,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,26.62371195293963,0.00047215011796076226,0.00047215011796076226,8.112450985233215e-05,0.0003619740196200444,6.643604013330669e-13,2.2850568427675846,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,446ebc0af6effeaa,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.58204684582606,60.34948672671642,36.18503304603136,0.0,True,3,4,3096725.458075429,3096784.8651157715,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",direct_vp,"[""poor_clock_consistency""]",3093867.613746271,3096560,True,845274.8740580764,73.8959645852695,6.871469445509129,0.12318759252972643,"[4.774327958837444,5.03317439125752,5.038053880185031]",27.20093896985054,25.190418511629105,52.8020587535575,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,nan,nan,nan,False,not_run,not_requested,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",,,,845274.8740580764,73.8959645852695,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,adaptive_jones_vp_proposed_force_lower_raw,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,29.37954825721681,0.00047215011796076226,0.00047215011796076226,8.112450985233215e-05,0.0003619740196200444,6.643604013330669e-13,2.2850568427675846,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,55457bb18c704545,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.58204684582606,60.34948672671642,36.18503304603136,0.0,True,3,4,3096725.458075429,3096784.8651157715,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]",jnpp_then_vp,"[""poor_clock_consistency""]",3093867.613746271,3096560,True,845274.8740580764,73.8959645852695,6.871469445509129,0.12318759252972643,"[4.774327958837444,5.03317439125752,5.038053880185031]",27.20093896985054,15.581073173321784,43.19271341525018,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,0.00047204390697864714,8.112231849303404e-05,2.2850568427677,True,rollback,existing_selector_rollback,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]","[60.34948644263648,21.582046804953645,26.62356592000279]","[0.01657014929017122,0.0463348082327804,0.037560708545884815]","[6.516430664692461e-10,2.7057284855525634e-08,2.0350817958374222e-07]",845274.8740580764,73.8959645852695,845275.1617866827,73.89593754741072,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,PEB,2,3251202663,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,0.02819874882698059,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,a778a3d17d3b140d,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0011044035239813662,nan,nan,0.0011044035239813662,False,ba669d51e548d5d57a5c08da45514e8eda76ee1a2847f0b8bc91639b42fa1215,2.287057192270079,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[]
fig2,adaptive_jones_vp_proposed,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,25.192511851899326,0.001064856194773368,0.001064856194773368,4.548606014275392e-05,0.0008260095153018715,9.075917068375302e-13,4.9430920682842086,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,1ce372088b669690,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.091595761768428,142.51975391887936,61.9078598684304,0.0,True,3,4,3096725.458075429,3096872.765597608,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",direct_vp,"[""poor_clock_consistency""]",3096268.8851517346,3096560,True,920349.1553423025,76.16100943243927,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",27.675313507206738,23.721584364771843,51.78959493339062,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,nan,nan,nan,False,not_run,not_requested,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",,,,920349.1553423025,76.16100943243927,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,adaptive_jones_vp_proposed_force_lower_raw,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,31.952527868561447,0.001064856194773368,0.001064856194773368,4.548606014275392e-05,0.0008260095153018715,9.075917068375302e-13,4.9430920682842086,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,007595edd749a31c,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,20.091595761768428,142.51975391887936,61.9078598684304,0.0,True,3,4,3096725.458075429,3096872.765597608,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]",jnpp_then_vp,"[""poor_clock_consistency""]",3096268.8851517346,3096560,True,920349.1553423025,76.16100943243927,3.850744923659325,0.20647638904281737,"[4.538204787981568,4.898328103872015,5.025804483507147]",27.675313507206738,18.40767886210233,46.475689430721104,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,0.0010648481660663325,4.5486364472609406e-05,4.9430920682844315,True,rollback,existing_selector_rollback,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]","[142.5197545611145,23.112229921663715,20.091595837201645]","[0.007016571161920336,0.043267136203052434,0.049772054349625436]","[3.6560478934290585e-09,5.662572929816707e-09,2.917202722549968e-07]",920349.1553423025,76.16100943243927,920349.1624179891,76.16101088190153,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,PEB,4,287230138,-10.0,snr_db,-10.0,3,3,3,3,full_6d,287230138,,,nan,,False,,0.008729628287255764,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,96ad8621c939d8e3,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001003554190456147,nan,nan,0.001003554190456147,False,72d5586e1e2071d827e37c0d5029359210d7878b9ab9d369f2c38d0e300801aa,4.9435823671008885,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[]
fig2,adaptive_jones_vp_proposed,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,25.360064312815666,0.0011793780217935037,0.0011793780217935037,2.597259984423452e-05,0.00017953408625465925,9.97677229235916e-13,3.9631128937020983,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,4938aff61ba2d6b5,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690678638335,72.09819048264322,40.34455220415351,0.0,True,3,4,3096725.458075429,3108684.6321490617,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]",direct_vp,"[""poor_clock_consistency""]",3095469.812331075,3096560,True,826432.8294771122,69.53545334479595,4.805719130033151,0.12792345090570606,"[5.122357217275852,4.813876383633271,4.920477286721791]",27.47885910887271,23.14750310406089,51.03697653673589,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,nan,nan,nan,False,not_run,not_requested,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]",,,,826432.8294771122,69.53545334479595,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,adaptive_jones_vp_proposed_force_lower_raw,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,35.50018246192485,0.0011793780217935037,0.0011793780217935037,2.597259984423452e-05,0.00017953408625465925,9.97677229235916e-13,3.9631128937020983,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,ff6290a2cbaead6c,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690678638335,72.09819048264322,40.34455220415351,0.0,True,3,4,3096725.458075429,3108684.6321490617,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]",jnpp_then_vp,"[""poor_clock_consistency""]",3095469.812331075,3096560,True,826432.8294771122,69.53545334479595,4.805719130033151,0.12792345090570606,"[5.122357217275852,4.813876383633271,4.920477286721791]",27.47885910887271,18.289354574866593,46.1788280075416,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,0.0011794220775352294,2.597284615865444e-05,3.9631128937021187,True,rollback,existing_selector_rollback,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]","[72.09819041155592,18.799690676304007,30.135775443633467]","[0.01386997363206527,0.05319236455531932,0.033183151428782164]","[1.7688444495067658e-08,2.545124985359179e-08,8.063885350526092e-08]",826432.8294771122,69.53545334479595,826432.9513678538,69.53544363961015,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig2,PEB,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.00582401268184185,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,09c70ccca2815158,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001129316608688006,nan,nan,0.001129316608688006,False,7c738a48c71d396c30709f16037cef480e872ff8eba0c095999cea8980974cb0,3.964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[]
fig2,adaptive_jones_vp_proposed,3,3422926171,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,29.069431754760444,0.0016216485254757255,0.0016216485254757255,0.000114168788835377,0.0007557213497760044,4.003565794471698e-12,2.7814473116160445,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,a78ae809423deae9,adaptive_jones,cupy,True,0,cupy,cupy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,21.005714204378858,88.38380167105747,44.565632978781764,0.0,True,3,4,3096725.458075429,3096738.5582129033,"[88.38380167105747,24.307383060908982,21.005714204378858]","[0.011314290413003136,0.04113976389271982,0.047606093763311985]","[1.7381356560761804e-08,6.440402797342569e-09,4.56736221786086e-08]",direct_vp,"[""poor_clock_consistency""]",3097490.0859771348,3096560,True,858433.1238501463,79.12499215827154,4.328386879314019,0.24464398053259098,"[4.720824926272022,4.774117560061667,5.264383197794091]",27.02636552415788,27.320973627269268,54.7541912002489,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0016216485254757255,0.000114168788835377,2.7814473116160445,nan,nan,nan,False,not_run,not_requested,"[88.38380167105747,24.307383060908982,21.005714204378858]","[0.011314290413003136,0.04113976389271982,0.047606093763311985]","[1.7381356560761804e-08,6.440402797342569e-09,4.56736221786086e-08]",,,,858433.1238501463,79.12499215827154,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
