figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,2,3251202663,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.00047215011796076226,0.0011044035239813662,0.4275159465796204,False,8.112450985233215e-05,2.2850568427675846,0.00047215011796076226,8.112450985233215e-05,2.2850568427675846,0.00047204390697864714,8.112231849303404e-05,2.2850568427677,True,rollback,existing_selector_rollback,"[60.34948672671642,21.58204684582606,26.62356556555159]","[0.016570149212171436,0.04633480814503082,0.037560709045946994]","[6.991905166923638e-10,2.8498737219767828e-08,2.0367671619082933e-07]","[60.34948644263648,21.582046804953645,26.62356592000279]","[0.01657014929017122,0.0463348082327804,0.037560708545884815]","[6.516430664692461e-10,2.7057284855525634e-08,2.0350817958374222e-07]",845274.8740580764,73.8959645852695,845275.1617866827,73.89593754741072,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,4,287230138,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.001064856194773368,0.001003554190456147,1.061084896959433,False,4.548606014275392e-05,4.9430920682842086,0.001064856194773368,4.548606014275392e-05,4.9430920682842086,0.0010648481660663325,4.5486364472609406e-05,4.9430920682844315,True,rollback,existing_selector_rollback,"[142.51975391887936,23.112229924643422,20.091595761768428]","[0.0070165711935390295,0.043267136197474285,0.04977205453649293]","[3.4574160390781816e-09,5.218487513829498e-09,2.906041281030949e-07]","[142.5197545611145,23.112229921663715,20.091595837201645]","[0.007016571161920336,0.043267136203052434,0.049772054349625436]","[3.6560478934290585e-09,5.662572929816707e-09,2.917202722549968e-07]",920349.1553423025,76.16100943243927,920349.1624179891,76.16101088190153,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,0,3147786918,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0011793780217935037,0.001129316608688006,1.0443289443548138,False,2.597259984423452e-05,3.9631128937020983,0.0011793780217935037,2.597259984423452e-05,3.9631128937020983,0.0011794220775352294,2.597284615865444e-05,3.9631128937021187,True,rollback,existing_selector_rollback,"[72.09819048264322,18.799690678638335,30.135775451178954]","[0.013869973618389769,0.05319236454871451,0.033183151420473664]","[1.1982117561953878e-08,2.4889751066759858e-08,7.127068440055138e-08]","[72.09819041155592,18.799690676304007,30.135775443633467]","[0.01386997363206527,0.05319236455531932,0.033183151428782164]","[1.7688444495067658e-08,2.545124985359179e-08,8.063885350526092e-08]",826432.8294771122,69.53545334479595,826432.9513678538,69.53544363961015,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,3,3422926171,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0016216485254757255,0.0010931293132064352,1.4834919399599713,False,0.000114168788835377,2.7814473116160445,0.0016216485254757255,0.000114168788835377,2.7814473116160445,0.0016219387535679145,0.00011416949685671477,2.7814473116160143,True,rollback,existing_selector_rollback,"[88.38380167105747,24.307383060908982,21.005714204378858]","[0.011314290413003136,0.04113976389271982,0.047606093763311985]","[1.7381356560761804e-08,6.440402797342569e-09,4.56736221786086e-08]","[88.38380270330944,24.307382975591086,21.005714257236253]","[0.011314290280861294,0.041139764037118665,0.04760609364351915]","[1.7304113622471993e-08,6.351468907922666e-09,4.7082642382432627e-08]",858433.1238501463,79.12499215827154,858433.7029455049,79.124941142159,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,6,1919806993,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.00034925319524521545,0.001115990090586808,0.312953670638394,False,2.2952432280146276e-05,4.1980149611106885,0.00034925319524521545,2.2952432280146276e-05,4.1980149611106885,0.00034924070936324925,2.295692019885808e-05,4.198014961111329,True,rollback,existing_selector_rollback,"[24.84171676255641,237.33378528659742,17.958154238968135]","[0.04025486682476169,0.0042134751213574375,0.0556850100892942]","[1.4855980601135478e-07,1.8487087092362653e-09,1.5944870998361418e-09]","[24.841716738110097,237.33378112054308,17.958154292202845]","[0.04025486686437582,0.004213475195318954,0.05568500992422292]","[1.5473052313363234e-07,3.540259623597289e-09,2.4799995643999857e-09]",824738.3233424108,72.27160616664234,824738.2665133062,72.27160611498957,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,7,1914929603,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0013217136597437618,0.0010722217098529105,1.2326869038354735,False,5.38317513114108e-05,7.354901825245583,0.0013217136597437618,5.38317513114108e-05,7.354901825245583,0.0013218116271752612,5.3835512392645954e-05,7.354901825246502,True,rollback,existing_selector_rollback,"[146.96179074553734,48.73667821895946,13.703583213852415]","[0.006804489757371878,0.020518427527181058,0.07297361459267351]","[1.7312619773402066e-10,8.98994723893919e-09,1.5937078726619313e-06]","[146.96178881557788,48.73667780728596,13.703583305587104]","[0.006804489846731088,0.020518427700498023,0.07297361410417268]","[4.722376188235335e-11,6.351620723307876e-09,1.5989971977567013e-06]",811837.3107728121,85.06207352018464,811837.264593666,85.06206651880072,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,8,641399591,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0007085169082601929,0.0010986110724718816,0.6449205965729305,False,3.732569471936574e-05,2.2558786983816117,0.0007085169082601929,3.732569471936574e-05,2.2558786983816117,0.0007085435341729067,3.7325642708028636e-05,2.2558786983816344,True,rollback,existing_selector_rollback,"[103.86217568990638,22.597303145238207,21.81676665650234]","[0.009628144155979977,0.04425306832192171,0.04583630634744585]","[1.0306786989901131e-08,2.8631510096293442e-09,3.984828265093662e-07]","[103.86217526921054,22.59730315603339,21.816766651601057]","[0.00962814419497897,0.044253068300781136,0.04583630635774329]","[1.056916028997688e-08,1.929132425143232e-09,3.6626816038928253e-07]",854083.0796211532,78.2316107812247,854083.1215334118,78.23160707514887,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,10,781873798,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.000718518689777751,0.0010995103100430099,0.6534897246662875,False,4.173192046906891e-05,2.2036031086999577,0.000718518689777751,4.173192046906891e-05,2.2036031086999577,0.0007185189754875232,4.173189445876268e-05,2.2036031086999683,True,rollback,existing_selector_rollback,"[39.05933012766797,362.45622286279314,13.93660907740282]","[0.02560207757512419,0.002758953872385552,0.07175346559784684]","[5.3221771617834376e-08,2.1586070767726495e-09,1.5034752981885425e-07]","[39.059330132087986,362.4562223597237,13.936609076936863]","[0.025602077572227017,0.002758953876214829,0.07175346560024586]","[5.862480871084705e-08,3.0636158729789965e-09,1.4624131977773124e-07]",816636.8036888589,81.25372110373758,816636.8000941124,81.25372173803551,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,13,634888206,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.001585644866875988,0.0011789249478039749,1.3449922065264839,False,4.152812554945881e-05,2.044646807993855,0.001585644866875988,4.152812554945881e-05,2.044646807993855,0.0015856858074452752,4.15284382580243e-05,2.0446468079938676,True,rollback,existing_selector_rollback,"[17.021815093784255,255.36684854820933,27.124092591326626]","[0.0587481413981604,0.003915935077046026,0.036867592772214706]","[2.0693118381114323e-07,2.960941948646503e-11,5.7053359184572626e-06]","[17.021815087016154,255.36684941181574,27.12409255698083]","[0.05874814142151944,0.003915935063803013,0.036867592818898176]","[2.3398004299984598e-07,1.0219043773159958e-09,1.3572041043922357e-07]",754056.0612063741,80.41011790478002,754056.129349869,80.41010811247918,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,-10.0,5,2290547997,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0017093345583367944,0.001213276957871888,1.4088576785757156,False,4.4996153431115666e-05,2.727697676226,0.0017093345583367944,4.4996153431115666e-05,2.727697676226,0.0017092808706214383,4.4995180379719765e-05,2.727697676226016,True,rollback,existing_selector_rollback,"[57.87522228056458,17.058355308713416,40.37985590512458]","[0.01727855134783544,0.058622298685040354,0.024764823388899487]","[5.179681179024573e-08,3.7551484995557867e-10,4.976406894163344e-08]","[57.875221747510125,17.05835535722208,40.37985597508212]","[0.017278551506977963,0.058622298518336745,0.024764823345994773]","[4.934646146460087e-08,3.351738204694703e-10,5.031650810011714e-08]",723093.7902387159,74.46660954143569,723093.6201294243,74.4666256115593,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
