figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1,free_jones_vp,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,50.645367491997604,0.025584753487782833,0.025584753487782833,0.002975266571277496,0.007997747234023548,5.463975928662636e-12,1.2543853460875545,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1b3b23f833fd9270,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.3852445508801883e-05,2.5953161458788966e-06,2.342491966158176e-05]",direct_vp,[],3098283.120946888,3096560,True,2773377.0814678683,65.56905615571974,9.455551919865993,0.04771820969521098,"[5.01434088489446,4.898078510058234,4.945773267895154]",20.372606133001682,35.726084481000726,56.75223345000268,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.025584753487782833,0.002975266571277496,1.2543853460875545,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_gated_rescue,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,43.92680093099625,0.025584753487782833,0.025584753487782833,0.002975266571277496,0.007997747234023548,5.463975928662636e-12,1.2543853460875545,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1b3b23f833fd9270,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.3852445508801883e-05,2.5953161458788966e-06,2.342491966158176e-05]",direct_vp,[],3098283.120946888,3096560,True,2773377.0814678683,65.56905615571974,9.455551919865993,0.04771820969521098,"[5.01434088489446,4.898078510058234,4.945773267895154]",20.372606133001682,35.79944765599794,56.82559662499989,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.025584753487782833,0.002975266571277496,1.2543853460875545,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_force_rescue,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,53.99355637199915,0.025584753487782833,0.025584753487782833,0.002975266571277496,0.007997747234023548,5.463975928662636e-12,1.2543853460875545,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,1357cb4a957c4136,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.3852445508801883e-05,2.5953161458788966e-06,2.342491966158176e-05]",jnpp_then_vp,[],3098283.120946888,3096560,True,2773377.0814678683,65.56905615571974,9.455551919865993,0.04771820969521098,"[5.01434088489446,4.898078510058234,4.945773267895154]",20.372606133001682,35.83735128099943,56.86350025000138,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.025584753487782833,0.002975266571277496,1.2543853460875545,0.0004012391916708862,9.417079497620543e-06,1.2532477010083483,True,rollback,existing_selector_rollback
fig1,PEB,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,1.8947679559933022,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,94f5de2162a4630e,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006350613982890721,nan,nan,0.0006350613982890721,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,1.2536941931437522,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,free_jones_vp,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,42.968526989003294,0.024488249633004843,0.024488249633004843,0.0021735946086981887,0.008273837862915282,7.284686685614192e-12,0.9613932750722698,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,97f9240c97a661e1,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.2291855468139674e-06,2.1599116459843527e-06,2.227932198221137e-05]",direct_vp,"[""poor_clock_consistency""]",3098490.1945475596,3096560,True,1776017.1705684955,88.84720615259467,3.5974196108161585,0.2838406299334737,"[4.967521794011079,4.988892863519118,4.376374941429802]",24.93366999200225,36.562501968001015,62.07634707201214,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.024488249633004843,0.0021735946086981887,0.9613932750722698,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_gated_rescue,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,43.08136997700058,0.024488249633004843,0.024488249633004843,0.0021735946086981887,0.008273837862915282,7.284686685614192e-12,0.9613932750722698,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,97f9240c97a661e1,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.2291855468139674e-06,2.1599116459843527e-06,2.227932198221137e-05]",direct_vp,"[""poor_clock_consistency""]",3098490.1945475596,3096560,True,1776017.1705684955,88.84720615259467,3.5974196108161585,0.2838406299334737,"[4.967521794011079,4.988892863519118,4.376374941429802]",24.93366999200225,36.59394125900144,62.107786363012565,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.024488249633004843,0.0021735946086981887,0.9613932750722698,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_force_rescue,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,55.94522864100145,0.024488249633004843,0.024488249633004843,0.0021735946086981887,0.008273837862915282,7.284686685614192e-12,0.9613932750722698,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,aae596005c771c7e,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.2291855468139674e-06,2.1599116459843527e-06,2.227932198221137e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3098490.1945475596,3096560,True,1776017.1705684955,88.84720615259467,3.5974196108161585,0.2838406299334737,"[4.967521794011079,4.988892863519118,4.376374941429802]",24.93366999200225,36.76470620499458,62.27855130900571,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.024488249633004843,0.0021735946086981887,0.9613932750722698,0.001830268936138642,3.593502793948652e-05,0.9607560545422231,True,rollback,existing_selector_rollback
fig1,PEB,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,1.5271021419976023,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,2d70816cf57aaacb,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.00080784519973302,nan,nan,0.00080784519973302,False,03cd7c332e4eed0126bd941bde17e626eadbdc845abb58ecb3c9db59f411c888,0.960799342656914,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,free_jones_vp,2,3251202663,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,5.3889233820009395,0.0014659788069600567,0.0014659788069600567,7.534723045844715e-05,0.0012018693305411094,5.254948046227786e-13,0.7226065685563317,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,63d2776f44c8f462,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8137180986402808e-06,4.33659535687588e-06,5.235892487105411e-05]",direct_vp,[],3093902.499883467,3096560,True,2667593.124446362,73.94395770213646,12.222587514821647,0.08671460046178385,"[4.843336700810063,5.01910366227371,5.034500770923379]",24.29147593999369,3.399068463004369,28.076684658000886,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0014659788069600567,7.534723045844715e-05,0.7226065685563317,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_gated_rescue,2,3251202663,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,5.676139899995178,0.0014659788069600567,0.0014659788069600567,7.534723045844715e-05,0.0012018693305411094,5.254948046227786e-13,0.7226065685563317,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,63d2776f44c8f462,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8137180986402808e-06,4.33659535687588e-06,5.235892487105411e-05]",direct_vp,[],3093902.499883467,3096560,True,2667593.124446362,73.94395770213646,12.222587514821647,0.08671460046178385,"[4.843336700810063,5.01910366227371,5.034500770923379]",24.29147593999369,3.422344039994641,28.09996023499116,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0014659788069600567,7.534723045844715e-05,0.7226065685563317,nan,nan,nan,False,not_run,not_requested
