figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig8,ff_omp,calibration_std_deg,0.0,1,1.0,position_rmse_m,2.0997506608843204,2.0997506608843204,2.0997506608843204,2.0997506608843204,35.31266381399473
fig8,ff_omp,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.4996608537678624,1.4996608537678624,1.4996608537678624,1.4996608537678624,42.47032759200374
fig8,nf_mmpsr,calibration_std_deg,0.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,36.40811768500134
fig8,nf_mmpsr,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,16.03216156900453
fig8,oracle_calibrated_peb,calibration_std_deg,0.0,1,1.0,peb_position_m,0.00040330349733253576,0.00040330349733253576,0.00040330349733253576,0.00040330349733253576,3.1331561709957896
fig8,oracle_calibrated_peb,calibration_std_deg,5.0,1,1.0,peb_position_m,0.00040428074689092294,0.00040428074689092294,0.00040428074689092294,0.00040428074689092294,1.530206477997126
fig8,proposed,calibration_std_deg,0.0,1,1.0,position_rmse_m,0.0006272668886746256,0.0006272668886746256,0.0006272668886746256,0.0006272668886746256,399.1875700019882
fig8,proposed,calibration_std_deg,5.0,1,1.0,position_rmse_m,0.002538071266381406,0.002538071266381406,0.002538071266381406,0.002538071266381406,466.8501600000018
fig8,ris_momp,calibration_std_deg,0.0,1,1.0,position_rmse_m,1.8694919095839913,1.8694919095839913,1.8694919095839913,1.8694919095839913,78.65079165399948
fig8,ris_momp,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.6481117469370812,1.6481117469370812,1.6481117469370812,1.6481117469370812,57.49946018100309
