figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,proposed,8.492313744422114e-05,2.0098160638367976e-06,0.23156313235028622,338.0433870620036,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,ff_omp,2.4280997440720458,0.9949609604841999,0.46163146689452117,41.23184685400338,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,ris_momp,1.8694919095831188,0.998694231765428,0.4625038123576933,80.08595436198812,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9852280437716235,0.4593928031496711,31.107306605990743,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,trueK_peb_reference,nan,nan,nan,2.0735783310083207,False,,83b6de66e6de1781,5491e8d59d94992c,True-K PEB reference only; not a bound under model-order mismatch.,0.00036682970394567497,True,False,jones_linear,True,55.75280263713084,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",trueK_matched_reference,467ac53914a13505,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,proposed,0.6676661497306955,0.9943707609436847,0.461492047085707,559.9794401069958,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,ff_omp,1.8694919095837654,0.9993209467901739,0.462640466311014,23.726859133006656,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,ris_momp,2.5288337232803553,0.9996290888097055,0.4627054634064051,48.93652744501014,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9860252675818001,0.45957730295172067,28.31220855200081,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,trueK_peb_reference,nan,nan,nan,2.810704617004376,False,,83b6de66e6de1781,147c7acc3ac693fb,True-K PEB reference only; not a bound under model-order mismatch.,0.00036682970394567497,True,False,jones_linear,True,55.75280263713084,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",trueK_matched_reference,467ac53914a13505,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,proposed,8.454181355759975e-05,2.79721685114436e-06,0.23156295014612263,665.8832375710044,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,ff_omp,1.8694919095839728,0.9898125875523305,0.46046933646028493,62.95409361900238,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,ris_momp,1.8694919095839566,0.9973097701794166,0.4621905500668201,120.16344635200221,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9852276465518354,0.45939226823377377,26.64155413598928,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,trueK_peb_reference,nan,nan,nan,1.469248057997902,False,,83b6de66e6de1781,cf4e1204eeedbad8,True-K PEB reference only; not a bound under model-order mismatch.,0.00036682970394567497,True,False,jones_linear,True,55.75280263713084,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",trueK_matched_reference,467ac53914a13505,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
