init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,K,N,trial,seed,pipeline,failed,error,Y_NMSE,Z_NMSE,raw_noisy_residual,Z_noisy_residual,position_error,range_RMSE,delay_RMSE,polarization_angle_RMSE,delay_geometry_consistency_RMSE,compressed_ris_manifold_residual,evs_maxwell_consistency_residual,common_delay_pole_consistency,vp_converged,vp_nfev,vp_final_noisy_objective,vp_initial_noisy_objective,vp_initial_Y_NMSE,vp_worsened_noisy_objective,vp_worsened_true_nmse,optimizer_converged,optimizer_status,optimizer_message,nfev,initial_noisy_objective,final_noisy_objective,relative_noisy_objective_decrease,final_position_error,final_Y_NMSE,fail_convergence,fail_position_50cm,fail_position_1m,fail_nmse_1e2,fail_noisy_objective_increase,stage2_worsened_noisy_z_residual,stage2_worsened_true_z_nmse,stage2_initial_Z_noisy_residual,stage2_final_Z_noisy_residual,stage2_initial_Z_NMSE,stage2_final_Z_NMSE,success_pos_10cm,success_pos_20cm,success_pos_50cm,success_nmse_1e3,success_nmse_1e2
weak,weak,,-10.0,16,8x8,2,24,0,2026052800,Stage-I only,False,,0.8695983685810498,0.8462516168920985,0.9848780836539456,0.981620420986646,1.140127546598309,1.2213182447815558,3.144535551337568e-09,0.4206544029539477,2.8262338685289955e-10,6.159914353941031e-23,1.0000010840099467e-20,5.551115123125783e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,0,2026052800,Stage-I + VP,False,,0.9567504927531513,1.0364312383762178,0.9932205021552436,1.0003737566900326,0.947326452642938,0.6716848642676566,2.9460452828825998e-09,0.415435404763677,1.8057610435249948e-24,5.642943689786394e-23,9.9999994802318e-21,1.1102230246251565e-16,True,32,0.9932205021552436,0.9969086042462914,0.99714111341542,False,False,True,2,`ftol` termination condition is satisfied.,32,0.9969086042462914,0.9932205021552436,0.0036995388296764934,0.947326452642938,0.9567504927531513,False,True,False,True,False,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,0,2026052800,Stage-I + Stage-II,False,,0.8052285533307815,0.7778517421462982,0.9774858209150568,0.9739317702242507,1.140127546598309,1.1370445781594647,2.5388436190150846e-10,0.31975239463208605,2.362027699836978e-09,0.9459730402264138,1.0000018394873177e-20,7.850462293418876e-17,,,,,,,,,,,,,,,,,,,,,,False,False,0.981620420986646,0.9739317702242507,0.8462516168920985,0.7778517421462982,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,0,2026052800,Stage-I + Stage-II + VP,False,,0.9567723858792382,1.0365135435676016,0.9932205091462823,1.0003799331106213,0.9476022077119596,0.6714193978857,2.9455525454753593e-09,0.41546601438622954,1.1373733422604129e-24,5.643491219433466e-23,9.999982041875282e-21,5.551115123125783e-17,True,28,0.9932205091462823,0.9967550286991199,0.9981779482279014,False,False,True,2,`ftol` termination condition is satisfied.,28,0.9967550286991199,0.9932205091462823,0.003546026306434112,0.9476022077119596,0.9567723858792382,False,True,False,True,False,False,False,0.981620420986646,0.9739317702242507,0.8462516168920985,0.7778517421462982,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,1,2026052801,Stage-I only,False,,0.028010866134055384,0.025727553874292715,0.910090212358557,0.9138123818330345,1.120566128463311,1.698571727898719,1.4023906256372394e-08,0.3731936295267058,1.5630834035751642e-08,3.8740635794070335e-23,9.999996407835317e-21,5.551115123125783e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,1,2026052801,Stage-I + VP,False,,0.01919535552418306,0.017572814092203945,0.9071647658883354,0.9119955079709791,0.7143872751067596,0.1021340324377415,3.4987074988364173e-10,0.052594974743187646,2.339620081609152e-24,4.8962051121993145e-23,9.999988497868023e-21,1.6653345369377348e-16,True,13,0.9071647658883354,0.924569940841259,0.1676771774486352,False,False,True,2,`ftol` termination condition is satisfied.,13,0.924569940841259,0.9071647658883354,0.018825157712878664,0.7143872751067596,0.01919535552418306,False,True,False,True,False,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,1,2026052801,Stage-I + Stage-II,False,,0.034059835893450824,0.031593108435949806,0.9095914632225359,0.9130207794232473,1.1770943171028179,1.3174730698889168,1.4023906256372394e-08,1.438324437092653,1.4129795607359964e-08,4.933408259137055e-23,9.999995491634912e-21,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,False,True,0.9138123818330345,0.9130207794232473,0.025727553874292715,0.031593108435949806,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,1,2026052801,Stage-I + Stage-II + VP,False,,0.9681204844417984,1.1183685202883846,0.9943455669020481,1.0077461676534134,0.5274077763185225,0.33197957667425165,2.577798233012709e-09,1.2026361805341363,4.745924208762131e-25,3.9270376376634257e-23,9.999977383418172e-21,5.551115123125783e-17,True,56,0.9943455669020481,0.9998330176977339,0.9988122001648285,False,False,True,2,`ftol` termination condition is satisfied.,56,0.9998330176977339,0.9943455669020481,0.00548836725588587,0.5274077763185225,0.9681204844417984,False,True,False,True,False,False,True,0.9138123818330345,0.9130207794232473,0.025727553874292715,0.031593108435949806,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,2,2026052802,Stage-I only,False,,0.9162851666994773,0.9270881426533916,0.993360241714365,0.994979654204618,1.5736347866248521,1.698571727898719,1.2932103238126107e-08,2.297748672010582,4.922755389820595e-09,4.376283271312837e-23,1.0000024541776036e-20,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,2,2026052802,Stage-I + VP,False,,0.1939121931848811,0.19845505303097669,0.9275443006995733,0.9263600227789586,0.7017584613870304,0.04069746358659005,1.1180033936771088e-10,0.9556529076310979,1.7668585629267794e-24,5.015642287410643e-23,1.0000016158749082e-20,1.1102230246251565e-16,True,22,0.9275443006995733,0.9988846236438432,0.9874289017930333,False,False,True,2,`ftol` termination condition is satisfied.,22,0.9988846236438432,0.9275443006995733,0.07141998310478215,0.7017584613870304,0.1939121931848811,False,True,False,True,False,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,2,2026052802,Stage-I + Stage-II,False,,0.9189177720881305,0.913903670975428,0.9915938585047875,0.9902394528583653,2.1526912501021633,0.4765603700508009,1.0567798966802957e-08,1.7069081381791646,6.799237300080174e-09,3.9727188814517364e-23,9.999978654309939e-21,8.981892944681074e-17,,,,,,,,,,,,,,,,,,,,,,False,False,0.994979654204618,0.9902394528583653,0.9270881426533916,0.913903670975428,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,2,2026052802,Stage-I + Stage-II + VP,False,,1.008350552781022,1.0216605609048206,0.9975849037567154,0.9986984583033197,1.401687531747591,1.0891118650854918,5.132866037064675e-09,1.7831676985633316,1.2326558815287487e-29,4.302639561503376e-23,9.999985630548448e-21,1.192829388127098e-16,True,18,0.9975849037567154,0.9991328173217427,1.0084185677447097,False,False,True,2,`ftol` termination condition is satisfied.,18,0.9991328173217427,0.9975849037567154,0.0015492570539086875,1.401687531747591,1.008350552781022,False,True,True,True,False,False,False,0.994979654204618,0.9902394528583653,0.9270881426533916,0.913903670975428,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,3,2026052803,Stage-I only,False,,0.16667201392975106,0.1610677505445762,0.9215576325979277,0.9218125039518612,1.4553572073983583,1.6080548042152392,1.9971747671816814e-08,1.6408059302413138,1.4373790269494416e-08,5.372456238166126e-23,1.0000004008650611e-20,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,3,2026052803,Stage-I + VP,False,,0.9955253844921975,1.0159057687439068,0.9975882839193096,0.9992362226467913,1.2824131862601418,0.9567357943686606,4.15014864782137e-09,2.1484546954324184,5.169878828456423e-25,2.1049119968627695e-23,9.999975147928908e-21,8.326672684688674e-17,True,24,0.9975882839193096,0.9994303208099852,1.001344499825464,False,False,True,2,`ftol` termination condition is satisfied.,24,0.9994303208099852,0.9975882839193096,0.0018430868589044322,1.2824131862601418,0.9955253844921975,False,True,True,True,False,,,,,,,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,3,2026052803,Stage-I + Stage-II,False,,0.17077591863363617,0.1648466465230776,0.9214402626534166,0.9214877245077496,0.6223746183930571,0.779148785104184,1.9971747671816814e-08,2.007214946403248,1.212223262690689e-08,5.126409518259957e-23,9.99999333158302e-21,6.206335383118183e-17,,,,,,,,,,,,,,,,,,,,,,False,True,0.9218125039518612,0.9214877245077496,0.1610677505445762,0.1648466465230776,False,False,False,False,False
weak,weak,,-10.0,16,8x8,2,24,3,2026052803,Stage-I + Stage-II + VP,False,,0.03539605592637595,0.03439928949227797,0.9132845519111524,0.9140550133060666,0.32396514517497843,0.06290225766226847,3.6948144132847145e-11,0.656866915975685,1.7052765185096254e-24,5.2319696991244074e-23,9.999998265368819e-21,8.326672684688674e-17,True,20,0.9132845519111524,0.9981635144506524,0.9914888397583229,False,False,True,2,`ftol` termination condition is satisfied.,20,0.9981635144506524,0.9132845519111524,0.08503512832385368,0.32396514517497843,0.03539605592637595,False,False,False,True,False,False,True,0.9218125039518612,0.9214877245077496,0.1610677505445762,0.1648466465230776,False,False,True,False,False
