init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,pipeline,num_rows,num_failed,failure_rate,Y_NMSE_mean,Y_NMSE_std,Y_NMSE_median,position_error_mean,position_error_std,position_error_median,position_error_p90,position_error_p95,range_RMSE_mean,range_RMSE_std,range_RMSE_median,delay_RMSE_mean,delay_RMSE_std,delay_RMSE_median,delay_geometry_consistency_RMSE_mean,delay_geometry_consistency_RMSE_std,delay_geometry_consistency_RMSE_median,compressed_ris_manifold_residual_mean,compressed_ris_manifold_residual_std,compressed_ris_manifold_residual_median,evs_maxwell_consistency_residual_mean,evs_maxwell_consistency_residual_std,evs_maxwell_consistency_residual_median,common_delay_pole_consistency_mean,common_delay_pole_consistency_std,common_delay_pole_consistency_median,success_pos_10cm_rate,success_pos_20cm_rate,success_pos_50cm_rate,success_nmse_1e3_rate,success_nmse_1e2_rate,vp_convergence_rate,vp_worsened_noisy_rate,vp_worsened_true_nmse_rate,fail_convergence_rate,fail_position_50cm_rate,fail_position_1m_rate,fail_nmse_1e2_rate,fail_noisy_objective_increase_rate,stage2_worsened_noisy_z_rate,stage2_worsened_true_z_nmse_rate,improvement_rate_position,improvement_rate_Y_NMSE,VP_success_gain_20cm,VP_success_gain_50cm
weak,weak,,-10.0,16,16x16,Stage-I + Stage-II,50,0,0.0,0.28243830895283983,0.2913229212231108,0.15534757307845465,1.3380030265865563,0.6057346614540732,1.170857643831655,2.085216844621618,2.5830483403515467,1.5249064470609173,0.3772435352579541,1.581343616681898,3.3284076168629157e-09,5.540181953654536e-09,6.032940717525962e-10,3.9241872344103365e-09,2.8062763893201777e-09,4.101511093317953e-09,0.1169317516038916,0.2856009276428779,4.7244636248161885e-23,1.0000001501869076e-20,1.2633902539982912e-26,1.0000000160944128e-20,1.1421104807102904e-16,4.5546126428051604e-17,1.1757450506243965e-16,0.0,0.02,0.04,0.0,0.0,,,,,,,,,0.0,0.38,0.5,0.58,0.08000000000000002,0.08000000000000002
weak,weak,,-10.0,16,16x16,Stage-I + Stage-II + VP,50,0,0.0,0.601295381228415,0.4377965907068543,0.9042621323059005,0.8512134516818564,0.5900255063588103,0.904458960029086,1.474566348168538,1.6333978358253192,0.5301546616553826,0.40494060758752903,0.5137219711255874,1.6168180829924184e-09,1.4501268074717112e-09,1.7357357005257137e-09,1.5766866722016304e-24,8.609572962186077e-25,1.8176497726705207e-24,7.486126769081943e-06,5.293491003239981e-05,4.7223688790494793e-23,1.0000002347595847e-20,1.501067265371125e-26,1.000000421377221e-20,9.973438393096882e-17,3.984870625194943e-17,1.1102230246251565e-16,0.26,0.28,0.28,0.0,0.16,1.0,0.0,0.06,0.0,0.72,0.44,0.84,0.0,0.0,0.38,0.5,0.58,0.08000000000000002,0.08000000000000002
weak,weak,,-10.0,16,16x16,Stage-I + VP,50,0,0.0,0.6003825449695956,0.430654231962837,0.8536546592938803,0.9161463667559359,0.5434066865655789,1.0217212770873558,1.418215900418362,1.552360895035769,0.5377518042451701,0.4065349657379991,0.5783256386769497,1.486041830742383e-09,1.357344832101607e-09,1.5689270431383116e-09,1.5666290779091568e-24,8.852945731473635e-25,1.6862561721045613e-24,7.4844424488010625e-06,5.29230000894768e-05,4.977605476052019e-23,1.0000001427411213e-20,1.6507953625032236e-26,1.0000000654983803e-20,9.398030270109998e-17,4.643168773549303e-17,9.47634626983522e-17,0.18,0.2,0.2,0.0,0.1,1.0,0.0,0.12,0.0,0.8,0.52,0.9,0.0,,,0.5,0.58,0.08000000000000002,0.08000000000000002
weak,weak,,-10.0,16,16x16,Stage-I only,50,0,0.0,0.3385553318496799,0.3386698169305895,0.1776390497198988,1.3368629971413752,0.5684216822788015,1.2785763181755456,2.060600268059376,2.6738467264617465,1.6691474046438928,0.2754724348136717,1.698571727898719,3.4480668504230354e-09,5.3013964090427116e-09,1.0644813204349685e-09,3.6477221061805407e-09,2.893598089888875e-09,3.119815642985664e-09,5.2937328835053e-23,2.6050262968112397e-23,4.3195824376000753e-23,1.0000003359308075e-20,1.9412059481780798e-26,1.0000002856942137e-20,1.0507139904505516e-16,4.697218950304806e-17,1.1102230246251565e-16,0.0,0.0,0.04,0.0,0.0,,,,,,,,,,,0.5,0.58,0.08000000000000002,0.08000000000000002
weak,weak,,-10.0,16,32x32,Stage-I + Stage-II,50,0,0.0,0.44037256541123776,0.3132259375411787,0.3335522967588519,1.4618449252848211,0.6935114345090696,1.3437180467116892,2.518932030603798,2.711983471321157,1.262560841521265,0.4333292371498687,1.2954006730113266,2.5914488914628135e-09,3.5308255964033845e-09,8.319248723370476e-10,3.3297029939985333e-09,2.580657265006816e-09,2.9628446695249076e-09,0.12802228682891328,0.2708607568232868,5.376793321801314e-23,1.0000000542610822e-20,1.6067760051512705e-26,1.000000108684256e-20,9.850259383063206e-17,4.203261201945837e-17,1.1102230246251565e-16,0.0,0.0,0.02,0.0,0.0,,,,,,,,,0.0,0.4,0.56,0.44,0.06,0.1
weak,weak,,-10.0,16,32x32,Stage-I + Stage-II + VP,50,0,0.0,0.6964163523735908,0.363684548593853,0.9189235328462029,0.9985056984708592,0.5190981660757003,1.0340625600995463,1.6361762388180443,1.7515866710093564,0.5846706362946312,0.3836437744208201,0.5576715261104283,1.5423623294748425e-09,1.2689451820479216e-09,1.6732430082581903e-09,1.6164395387125582e-24,9.224990959843416e-25,1.6543612251060553e-24,0.00023605598112466409,0.001660924528471181,4.4927052027651776e-23,9.99999775861971e-21,1.8647651706615602e-26,1.0000001469100729e-20,1.0271179948376364e-16,4.9433230043537616e-17,1.0170235660225943e-16,0.06,0.06,0.22,0.0,0.04,1.0,0.0,0.08,0.0,0.78,0.52,0.96,0.0,0.0,0.4,0.56,0.44,0.06,0.1
weak,weak,,-10.0,16,32x32,Stage-I + VP,50,0,0.0,0.7498637612207248,0.30854988437857594,0.9064273412319348,1.0016150762322338,0.3951196483094247,0.9639741420725992,1.4395600252276926,1.702320632532069,0.5828244811211732,0.3079401089817772,0.5293471223734172,1.6061153475330629e-09,1.074034612479927e-09,1.6457437980915472e-09,1.4690957195351687e-24,9.734773967558634e-25,1.6543612251060553e-24,4.392163946435894e-06,2.4619521354561864e-05,4.6432221571024275e-23,9.999999597375703e-21,1.421282434932097e-26,1.0000000114060879e-20,1.0155881375605544e-16,4.9560669375776024e-17,1.1102230246251565e-16,0.0,0.0,0.12,0.0,0.0,0.96,0.0,0.06,0.04,0.88,0.48,1.0,0.0,,,0.56,0.44,0.06,0.1
weak,weak,,-10.0,16,32x32,Stage-I only,50,0,0.0,0.4928791489323411,0.317170936603347,0.4924599367494905,1.33778273100295,0.47370404018689094,1.2842585416199206,1.983313214329538,2.1617627360377956,1.3576657495196573,0.37503850284420365,1.2828163739119365,2.9152025870907733e-09,3.412701494795493e-09,1.905156431798356e-09,3.207041090598608e-09,2.592586763138925e-09,2.801278274611007e-09,5.4089521142891e-23,2.743962747925704e-23,4.7899210057538953e-23,1.0000002482113168e-20,1.8089983879483794e-26,1.0000003319182337e-20,1.0101096727909066e-16,5.063088724290732e-17,1.1102230246251565e-16,0.0,0.0,0.02,0.0,0.0,,,,,,,,,,,0.56,0.44,0.06,0.1
weak,weak,,-10.0,16,8x8,Stage-I + Stage-II,50,0,0.0,0.3126344795663214,0.3285534111616422,0.14039675389234477,1.53763592224318,0.8459875013083776,1.3448728912822263,3.1007660981136693,3.530465085023563,1.4892096865818127,0.3844162721230464,1.6080548042152392,3.5783854234884675e-09,4.762192780049393e-09,5.675906084604032e-10,3.5500005423106193e-09,3.0975054853820603e-09,2.8106264632662957e-09,0.17009687961373934,0.3145630262038366,4.5613684447329056e-23,0.0065611664687863416,0.04639445302572616,9.999999836834354e-21,9.355535271691826e-17,4.479036937246599e-17,1.1102230246251565e-16,0.0,0.0,0.04,0.0,0.0,,,,,,,,,0.0,0.36,0.56,0.6,0.1,0.12
weak,weak,,-10.0,16,8x8,Stage-I + Stage-II + VP,50,0,0.0,0.33951516584888014,0.4382076058715942,0.018565662496284434,0.6974447238875322,0.5546221860208317,0.5719523874926512,1.4216720683087267,1.7236529606256616,0.32635666639443117,0.4496029802682868,0.0439754804565064,1.074836812029712e-09,1.58074938790034e-09,4.511711634051819e-11,1.6921216316519807e-24,8.088191256397151e-25,1.7360675407182024e-24,3.7758142229853633e-07,2.495947151855389e-06,4.1310199612882303e-23,9.999995416602648e-21,1.4022912464387223e-26,9.999997614519335e-21,8.966589480941777e-17,4.5911413402842994e-17,8.326672684688674e-17,0.08,0.22,0.44,0.0,0.16,1.0,0.0,0.02,0.0,0.56,0.26,0.84,0.0,0.0,0.36,0.56,0.6,0.1,0.12
