figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig4,scalar_peb,0,3147786918,-30.0,snr_db,-30.0,1,scalar,False,,1.4947437910013832,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.13828498497512304,0.13828498497512304,nan,nan
fig4,scalar_peb,1,112311654,-30.0,snr_db,-30.0,1,scalar,False,,1.0442901799979154,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1439874270234229,0.1439874270234229,nan,nan
fig4,scalar_peb,2,3251202663,-30.0,snr_db,-30.0,1,scalar,False,,0.9448681700014276,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14299878562810558,0.14299878562810558,nan,nan
fig4,scalar_peb,3,3422926171,-30.0,snr_db,-30.0,1,scalar,False,,0.9179448069917271,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14173779314732937,0.14173779314732937,nan,nan
fig4,scalar_peb,4,287230138,-30.0,snr_db,-30.0,1,scalar,False,,1.0533081629982917,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14702209304579728,0.14702209304579728,nan,nan
fig4,scalar_peb,5,2290547997,-30.0,snr_db,-30.0,1,scalar,False,,0.9360578479972901,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14359080216722303,0.14359080216722303,nan,nan
fig4,scalar_peb,6,1919806993,-30.0,snr_db,-30.0,1,scalar,False,,1.086291262996383,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14847856070541202,0.14847856070541202,nan,nan
fig4,scalar_peb,7,1914929603,-30.0,snr_db,-30.0,1,scalar,False,,0.9190557539986912,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14747088631116537,0.14747088631116537,nan,nan
fig4,scalar_peb,8,641399591,-30.0,snr_db,-30.0,1,scalar,False,,1.1497066669980995,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14532770570245687,0.14532770570245687,nan,nan
fig4,scalar_peb,9,3933360494,-30.0,snr_db,-30.0,1,scalar,False,,0.9410480380029185,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.15065004765956816,0.15065004765956816,nan,nan
fig4,scalar_peb,10,781873798,-30.0,snr_db,-30.0,1,scalar,False,,1.0546750670037,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14961652836452843,0.14961652836452843,nan,nan
fig4,scalar_peb,11,3685333214,-30.0,snr_db,-30.0,1,scalar,False,,0.9368762509984663,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14157923938331649,0.14157923938331649,nan,nan
fig4,scalar_peb,12,2210497206,-30.0,snr_db,-30.0,1,scalar,False,,1.0335919549979735,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1520528155771355,0.1520528155771355,nan,nan
fig4,scalar_peb,13,634888206,-30.0,snr_db,-30.0,1,scalar,False,,0.9225278310041176,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14280208414904336,0.14280208414904336,nan,nan
fig4,scalar_peb,14,1092560480,-30.0,snr_db,-30.0,1,scalar,False,,1.054233121991274,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14613553801427273,0.14613553801427273,nan,nan
fig4,scalar_peb,15,2734808712,-30.0,snr_db,-30.0,1,scalar,False,,0.918520986000658,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14778982930367146,0.14778982930367146,nan,nan
fig4,scalar_peb,16,1080178429,-30.0,snr_db,-30.0,1,scalar,False,,0.8665832750120899,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1428688915111252,0.1428688915111252,nan,nan
