figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,proposed,0.6676661497306955,0.9943707609436847,0.461492047085707,250.59693303800032,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,ff_omp,1.8694919095837654,0.9993209467901739,0.462640466311014,10.797100837000471,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,ris_momp,2.5288337232803553,0.9996290888097055,0.4627054634064051,20.90215999100019,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,2,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9860252675818001,0.45957730295172067,12.942095522000272,False,,83b6de66e6de1781,147c7acc3ac693fb,,nan,,,,,,,,,slice_physical_scene,bdfeef3a7de92023,2ff84636f5f00990,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,proposed,8.492313744422114e-05,2.0098160638367976e-06,0.23156313235028622,86.75052583700017,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,ff_omp,2.4280997440720458,0.9949609604841999,0.46163146689452117,22.156435606999366,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,ris_momp,1.8694919095831188,0.998694231765428,0.4625038123576933,43.329866332000165,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,3,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9852280437716235,0.4593928031496711,17.312927316999776,False,,83b6de66e6de1781,5491e8d59d94992c,,nan,,,,,,,,,matched_physical_scene,bdfeef3a7de92023,bdfeef3a7de92023,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,proposed,8.454181355759975e-05,2.79721685114436e-06,0.23156295014612263,578.0103528760001,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,ff_omp,1.8694919095839728,0.9898125875523305,0.46046933646028493,67.68248542800029,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,ris_momp,1.8694919095839566,0.9973097701794166,0.4621905500668201,124.94948232600018,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
fig9,0,761381645,0.0,3,5,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.14564392373896,0.9852276465518354,0.45939226823377377,28.075282275000063,False,,83b6de66e6de1781,cf4e1204eeedbad8,,nan,,,,,,,,,extended_physical_scene,bdfeef3a7de92023,dc4bbf798e5cffe3,True,nan,nan
