figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary
fig1,stage1_only,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.20651891799934674,0.2000519753751517,0.2000519753751517,0.0002446619708887267,0.017890330241315883,3.3395196400069465e-11,0.3964068455305714,True,stage1_only,stage1_only,stage1_only,False,7fb7453ef1ab8d0b,none,none,False,,,nan,nan,nan,nan,True,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,41.61620090499855,0.0,42.22425600599672,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,fixed_pol_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,22.38680765600111,0.00037238381202209746,0.00037238381202209746,2.5944912754832633e-06,5.72172349593492e-05,3.143389201928596e-13,0.39631128991806286,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,ede3ed435c0e7c98,fixed_pol,fixed_pol,False,,,nan,nan,nan,nan,True,3,10,nan,nan,,,,direct_vp,[],3095469.816610192,3096560,True,8234769.120344114,69.74847880099937,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",41.61620090499855,20.069553018998704,62.293809024995426,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,free_jones_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,44.77558632900036,0.00898841659339279,0.00898841659339279,0.00235379166599074,0.0077827340583646685,5.1053850479665605e-12,0.39724257915295164,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,4888edea40b2e69d,jones_free,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.107240953116366e-06,6.29269288031017e-07,7.114048085024656e-06]",jnpp_then_vp,[],3102743.840314458,3096560,False,8210161.402642662,69.67815771135355,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",41.61620090499855,43.08419528500053,85.30845129099725,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,regularized_jones_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,53.04306911799904,0.008985514877040477,0.008985514877040477,0.0023531940109062046,0.007780271177252222,5.103533431157016e-12,0.3972422282872148,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,ca363eef774ad25c,jones_regularized,jones_regularized,False,,,0.9999999999839999,0.9999999999839999,0.9999999999839999,0.0,True,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[1.0267852669921928e-06,1.5717396740939756e-07,1.7786616055693103e-06]",jnpp_then_vp,[],3102741.0998063628,3096560,False,8210192.797236516,69.67817876724456,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",41.61620090499855,51.16479890899973,93.38905491499645,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,adaptive_jones_vp_proposed,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,57.04357442999935,0.00037238381202209746,0.00037238381202209746,2.5944912754832633e-06,5.72172349593492e-05,3.143389201928596e-13,0.39631128991806286,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,860a1ce40e02f32d,adaptive_jones,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,1.8719907502860995,7.275069259953265,4.056760660589188,0.0,True,3,4,3096725.458075429,3104035.9227132,"[7.275069259953265,1.8719907502860995,3.0232219715282014]","[0.13745573605702674,0.5341906736693525,0.3307729334513566]","[5.997604870891803e-08,7.616721461787518e-08,4.3953837988766906e-07]",direct_vp,[],3095469.816610192,3096560,True,8234769.120344114,69.74847880099937,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",41.61620090499855,55.377963289000036,97.60221929499676,nan,nan,nan,nan,nan,nan,nan,,0.00037238381202209746,2.5944912754832633e-06,0.39631128991806286,adaptive_jones,True,
fig1,PEB,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,3.227182806000201,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,660b041dc08aa69e,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911131,nan,nan,0.0003571212682911131,nan,nan,nan,,,,,,,
fig1,stage1_only,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,0.22048783999889565,0.19911839330557585,0.19911839330557585,7.550807207790676e-05,0.05709012974624572,2.399238099302305e-11,0.3038325265281169,True,stage1_only,stage1_only,stage1_only,False,88948f8a9e675ed6,none,none,False,,,nan,nan,nan,nan,True,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,41.12725787199997,0.0,41.728541276001124,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,fixed_pol_vp,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,22.712659388998873,0.0001275677003950346,0.0001275677003950346,8.866662521379047e-06,0.0001004177273612991,5.86117916215515e-13,0.3038171112657055,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,e64b5e6401458075,fixed_pol,fixed_pol,False,,,nan,nan,nan,nan,True,3,10,nan,nan,,,,direct_vp,"[""poor_clock_consistency""]",3096430.069809757,3096560,True,5104869.469634179,98.49345430160623,7.504284525011509,0.1644270787749753,"[4.990838949965178,4.995234203949779,4.644254839531431]",41.12725787199997,20.85322840200024,62.581769678001365,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,free_jones_vp,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,142.17479346800064,0.005936852769109533,0.005936852769109533,0.0001945485810437172,0.002551789590937847,1.92604447426712e-12,0.30386921678176565,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,22df175231015b43,jones_free,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.912297320077172e-07,7.249697218734447e-07,7.1785764299844676e-06]",direct_vp,"[""poor_clock_consistency""]",3096961.1165505396,3096560,True,5226245.181271671,96.11749218880948,7.504284525011509,0.1644270787749753,"[4.990838949965178,4.995234203949779,4.644254839531431]",41.12725787199997,140.09858443700068,181.8271257130018,nan,nan,nan,nan,nan,nan,nan,,,,,,,
fig1,regularized_jones_vp,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,94.33930068500013,0.010962826478605157,0.010962826478605157,0.0023252207306771896,0.00837082976709811,8.481026874019247e-12,0.30451267355025197,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,dd994037ec08c835,jones_regularized,jones_regularized,False,,,0.9999999999839999,0.9999999999839999,0.9999999999839999,0.0,True,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[9.56056049959628e-08,1.8713916818502248e-07,9.638500387287395e-07]",jnpp_then_vp,"[""poor_clock_consistency""]",3103519.0713617853,3096560,False,5185360.458019005,96.60617608960378,7.504284525011509,0.1644270787749753,"[4.990838949965178,4.995234203949779,4.644254839531431]",41.12725787199997,92.24074795999877,133.9692892359999,nan,nan,nan,nan,nan,nan,nan,,,,,,,
