init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,K,N,trial,seed,pipeline,failed,error,Y_NMSE,Z_NMSE,raw_noisy_residual,Z_noisy_residual,position_error,range_RMSE,delay_RMSE,polarization_angle_RMSE,delay_geometry_consistency_RMSE,compressed_ris_manifold_residual,evs_maxwell_consistency_residual,common_delay_pole_consistency,vp_converged,vp_nfev,vp_final_noisy_objective,vp_initial_noisy_objective,vp_initial_Y_NMSE,vp_worsened_noisy_objective,vp_worsened_true_nmse,optimizer_converged,optimizer_status,optimizer_message,nfev,initial_noisy_objective,final_noisy_objective,relative_noisy_objective_decrease,final_position_error,final_Y_NMSE,fail_convergence,fail_position_50cm,fail_position_1m,fail_nmse_1e2,fail_noisy_objective_increase,stage2_worsened_noisy_z_residual,stage2_worsened_true_z_nmse,stage2_initial_Z_noisy_residual,stage2_final_Z_noisy_residual,stage2_initial_Z_NMSE,stage2_final_Z_NMSE,success_pos_10cm,success_pos_20cm,success_pos_50cm,success_nmse_1e3,success_nmse_1e2
perturbed,perturbed,,0.0,128,32x32,2,24,0,2026052800,Stage-I only,False,,0.8490463479599036,0.8275912048987879,0.9239288017089691,0.9127273500031146,0.6476031617454499,0.7603529552787892,5.513539546538437e-10,0.07059818947871993,1.8059736214762917e-09,6.171945613317332e-25,9.999983262252239e-21,1.5558530229342586e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,0,2026052800,Stage-I + VP,False,,0.15810197283621816,0.156284413437566,0.5796031542100634,0.5773191738784061,0.5544345835501038,0.4175498786561675,8.28940820752996e-10,0.5224821734839812,3.308722450212111e-24,5.623419046523277e-25,1.0000009537957962e-20,1.3401577416544657e-16,True,1041,0.5796031542100634,0.9837505918065292,0.9679320880776794,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,1041,0.9837505918065292,0.5796031542100634,0.41082306934555635,0.5544345835501038,0.15810197283621816,False,True,False,True,False,,,,,,,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,0,2026052800,Stage-I + Stage-II,False,,0.0002495511473843519,0.0002441886333505615,0.4998807730133979,0.4982732128729052,0.15869995687286667,0.1889325466247477,1.386290340700941e-12,0.00691358237545957,6.94163422942584e-11,6.636320235370191e-25,9.999997893926373e-21,8.326672684688674e-17,,,,,,,,,,,,,,,,,,,,,,False,False,0.9127273500031146,0.4982732128729052,0.8275912048987879,0.0002441886333505615,False,True,True,True,True
perturbed,perturbed,,0.0,128,32x32,2,24,0,2026052800,Stage-I + Stage-II + VP,False,,0.00016115134625925106,0.00015849409947882862,0.4999012065014162,0.4983223451003665,0.008491033955799246,0.002105471008077426,2.715204743832713e-12,0.00922770968911836,1.8611563782443123e-24,6.660670394460744e-25,1.0000021132078619e-20,8.326672684688674e-17,True,593,0.4999012065014162,0.6796058842583609,0.36188214869340424,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,593,0.6796058842583609,0.4999012065014162,0.26442484080762857,0.008491033955799246,0.00016115134625925106,False,False,False,False,False,False,False,0.9127273500031146,0.4982732128729052,0.8275912048987879,0.0002441886333505615,True,True,True,True,True
perturbed,perturbed,,0.0,128,32x32,2,24,1,2026052801,Stage-I only,False,,0.9983956637312367,0.9982410854150593,0.9992984048360719,0.9990775678465763,1.4160620816027525,0.8936831908626063,6.5675207899986e-11,0.08967934151332102,2.31017613051559e-09,5.8633298584074355e-25,9.999989088723809e-21,1.3401577416544657e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,1,2026052801,Stage-I + VP,False,,0.999457069033203,1.0005048508481884,0.9996466012917989,1.0001028067639266,1.2983605875997601,0.6609304287616458,2.3570727590300454e-09,0.3109683877715246,0.0,6.456266143784503e-25,1.0000027391109604e-20,6.206335383118183e-17,True,753,0.9996466012917989,0.9998301063159352,0.9999035719503251,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,753,0.9998301063159352,0.9996466012917989,0.00018353620577838024,1.2983605875997601,0.999457069033203,False,True,True,True,False,,,,,,,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,1,2026052801,Stage-I + Stage-II,False,,0.9712912412102386,0.9709031789292253,0.985686390402488,0.9852389820464058,1.9782968766216913,1.4935381820392086,2.1187773128537667e-09,1.549023552319826,2.2698224308136084e-09,6.66878700914343e-25,1.0000015814582792e-20,1.6653345369377348e-16,,,,,,,,,,,,,,,,,,,,,,False,False,0.9990775678465763,0.9852389820464058,0.9982410854150593,0.9709031789292253,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,1,2026052801,Stage-I + Stage-II + VP,False,,0.9903904578347218,0.9905409881863935,0.9949489222186058,0.9951548586001637,1.5622647548980202,0.8941193575202103,3.1442435870494765e-09,0.8740350595474081,2.0679515313825692e-24,5.7759646666417025e-25,1.0000007075766507e-20,5.551115123125783e-17,True,1041,0.9949489222186058,0.9993647791506568,0.9987409130132221,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,1041,0.9993647791506568,0.9949489222186058,0.00441866375939725,1.5622647548980202,0.9903904578347218,False,True,True,True,False,False,False,0.9990775678465763,0.9852389820464058,0.9982410854150593,0.9709031789292253,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,2,2026052802,Stage-I only,False,,0.9583914547726766,0.9533406016401228,0.9787313219472774,0.9768471738291962,0.5065587554988368,0.2757953177681812,5.943657560556027e-10,0.07673966114670851,8.388530099553233e-10,6.094620142501612e-25,1.0000004812735821e-20,7.850462293418876e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False
perturbed,perturbed,,0.0,128,32x32,2,24,2,2026052802,Stage-I + VP,False,,0.00011257981917435119,0.00010332627351751089,0.5046833588254203,0.5051093337381429,0.0059938600326600285,0.0009384181868571118,4.53607763082071e-12,0.0004301819739358401,2.339620081609152e-24,7.8503956951124725e-25,1.0000003912353182e-20,1.7308565629369748e-16,True,593,0.5046833588254203,0.9429739948633029,0.8858613985536498,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,593,0.9429739948633029,0.5046833588254203,0.4647961008738305,0.0059938600326600285,0.00011257981917435119,False,False,False,False,False,,,,,,,True,True,True,True,True
