figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,rss_mb_before,rss_mb_after,rss_mb_delta,warning
fig1_fig2,stage1_only,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.3282125719997566,0.20389288886053514,0.004607960080039797,0.057061436942707926,1.5802063459740323e-10,3.964945478624444,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,329.30309317499973,0.0,330.0930769169995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,fixed_pol_vp,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,33.786186166000334,0.0011794032244904764,2.597277231626981e-05,0.00017953842664926274,9.976781794364544e-13,3.963112893702112,False,direct_vp,global_exact_spherical_vp,fixed_pol,,3,10,nan,nan,,,,direct_vp,"[""poor_clock_consistency""]",3095469.8123310856,3096560,True,826432.8973378915,69.53544802057375,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",329.30309317499973,28.615188010999645,358.70826492799915,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,free_jones_vp,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,42.46800701300026,0.030215425037458978,0.03878949601530713,0.02697014054344443,8.30816732013643e-12,3.9784034434769118,False,direct_vp,global_exact_spherical_vp,jones_free,,6,4,nan,nan,"[0.0,0.0,0.0]",,"[6.405891972721579e-05,9.692572679584362e-06,6.897293079598823e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3107412.806767871,3096560,False,805497.7007887455,71.27094580804282,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",329.30309317499973,39.21139881399995,369.30447573099946,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,regularized_jones_vp,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,60.08417300100018,0.0237754452432215,0.015789651997331754,0.020586876278489864,1.2965002648825506e-11,3.969378555140445,False,direct_vp,global_exact_spherical_vp,jones_regularized,,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[1.838517048387015e-05,2.3327933905557357e-06,1.8544858206875957e-05]",direct_vp,"[""poor_clock_consistency""]",3100363.734446569,3096560,True,814311.3352803895,69.33968919650906,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",329.30309317499973,56.74318369499997,386.8362606119995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,adaptive_jones_vp_proposed,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,115.24858147699979,0.0011794032244904764,2.597277231626981e-05,0.00017953842664926274,9.976781794364544e-13,3.963112893702112,False,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,3,4,3096725.458075429,3098713.3701970726,"[72.09819047677779,18.79969067488792,30.135775442959428]","[0.013869973619518139,0.053192364559326036,0.03318315142952436]","[1.5111754166473484e-08,2.5874222394631467e-08,7.643226780049383e-08]",direct_vp,"[""poor_clock_consistency""]",3095469.8123310856,3096560,True,826432.8973378915,69.53544802057375,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",329.30309317499973,112.11041396899964,442.20349088599914,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,PEB,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,3.7985158429996773,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001129316608687985,nan,nan,0.001129316608687985,nan,nan,nan,
fig1_fig2,stage1_only,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,0.15883090999977867,1.0126881020258465,0.8491648990521655,1.4141169580213262,4.3161326324394246e-08,3.2935771816900674,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,326.06230940600017,0.0,326.7905953170002,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,fixed_pol_vp,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,102.01144657900022,1.032964247750062,0.998296984648976,0.44653019874884153,2.5660459896551616e-09,3.3385565257684657,True,direct_vp,global_exact_spherical_vp,fixed_pol,,3,10,nan,nan,,,,jnpp_then_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3402575.5735358307,3096560,False,1455.0794853133223,98.57987165815777,0.03730774844860912,30.109856891466897,"[4.8684006159404385,72.38744814128302,12.925797325317612]",326.06230940600017,98.75169288899997,425.5422882060002,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,free_jones_vp,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,90.21163111100032,1.4918739119476783,0.9974862223730582,0.6409082858152535,3.6616825755215826e-09,3.3383467394445976,True,direct_vp,global_exact_spherical_vp,jones_free,,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.02135500910746676,0.2161427454332534,0.005999543487782941]",jnpp_then_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3402361.7644193023,3096560,False,2556.743078765243,89.3099609988659,0.03730774844860912,30.109856891466897,"[4.8684006159404385,72.38744814128302,12.925797325317612]",326.06230940600017,86.87471192299972,413.66530723999995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,regularized_jones_vp,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,176.30732975499996,1.5056547647219696,0.9975055399453374,0.6504652161228845,3.5927933975460767e-09,3.338350036437178,True,direct_vp,global_exact_spherical_vp,jones_regularized,,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[0.0027560257120893914,0.07229709590638729,0.002067151486330528]",jnpp_then_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3402365.124633914,3096560,False,2477.2495111476387,102.16516129019311,0.03730774844860912,30.109856891466897,"[4.8684006159404385,72.38744814128302,12.925797325317612]",326.06230940600017,172.78617732800012,499.57677264500035,nan,nan,nan,nan,nan,nan,nan,
