figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after
fig8,0,428530181,0.0,3,3,0.0,256,64,4096,3.521757768185907,proposed,0.0006272668886746256,5.5593098039741975e-06,0.42950135870660316,399.1875700019882,False,,e7a838cb8d9965ce,e4e7fd130c9f8600,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,0.0,256,64,4096,3.521757768185907,ff_omp,2.0997506608843204,0.9967954071053821,0.8572715223630737,35.31266381399473,False,,e7a838cb8d9965ce,e4e7fd130c9f8600,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,0.0,256,64,4096,3.521757768185907,ris_momp,1.8694919095839913,0.9970882940307928,0.8573981741503095,78.65079165399948,False,,e7a838cb8d9965ce,e4e7fd130c9f8600,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.5149257407543117,0.8881638869840435,0.8106448295024149,36.40811768500134,False,,e7a838cb8d9965ce,e4e7fd130c9f8600,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,0.0,256,64,4096,3.521757768185907,oracle_calibrated_peb,nan,nan,nan,3.1331561709957896,False,,e7a838cb8d9965ce,e4e7fd130c9f8600,Oracle-calibrated PEB reference only; not a CRB for mismatched estimators.,0.00040330349733253576,True,False,jones_linear,True,78.31678117238515,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",oracle_calibrated,ae763c4c1d887b0b,,,,,nan,nan
fig8,0,428530181,0.0,3,3,5.0,256,64,4096,3.521757768185907,proposed,0.002538071266381406,0.007622202535691727,0.4339954649660195,466.8501600000018,False,,a2e4e48dd7525622,e38660fac13d1ff5,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,5.0,256,64,4096,3.521757768185907,ff_omp,1.4996608537678624,0.997021682998803,0.8598364552875324,42.47032759200374,False,,a2e4e48dd7525622,e38660fac13d1ff5,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,5.0,256,64,4096,3.521757768185907,ris_momp,1.6481117469370812,0.9971810982932331,0.8599135096127744,57.49946018100309,False,,a2e4e48dd7525622,e38660fac13d1ff5,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,5.0,256,64,4096,3.521757768185907,nf_mmpsr,1.5149257407543117,0.8892227878226064,0.8134402043363144,16.03216156900453,False,,a2e4e48dd7525622,e38660fac13d1ff5,,nan,,,,,,,,,,,,,nan,nan
fig8,0,428530181,0.0,3,3,5.0,256,64,4096,3.521757768185907,oracle_calibrated_peb,nan,nan,nan,1.530206477997126,False,,a2e4e48dd7525622,e38660fac13d1ff5,Oracle-calibrated PEB reference only; not a CRB for mismatched estimators.,0.00040428074689092294,True,False,jones_linear,True,78.0360767667706,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",oracle_calibrated,891292394627096e,,,,,nan,nan
