figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig10a,ff_omp,T,64.0,1,1.0,position_rmse_m,1.240874076224835,1.240874076224835,1.240874076224835,1.240874076224835,16.830268496007193
fig10a,ff_omp,T,256.0,1,1.0,position_rmse_m,1.646390757642884,1.646390757642884,1.646390757642884,1.646390757642884,24.030069241998717
fig10a,nf_mmpsr,T,64.0,1,1.0,position_rmse_m,1.4017845768876185,1.4017845768876185,1.4017845768876185,1.4017845768876185,16.68262851300824
fig10a,nf_mmpsr,T,256.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,18.13005781600077
fig10a,peb,T,64.0,1,1.0,peb_position_m,0.0007006666630188536,0.0007006666630188536,0.0007006666630188536,0.0007006666630188536,0.6942861790012103
fig10a,peb,T,256.0,1,1.0,peb_position_m,0.0004204276316310196,0.0004204276316310196,0.0004204276316310196,0.0004204276316310196,1.6098916869959794
fig10a,proposed,T,64.0,1,1.0,position_rmse_m,0.0003110465595149808,0.0003110465595149808,0.0003110465595149808,0.0003110465595149808,324.31538623099914
fig10a,proposed,T,256.0,1,1.0,position_rmse_m,0.00035552090557315884,0.00035552090557315884,0.00035552090557315884,0.00035552090557315884,459.26575455199054
fig10a,ris_momp,T,64.0,1,1.0,position_rmse_m,1.2613769960563408,1.2613769960563408,1.2613769960563408,1.2613769960563408,32.76353671000106
fig10a,ris_momp,T,256.0,1,1.0,position_rmse_m,1.2303519342310378,1.2303519342310378,1.2303519342310378,1.2303519342310378,47.983249579003314
