Primary comparison: Stage-I + VP vs Stage-I + Stage-II + VP
init=weak, SNR=-10 dB, T=16, RIS=16x16: Y_NMSE median 8.537e-01 -> 9.043e-01, pos median 1.022e+00 -> 9.045e-01 m, pos p90 1.418e+00 -> 1.475e+00 m, pos p95 1.552e+00 -> 1.633e+00 m, success20 20.0% -> 28.0%, VP conv 100.0% -> 100.0%, fail>50cm 80.0% -> 72.0%, fail>1m 52.0% -> 44.0%, improve(pos) 50.0%, gain20 8.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=16, RIS=32x32: Y_NMSE median 9.064e-01 -> 9.189e-01, pos median 9.640e-01 -> 1.034e+00 m, pos p90 1.440e+00 -> 1.636e+00 m, pos p95 1.702e+00 -> 1.752e+00 m, success20 0.0% -> 6.0%, VP conv 96.0% -> 100.0%, fail>50cm 88.0% -> 78.0%, fail>1m 48.0% -> 52.0%, improve(pos) 56.0%, gain20 6.0%, gain50 10.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=16, RIS=8x8: Y_NMSE median 1.966e-02 -> 1.857e-02, pos median 6.494e-01 -> 5.720e-01 m, pos p90 1.519e+00 -> 1.422e+00 m, pos p95 1.759e+00 -> 1.724e+00 m, success20 12.0% -> 22.0%, VP conv 100.0% -> 100.0%, fail>50cm 68.0% -> 56.0%, fail>1m 28.0% -> 26.0%, improve(pos) 56.0%, gain20 10.0%, gain50 12.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=32, RIS=16x16: Y_NMSE median 1.394e-02 -> 2.206e-02, pos median 1.838e-01 -> 5.286e-01 m, pos p90 1.349e+00 -> 1.537e+00 m, pos p95 1.689e+00 -> 1.636e+00 m, success20 50.0% -> 46.0%, VP conv 100.0% -> 98.0%, fail>50cm 46.0% -> 50.0%, fail>1m 28.0% -> 28.0%, improve(pos) 52.0%, gain20 -4.0%, gain50 -4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=32, RIS=32x32: Y_NMSE median 9.239e-01 -> 9.463e-01, pos median 1.032e+00 -> 1.038e+00 m, pos p90 1.518e+00 -> 1.716e+00 m, pos p95 1.822e+00 -> 2.224e+00 m, success20 4.0% -> 14.0%, VP conv 100.0% -> 98.0%, fail>50cm 84.0% -> 76.0%, fail>1m 54.0% -> 52.0%, improve(pos) 42.0%, gain20 10.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=32, RIS=8x8: Y_NMSE median 7.010e-03 -> 7.010e-03, pos median 1.896e-01 -> 4.078e-01 m, pos p90 1.602e+00 -> 1.784e+00 m, pos p95 1.704e+00 -> 2.135e+00 m, success20 50.0% -> 42.0%, VP conv 98.0% -> 100.0%, fail>50cm 32.0% -> 46.0%, fail>1m 20.0% -> 28.0%, improve(pos) 40.0%, gain20 -8.0%, gain50 -14.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=64, RIS=16x16: Y_NMSE median 4.362e-03 -> 4.892e-03, pos median 1.050e-01 -> 1.050e-01 m, pos p90 1.224e+00 -> 1.267e+00 m, pos p95 1.317e+00 -> 1.353e+00 m, success20 52.0% -> 52.0%, VP conv 100.0% -> 100.0%, fail>50cm 46.0% -> 46.0%, fail>1m 18.0% -> 16.0%, improve(pos) 48.0%, gain20 0.0%, gain50 0.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=64, RIS=32x32: Y_NMSE median 6.394e-01 -> 5.072e-01, pos median 5.160e-01 -> 5.252e-01 m, pos p90 1.203e+00 -> 1.267e+00 m, pos p95 1.450e+00 -> 1.299e+00 m, success20 42.0% -> 38.0%, VP conv 100.0% -> 100.0%, fail>50cm 52.0% -> 54.0%, fail>1m 24.0% -> 18.0%, improve(pos) 40.0%, gain20 -4.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=64, RIS=8x8: Y_NMSE median 3.305e-03 -> 3.308e-03, pos median 1.140e-01 -> 1.365e-01 m, pos p90 1.555e+00 -> 1.783e+00 m, pos p95 1.770e+00 -> 2.068e+00 m, success20 68.0% -> 68.0%, VP conv 100.0% -> 100.0%, fail>50cm 26.0% -> 26.0%, fail>1m 12.0% -> 18.0%, improve(pos) 46.0%, gain20 0.0%, gain50 0.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=128, RIS=16x16: Y_NMSE median 1.609e-03 -> 1.725e-03, pos median 2.931e-02 -> 3.168e-02 m, pos p90 6.606e-01 -> 8.177e-01 m, pos p95 8.415e-01 -> 1.023e+00 m, success20 84.0% -> 78.0%, VP conv 98.0% -> 96.0%, fail>50cm 14.0% -> 18.0%, fail>1m 4.0% -> 6.0%, improve(pos) 46.0%, gain20 -6.0%, gain50 -4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=128, RIS=32x32: Y_NMSE median 2.211e-03 -> 2.249e-03, pos median 2.873e-02 -> 2.963e-02 m, pos p90 1.073e+00 -> 1.422e+00 m, pos p95 1.402e+00 -> 1.728e+00 m, success20 62.0% -> 62.0%, VP conv 100.0% -> 100.0%, fail>50cm 32.0% -> 28.0%, fail>1m 22.0% -> 22.0%, improve(pos) 48.0%, gain20 0.0%, gain50 4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-10 dB, T=128, RIS=8x8: Y_NMSE median 1.788e-03 -> 1.880e-03, pos median 7.750e-02 -> 9.505e-02 m, pos p90 9.517e-01 -> 1.104e+00 m, pos p95 1.257e+00 -> 1.701e+00 m, success20 78.0% -> 70.0%, VP conv 96.0% -> 100.0%, fail>50cm 20.0% -> 30.0%, fail>1m 10.0% -> 14.0%, improve(pos) 50.0%, gain20 -8.0%, gain50 -10.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=16, RIS=16x16: Y_NMSE median 6.703e-03 -> 6.808e-03, pos median 4.931e-01 -> 6.339e-01 m, pos p90 1.311e+00 -> 1.276e+00 m, pos p95 1.620e+00 -> 1.512e+00 m, success20 46.0% -> 44.0%, VP conv 98.0% -> 96.0%, fail>50cm 50.0% -> 54.0%, fail>1m 20.0% -> 20.0%, improve(pos) 50.0%, gain20 -2.0%, gain50 -4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=16, RIS=32x32: Y_NMSE median 9.047e-01 -> 8.729e-01, pos median 1.044e+00 -> 9.137e-01 m, pos p90 1.473e+00 -> 1.468e+00 m, pos p95 1.504e+00 -> 1.511e+00 m, success20 6.0% -> 12.0%, VP conv 92.0% -> 98.0%, fail>50cm 90.0% -> 82.0%, fail>1m 52.0% -> 42.0%, improve(pos) 56.0%, gain20 6.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=16, RIS=8x8: Y_NMSE median 5.021e-03 -> 4.821e-03, pos median 1.679e-01 -> 1.678e-01 m, pos p90 1.384e+00 -> 1.414e+00 m, pos p95 1.694e+00 -> 1.794e+00 m, success20 54.0% -> 58.0%, VP conv 100.0% -> 98.0%, fail>50cm 40.0% -> 34.0%, fail>1m 20.0% -> 16.0%, improve(pos) 60.0%, gain20 4.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=32, RIS=16x16: Y_NMSE median 2.828e-03 -> 2.641e-03, pos median 4.506e-02 -> 4.207e-02 m, pos p90 9.662e-01 -> 1.147e+00 m, pos p95 1.220e+00 -> 1.327e+00 m, success20 60.0% -> 64.0%, VP conv 100.0% -> 100.0%, fail>50cm 40.0% -> 36.0%, fail>1m 8.0% -> 14.0%, improve(pos) 52.0%, gain20 4.0%, gain50 4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=32, RIS=32x32: Y_NMSE median 8.787e-01 -> 7.501e-01, pos median 8.586e-01 -> 7.157e-01 m, pos p90 1.314e+00 -> 1.363e+00 m, pos p95 1.454e+00 -> 1.536e+00 m, success20 14.0% -> 28.0%, VP conv 100.0% -> 100.0%, fail>50cm 72.0% -> 60.0%, fail>1m 44.0% -> 36.0%, improve(pos) 68.0%, gain20 14.0%, gain50 12.0%, VP worse(noisy) 0.0% -> 0.0%
